Date ,OPEN ,HIGH ,LOW ,ltp ,close ,VOLUME ,VALUE ,No_of_trades,stock_name
16-May-25,434.90,436.20,432.10,435.60,435.70,16402035,7130684218.55,105849,ITC
15-May-25,429.10,435.40,426.00,432.00,432.65,24263510,10460938250.10,173965,ITC
14-May-25,427.10,431.85,425.90,429.05,429.10,9557309,4096782375.45,96326,ITC
13-May-25,434.90,437.95,425.35,427.90,427.90,14976369,6431940112.45,153294,ITC
12-May-25,429.50,436.20,428.15,435.10,435.50,8031891,3482863921.65,78145,ITC
9-May-25,425.95,429.15,423.00,424.00,423.55,8226512,3501026096.65,134382,ITC
8-May-25,429.00,431.50,423.55,429.40,430.60,19937960,8553117657.75,173524,ITC
7-May-25,433.40,435.00,429.70,430.15,431.15,9710361,4192656819.60,148037,ITC
6-May-25,437.50,439.65,433.00,433.20,435.55,15026568,6555176631.90,133609,ITC
5-May-25,430.25,438.50,429.35,437.50,436.95,11525305,5026339793.80,117066,ITC
2-May-25,424.10,431.50,424.10,429.30,430.25,12769461,5475858517.65,115137,ITC
30-Apr-25,427.40,429.30,422.00,425.00,425.80,10026546,4278552724.80,197832,ITC
29-Apr-25,428.90,429.60,425.00,425.35,426.00,11189930,4770331679.80,228223,ITC
28-Apr-25,426.65,430.50,424.75,428.75,428.80,6287095,2694427013.85,73016,ITC
25-Apr-25,430.05,432.70,423.30,427.60,427.80,22944377,9774087061.50,120877,ITC
24-Apr-25,431.85,436.05,429.30,429.85,430.05,26064089,11254147788.10,134018,ITC
23-Apr-25,436.20,437.45,428.85,430.15,430.85,19566317,8435917733.65,144472,ITC
22-Apr-25,425.95,434.80,423.55,432.85,433.60,32031936,13708485407.15,167601,ITC
21-Apr-25,428.05,429.10,421.50,422.95,422.85,27388236,11571885187.30,218049,ITC
17-Apr-25,425.00,427.85,421.55,427.00,427.25,22410217,9532679412.90,222404,ITC
16-Apr-25,418.00,426.05,418.00,424.90,424.45,13034594,5517451893.15,115189,ITC
15-Apr-25,429.20,429.20,419.00,420.35,420.40,11685880,4923848655.80,129742,ITC
11-Apr-25,420.00,422.45,417.00,422.00,421.55,8939356,3758063114.55,98015,ITC
9-Apr-25,413.00,419.05,411.25,416.15,416.30,21785572,9071650104.35,242191,ITC
8-Apr-25,411.90,415.80,407.25,413.50,412.55,18600796,7655492505.50,234584,ITC
7-Apr-25,390.15,408.10,390.15,406.75,406.05,26762866,10785870136.45,307280,ITC
4-Apr-25,407.50,412.80,404.50,409.30,409.70,18627592,7626798175.75,149408,ITC
