Date ,OPEN ,HIGH ,LOW ,ltp ,close ,VOLUME ,VALUE ,No_of_trades,stock_name
16-May-25,750.00,785.50,750.00,784.70,780.20,27168178,20848618062.00,320489,INDUSIND_BANK
15-May-25,778.00,782.65,757.85,780.00,780.50,7350633,5696081514.40,174654,INDUSIND_BANK
14-May-25,775.00,786.40,764.55,781.95,781.35,9164606,7102017857.75,172774,INDUSIND_BANK
13-May-25,794.00,804.00,769.05,770.00,770.10,10848937,8464783765.75,210993,INDUSIND_BANK
12-May-25,835.00,838.00,786.00,790.00,788.50,14573162,11688237990.30,237496,INDUSIND_BANK
9-May-25,805.50,826.45,805.50,817.50,818.20,5074137,4151316494.85,98032,INDUSIND_BANK
8-May-25,835.00,844.25,816.00,816.65,826.80,13290700,11013401526.15,175673,INDUSIND_BANK
7-May-25,827.00,842.00,816.10,830.60,833.80,9432595,7830000578.50,156666,INDUSIND_BANK
6-May-25,846.75,851.25,821.90,833.90,831.80,10040705,8371471901.35,131351,INDUSIND_BANK
5-May-25,855.00,862.00,840.55,848.15,846.75,7875811,6675832630.30,139401,INDUSIND_BANK
2-May-25,835.00,863.50,833.10,850.50,853.00,9074101,7745416059.90,157808,INDUSIND_BANK
30-Apr-25,820.00,843.10,810.05,833.00,838.40,20241775,16716653985.60,265011,INDUSIND_BANK
29-Apr-25,841.95,852.00,828.55,837.50,836.95,8769289,7358050027.50,154246,INDUSIND_BANK
28-Apr-25,828.00,841.80,821.05,830.50,830.55,6929801,5762323995.80,119146,INDUSIND_BANK
25-Apr-25,822.00,829.00,807.35,820.00,822.35,11724192,9620280799.15,199413,INDUSIND_BANK
24-Apr-25,795.00,837.50,793.30,819.35,819.75,22577201,18601468625.05,306159,INDUSIND_BANK
23-Apr-25,797.45,805.00,782.00,793.00,794.20,10657940,8462132566.70,185205,INDUSIND_BANK
22-Apr-25,790.00,808.00,775.40,788.55,787.50,25698945,20380071681.95,409669,INDUSIND_BANK
21-Apr-25,802.00,841.90,798.35,826.95,828.20,15639685,12924027624.00,251321,INDUSIND_BANK
17-Apr-25,788.25,801.00,777.30,792.70,794.70,13986710,11075801344.00,225534,INDUSIND_BANK
16-Apr-25,747.00,794.40,733.00,785.50,788.25,31252589,24124397629.75,419648,INDUSIND_BANK
15-Apr-25,705.00,741.00,693.05,735.50,735.90,12452925,9052604452.20,228154,INDUSIND_BANK
11-Apr-25,684.95,694.00,675.50,693.00,689.50,5019467,3428026541.55,178907,INDUSIND_BANK
9-Apr-25,679.65,683.30,670.25,678.30,678.55,4243562,2877037654.20,106130,INDUSIND_BANK
8-Apr-25,684.90,695.90,673.00,685.55,679.65,5639989,3844378457.70,132629,INDUSIND_BANK
7-Apr-25,637.00,678.65,637.00,678.50,675.90,9382614,6225626784.45,175319,INDUSIND_BANK
4-Apr-25,701.00,704.90,675.65,684.70,682.00,9627949,6601061804.90,170564,INDUSIND_BANK
3-Apr-25,694.95,714.70,693.50,708.60,709.40,6972769,4933108829.55,143787,INDUSIND_BANK
2-Apr-25,682.70,708.40,675.00,703.00,702.45,14993840,10410031172.05,170583,INDUSIND_BANK
1-Apr-25,649.00,689.80,646.85,682.70,682.70,14019630,9523380905.65,240365,INDUSIND_BANK
28-Mar-25,672.00,673.95,643.50,649.05,649.85,8807815,5782924990.70,170300,INDUSIND_BANK
27-Mar-25,655.30,676.75,640.50,673.50,673.55,21589495,14277938828.25,233736,INDUSIND_BANK
26-Mar-25,637.40,662.50,637.40,658.30,655.30,23506399,15409407647.00,269471,INDUSIND_BANK
25-Mar-25,670.20,672.85,633.60,635.15,637.05,18615476,11999433475.10,399250,INDUSIND_BANK
24-Mar-25,692.00,693.75,665.15,667.75,669.45,14649992,9865694194.05,263606,INDUSIND_BANK
21-Mar-25,685.00,693.85,672.30,689.00,686.90,14265415,9744414635.40,141666,INDUSIND_BANK
20-Mar-25,697.50,701.00,681.00,685.00,684.10,8918567,6144302159.75,129789,INDUSIND_BANK
19-Mar-25,685.00,700.80,682.55,691.95,692.70,11120576,7704174424.30,158495,INDUSIND_BANK
