Date ,OPEN ,HIGH ,LOW ,ltp ,close ,VOLUME ,VALUE ,No_of_trades,stock_name
16-May-25,730,742,725.55,731.1,730.7,20631512,15126018409,301374,TATA_MOTORS
15-May-25,698.75,729.8,696.15,729,728.1,28634074,20561802514,368702,TATA_MOTORS
14-May-25,690,708,686,700.2,698.95,31505402,21944572655,529955,TATA_MOTORS
13-May-25,720.8,726,703.25,708.3,707.7,16125700,11502345599,268737,TATA_MOTORS
12-May-25,728,732,711.2,719.7,720.8,20133616,14498371601,261307,TATA_MOTORS
9-May-25,667.5,711,666,709,708.5,40183276,28180598035,523258,TATA_MOTORS
8-May-25,700,704.5,677.2,680.4,682.85,29315465,20294654093,366175,TATA_MOTORS
7-May-25,642,682.5,641.15,681.8,680.3,30390515,20470218684,366513,TATA_MOTORS
6-May-25,661.55,663.2,645.5,647.55,648.2,12718175,8290542880,235348,TATA_MOTORS
5-May-25,662.95,666.65,655.85,662.2,661.55,8868484,5861408259,159988,TATA_MOTORS
2-May-25,641,661.35,635.55,652,652,13141726,8577731081,244150,TATA_MOTORS
30-Apr-25,667,667,641.1,643.5,644.25,19485917,12580241418,311644,TATA_MOTORS
29-Apr-25,671.45,682.9,661.6,667.3,665.6,13754685,9230585639,224042,TATA_MOTORS
28-Apr-25,654.3,669.6,652.55,668,668.15,10243493,6799752588,168942,TATA_MOTORS
25-Apr-25,668.35,673,651.5,654.15,655.25,13207043,8700324111,221114,TATA_MOTORS
24-Apr-25,660.1,671,660.1,667.9,668.35,15172229,10104977369,196582,TATA_MOTORS
23-Apr-25,635.95,661.5,633.35,658.85,659.9,23390570,15204311239,321330,TATA_MOTORS
22-Apr-25,630.25,633.95,626.2,630.5,630.85,10292748,6494713244,190303,TATA_MOTORS
21-Apr-25,624.6,635.75,620.2,630.25,630.05,12785568,8030883889,216143,TATA_MOTORS
17-Apr-25,616.05,627,608.25,621,621.55,14342652,8883711332,238642,TATA_MOTORS
16-Apr-25,625,625,613.6,616.1,616.05,12318376,7597130470,239397,TATA_MOTORS
15-Apr-25,614,628.3,612.65,622.5,622.2,19722072,12277750909,270996,TATA_MOTORS
11-Apr-25,610,612.8,591,596,595.05,21055814,12647785093,329700,TATA_MOTORS
9-Apr-25,588,594.9,581.05,584.5,582.9,17483412,10271259845,250692,TATA_MOTORS
8-Apr-25,591.2,606.6,584.2,589.9,588.85,20987855,12411469508,348681,TATA_MOTORS
7-Apr-25,560.5,582,535.75,581.1,579.75,49463598,27855984564,835816,TATA_MOTORS
4-Apr-25,650,650,610,615.1,613.85,26621179,16504136463,591360,TATA_MOTORS
3-Apr-25,660,669,652.5,655.55,653.95,13473832,8880357349,295801,TATA_MOTORS
2-Apr-25,674.95,675.35,662.1,672.2,671.9,8025225,5374877124,134666,TATA_MOTORS
1-Apr-25,670.55,681.85,665.75,672,671.85,9594669,6462904983,205820,TATA_MOTORS
28-Mar-25,671.85,684.95,669.3,673.25,674.45,16013687,10820726221,223287,TATA_MOTORS
27-Mar-25,668,676.6,661.1,669.5,668.55,34238666,22917566817,678323,TATA_MOTORS
26-Mar-25,710.3,717.85,707,707.4,708.25,9363180,6660701025,162046,TATA_MOTORS
25-Mar-25,719,723.05,706.35,707.5,710.3,13617465,9724634715,276282,TATA_MOTORS
24-Mar-25,710,717.5,702.05,713.9,713.5,11671359,8290546940,234530,TATA_MOTORS
21-Mar-25,693,705,688.55,702.5,702.95,14823483,10374932721,178336,TATA_MOTORS
20-Mar-25,685,692.7,679,689.5,690.05,9712600,6670491466,166825,TATA_MOTORS
19-Mar-25,685.4,685.75,678.55,681.05,682.25,9338414,6365882253,181525,TATA_MOTORS
18-Mar-25,665,681.7,663.9,678.8,680.05,11236084,7584098238,201406,TATA_MOTORS
17-Mar-25,665.05,666.45,657.45,660.1,661.05,9174408,6072711008,180213,TATA_MOTORS
