Date ,OPEN ,HIGH ,LOW ,ltp ,close ,VOLUME ,VALUE ,No_of_trades,stock_name
16-May-25,2414.60,2414.60,2376.70,2407.90,2408.80,684551,1641940294.90,37972,NESTLE_INDIA
15-May-25,2370.00,2414.90,2341.50,2391.50,2398.10,964112,2299097413.90,96725,NESTLE_INDIA
14-May-25,2365.00,2379.20,2353.30,2373.00,2370.40,601533,1423236459.40,63166,NESTLE_INDIA
13-May-25,2380.00,2389.80,2342.00,2368.00,2370.20,1166776,2760394119.00,79405,NESTLE_INDIA
12-May-25,2359.80,2389.00,2346.00,2388.50,2383.80,400750,948647022.10,41555,NESTLE_INDIA
9-May-25,2302.00,2349.00,2291.70,2321.00,2325.40,908229,2102594904.60,49244,NESTLE_INDIA
8-May-25,2328.00,2350.10,2315.10,2330.00,2340.70,1346546,3146346201.10,78315,NESTLE_INDIA
7-May-25,2331.00,2356.00,2327.30,2330.70,2338.40,676652,1581186834.30,51492,NESTLE_INDIA
6-May-25,2337.00,2374.20,2330.00,2356.00,2356.50,871013,2054139154.00,50622,NESTLE_INDIA
5-May-25,2348.90,2352.00,2323.70,2333.50,2328.20,913797,2137567618.40,63533,NESTLE_INDIA
2-May-25,2375.00,2384.80,2327.00,2337.70,2337.70,859177,2014057327.40,72110,NESTLE_INDIA
30-Apr-25,2375.00,2406.40,2364.30,2380.00,2388.20,1020431,2439822318.00,54051,NESTLE_INDIA
29-Apr-25,2406.00,2406.00,2359.20,2384.90,2387.50,976060,2326249069.30,78626,NESTLE_INDIA
28-Apr-25,2400.00,2418.40,2386.00,2402.00,2406.00,980526,2354934175.70,53488,NESTLE_INDIA
25-Apr-25,2426.90,2435.20,2387.30,2410.00,2413.50,1128284,2716044691.40,78643,NESTLE_INDIA
24-Apr-25,2435.00,2515.00,2379.00,2427.00,2433.20,2337238,5697758074.90,179605,NESTLE_INDIA
23-Apr-25,2419.30,2441.90,2400.00,2430.00,2433.40,582556,1413576992.50,54556,NESTLE_INDIA
22-Apr-25,2405.00,2420.00,2390.00,2409.40,2407.30,487954,1174357298.90,54290,NESTLE_INDIA
21-Apr-25,2401.00,2421.00,2390.50,2404.80,2399.40,476565,1146281561.50,56685,NESTLE_INDIA
