Date ,OPEN ,HIGH ,LOW ,ltp ,close ,VOLUME ,VALUE ,No_of_trades,stock_name
16-May-25,12950.00,13086.00,12912.00,13000.00,12995.00,425275,5525445635.00,62548,MARUTI_SUZUKI
15-May-25,12600.00,13023.00,12548.00,12900.00,12952.00,561496,7197073020.00,100567,MARUTI_SUZUKI
14-May-25,12485.00,12718.00,12411.00,12700.00,12670.00,306050,3859501696.00,46535,MARUTI_SUZUKI
13-May-25,12600.00,12700.00,12430.00,12474.00,12482.00,378269,4731899460.00,86167,MARUTI_SUZUKI
12-May-25,12426.00,12630.00,12426.00,12625.00,12616.00,185165,2322641674.00,37152,MARUTI_SUZUKI
9-May-25,12135.00,12360.00,12115.00,12245.00,12250.00,278112,3410669230.00,41889,MARUTI_SUZUKI
8-May-25,12560.00,12597.00,12330.00,12380.00,12392.00,485326,6024946169.00,80654,MARUTI_SUZUKI
7-May-25,12355.00,12669.00,12355.00,12585.00,12633.00,303619,3826175764.00,61308,MARUTI_SUZUKI
6-May-25,12438.00,12599.00,12371.00,12560.00,12581.00,414921,5206687661.00,65850,MARUTI_SUZUKI
5-May-25,12490.00,12490.00,12362.00,12449.00,12458.00,270014,3358401660.00,49136,MARUTI_SUZUKI
2-May-25,12257.00,12727.00,12250.00,12390.00,12406.00,786089,9844447650.00,157884,MARUTI_SUZUKI
30-Apr-25,11825.00,12325.00,11800.00,12218.00,12257.00,967250,11755859522.00,105465,MARUTI_SUZUKI
29-Apr-25,11812.00,11940.00,11741.00,11810.00,11841.00,455596,5388049220.00,86819,MARUTI_SUZUKI
28-Apr-25,11428.00,11896.00,11289.00,11809.00,11846.00,457303,5351810411.00,80996,MARUTI_SUZUKI
25-Apr-25,11902.00,12046.00,11598.00,11650.00,11698.00,906266,10664569973.00,130970,MARUTI_SUZUKI
24-Apr-25,11940.00,12040.00,11858.00,11901.00,11894.00,387863,4622427333.00,67998,MARUTI_SUZUKI
23-Apr-25,11799.00,11971.00,11729.00,11900.00,11907.00,493839,5840798795.00,78908,MARUTI_SUZUKI
22-Apr-25,11770.00,11788.00,11615.00,11744.00,11734.00,516753,6047456049.00,102717,MARUTI_SUZUKI
21-Apr-25,11695.00,11769.00,11588.00,11769.00,11745.00,318493,3726551467.00,49266,MARUTI_SUZUKI
17-Apr-25,11664.00,11728.00,11525.00,11665.00,11695.00,302146,3518777343.00,62794,MARUTI_SUZUKI
16-Apr-25,11768.00,11768.00,11615.00,11665.00,11664.00,470494,5491129574.00,68073,MARUTI_SUZUKI
15-Apr-25,11790.00,11940.00,11680.00,11825.00,11855.00,458593,5443434939.00,68741,MARUTI_SUZUKI
11-Apr-25,11480.35,11678.75,11480.00,11609.00,11599.05,231420,2685269869.90,45734,MARUTI_SUZUKI
9-Apr-25,11460.10,11538.70,11425.00,11480.00,11457.40,255114,2927511554.20,50927,MARUTI_SUZUKI
8-Apr-25,11530.00,11550.35,11290.05,11436.00,11458.90,629968,7211668457.30,93920,MARUTI_SUZUKI
7-Apr-25,11105.60,11358.50,11059.45,11352.95,11329.75,602353,6761271433.85,109199,MARUTI_SUZUKI
4-Apr-25,11600.00,11630.00,11330.00,11482.00,11482.00,355785,4065618247.40,59574,MARUTI_SUZUKI
3-Apr-25,11630.50,11802.95,11611.05,11646.00,11688.10,326624,3823725316.15,44000,MARUTI_SUZUKI
2-Apr-25,11481.10,11732.00,11410.05,11691.00,11716.10,452994,5283658091.10,80324,MARUTI_SUZUKI
1-Apr-25,11480.00,11545.80,11290.00,11455.25,11481.10,498244,5687832377.15,96268,MARUTI_SUZUKI
28-Mar-25,11699.05,11745.95,11400.10,11490.15,11522.15,541795,6258548661.75,124522,MARUTI_SUZUKI
27-Mar-25,11773.15,11898.00,11638.00,11700.00,11721.95,645787,7580716422.05,109418,MARUTI_SUZUKI
26-Mar-25,11807.00,11868.90,11710.00,11745.00,11734.30,478517,5633893032.95,89350,MARUTI_SUZUKI
25-Mar-25,11951.40,12075.25,11800.00,11824.90,11868.90,514283,6135410879.15,72904,MARUTI_SUZUKI
24-Mar-25,11779.95,11990.00,11742.05,11917.00,11922.25,359033,4267282655.85,84229,MARUTI_SUZUKI
21-Mar-25,11780.00,11921.70,11705.80,11769.20,11732.80,560565,6617691502.55,73489,MARUTI_SUZUKI
20-Mar-25,11699.90,11765.00,11588.00,11762.00,11730.20,379421,4438809113.75,75811,MARUTI_SUZUKI
19-Mar-25,11700.00,11714.45,11547.00,11615.00,11615.55,476555,5537086611.70,63268,MARUTI_SUZUKI
