Date ,OPEN ,HIGH ,LOW ,ltp ,close ,VOLUME ,VALUE ,No_of_trades,stock_name
16-May-25,343.00,347.60,342.00,343.10,343.10,6920351,2381353138.65,85343,NTPC
15-May-25,339.50,343.75,332.65,341.90,341.95,43307763,14573906697.30,198145,NTPC
14-May-25,342.45,343.85,337.75,339.50,338.55,22485535,7646388054.20,127914,NTPC
13-May-25,348.60,349.80,340.50,342.30,341.50,14738980,5062846170.30,125785,NTPC
12-May-25,340.40,349.20,338.10,348.95,348.55,7978210,2766410001.45,113603,NTPC
9-May-25,334.20,338.75,330.60,334.65,334.75,11322011,3778402506.60,152356,NTPC
8-May-25,341.05,343.10,338.40,339.25,340.00,14286109,4861898676.05,147332,NTPC
7-May-25,338.00,343.70,337.00,342.60,342.05,8465490,2888264078.80,92112,NTPC
6-May-25,349.00,349.50,340.00,342.20,341.80,8904223,3050738485.60,157018,NTPC
5-May-25,351.00,352.00,345.55,348.50,348.60,9492646,3308574507.15,198375,NTPC
2-May-25,354.55,358.00,347.60,348.50,348.45,11165220,3910822367.60,173230,NTPC
30-Apr-25,357.00,361.00,352.00,353.70,354.55,16739088,5961872849.30,142964,NTPC
29-Apr-25,364.00,364.35,354.10,357.90,356.95,9472828,3394410129.45,108618,NTPC
28-Apr-25,353.70,362.90,353.70,360.50,361.50,5315840,1918017935.15,57842,NTPC
25-Apr-25,363.20,365.80,351.10,355.50,356.45,9785640,3488169368.90,96530,NTPC
24-Apr-25,363.75,366.45,361.60,363.45,363.20,7491123,2721435639.70,77725,NTPC
23-Apr-25,362.95,364.25,357.90,362.60,363.80,9719205,3511438721.00,109738,NTPC
22-Apr-25,367.05,367.05,359.70,360.45,360.25,12077119,4374579901.50,170500,NTPC
21-Apr-25,365.80,368.20,361.80,364.45,364.55,7375594,2698008507.65,131483,NTPC
17-Apr-25,359.25,365.45,357.25,363.75,364.00,12288196,4451413304.90,139411,NTPC
16-Apr-25,362.50,363.00,357.90,359.35,359.30,11541484,4156734543.65,163718,NTPC
15-Apr-25,367.00,368.45,361.55,362.70,362.50,17497327,6387278610.15,155430,NTPC
11-Apr-25,351.00,361.50,351.00,359.70,360.10,11246077,4026236605.05,115892,NTPC
9-Apr-25,354.00,354.80,348.20,350.65,349.35,7462119,2617587719.40,103822,NTPC
8-Apr-25,356.85,358.25,350.00,353.25,352.95,17506712,6201630211.85,201333,NTPC
7-Apr-25,328.00,351.40,324.00,349.75,349.80,18025165,6188926191.15,214168,NTPC
4-Apr-25,358.85,358.85,348.55,350.85,350.40,10872963,3833076860.60,101700,NTPC
3-Apr-25,351.75,361.35,351.75,359.25,358.90,10317410,3694354494.30,99899,NTPC
2-Apr-25,352.15,353.45,347.05,351.65,351.75,13593404,4750635899.15,79119,NTPC
1-Apr-25,352.35,362.90,350.85,352.95,352.15,18736320,6642227146.25,121699,NTPC
28-Mar-25,362.00,364.30,356.45,358.00,357.60,11327077,4069593199.20,96345,NTPC
27-Mar-25,353.90,364.45,351.00,364.00,360.65,37930538,13630380943.55,135573,NTPC
26-Mar-25,366.95,369.00,353.30,354.05,354.65,18668095,6710907724.40,240821,NTPC
