Date ,OPEN ,HIGH ,LOW ,ltp ,close ,VOLUME ,VALUE ,No_of_trades,stock_name
16-May-25,4330.00,4363.00,4294.30,4335.00,4345.30,765257,3310287241.90,76782,HERO_MOTOR_CROP
15-May-25,4083.00,4347.00,4067.20,4318.00,4325.00,2629014,11186027876.80,202903,HERO_MOTOR_CROP
14-May-25,4070.00,4107.80,3933.00,4050.00,4067.20,1199813,4843104200.60,120276,HERO_MOTOR_CROP
13-May-25,3999.00,4098.40,3957.50,4055.50,4063.60,1197629,4832469645.00,105993,HERO_MOTOR_CROP
12-May-25,3929.90,3999.50,3910.00,3998.00,3984.90,547435,2162980822.10,49149,HERO_MOTOR_CROP
9-May-25,3735.00,3896.10,3735.00,3850.00,3853.90,859973,3304433724.50,66473,HERO_MOTOR_CROP
8-May-25,3869.00,3875.00,3775.70,3800.00,3800.50,739365,2817905820.20,65769,HERO_MOTOR_CROP
7-May-25,3820.00,3894.80,3813.60,3860.50,3868.00,448141,1733886936.80,49089,HERO_MOTOR_CROP
6-May-25,3785.00,3908.00,3781.00,3861.00,3872.60,1210118,4683440377.90,98164,HERO_MOTOR_CROP
5-May-25,3769.00,3794.50,3742.30,3785.00,3767.60,640182,2412421455.30,50202,HERO_MOTOR_CROP
2-May-25,3803.60,3914.00,3725.00,3741.00,3740.50,1042867,3959545681.30,88831,HERO_MOTOR_CROP
30-Apr-25,3852.70,3867.50,3806.50,3836.00,3827.40,892342,3414101726.40,59174,HERO_MOTOR_CROP
29-Apr-25,3935.50,3953.90,3846.40,3855.10,3852.70,428581,1664526010.90,40782,HERO_MOTOR_CROP
28-Apr-25,3895.00,3935.00,3846.50,3920.60,3911.70,521342,2032170819.70,63569,HERO_MOTOR_CROP
25-Apr-25,3960.00,3994.10,3839.90,3876.00,3895.50,652719,2546882771.80,63879,HERO_MOTOR_CROP
24-Apr-25,3940.60,3988.00,3924.90,3962.90,3954.50,1227984,4856507648.30,73562,HERO_MOTOR_CROP
23-Apr-25,3862.10,3954.20,3822.60,3930.00,3940.50,800615,3113566829.10,77599,HERO_MOTOR_CROP
22-Apr-25,3901.00,3902.90,3821.20,3837.90,3833.60,927543,3559767491.40,71536,HERO_MOTOR_CROP
21-Apr-25,3794.00,3932.50,3756.00,3903.40,3917.00,1031160,3993290529.50,69820,HERO_MOTOR_CROP
17-Apr-25,3781.90,3797.60,3664.30,3772.00,3771.80,970749,3622605358.90,123832,HERO_MOTOR_CROP
16-Apr-25,3809.00,3816.60,3742.00,3790.00,3781.90,491227,1851500486.10,55108,HERO_MOTOR_CROP
15-Apr-25,3749.00,3816.00,3686.50,3808.10,3803.90,604277,2279483519.60,63500,HERO_MOTOR_CROP
11-Apr-25,3620.45,3704.10,3620.45,3663.00,3666.00,436704,1601587141.65,42603,HERO_MOTOR_CROP
