Date ,OPEN ,HIGH ,LOW ,ltp ,close ,VOLUME ,VALUE ,No_of_trades,stock_name
16-May-25,5594.00,5610.50,5545.00,5589.50,5583.00,808195,4510369950.50,73942,TRENT_LIMITED
15-May-25,5362.00,5630.00,5311.50,5565.50,5577.50,1521892,8363098161.50,144602,TRENT_LIMITED
14-May-25,5340.00,5412.00,5291.50,5360.00,5362.00,557468,2990864387.00,65260,TRENT_LIMITED
13-May-25,5444.00,5456.50,5320.00,5338.00,5326.50,728870,3906558251.50,78752,TRENT_LIMITED
12-May-25,5330.00,5478.00,5225.00,5460.00,5441.00,1203631,6471429932.00,99818,TRENT_LIMITED
9-May-25,5063.50,5207.50,5063.50,5121.50,5113.00,778167,3991673914.50,93180,TRENT_LIMITED
8-May-25,5233.00,5319.00,5179.50,5183.00,5226.50,926044,4865665615.50,93452,TRENT_LIMITED
7-May-25,5145.00,5271.00,5142.50,5229.00,5233.00,711009,3711980967.50,84497,TRENT_LIMITED
6-May-25,5381.00,5423.50,5210.00,5220.00,5224.00,709414,3759878412.00,79574,TRENT_LIMITED
5-May-25,5175.00,5382.00,5155.00,5380.00,5370.50,1310015,6981744441.00,102701,TRENT_LIMITED
2-May-25,5172.50,5268.50,5129.50,5133.00,5148.00,920201,4776565511.50,100813,TRENT_LIMITED
30-Apr-25,5435.00,5435.00,5120.00,5135.00,5172.50,2709549,14082452023.50,187605,TRENT_LIMITED
29-Apr-25,5221.00,5510.00,5175.00,5510.00,5391.50,1420743,7566204020.00,120293,TRENT_LIMITED
28-Apr-25,5124.50,5252.00,5115.00,5209.00,5209.50,982085,5111120632.50,79776,TRENT_LIMITED
25-Apr-25,5334.00,5356.00,5105.00,5124.00,5145.00,1030377,5335004613.00,121287,TRENT_LIMITED
24-Apr-25,5311.00,5399.00,5256.00,5320.00,5323.50,1039905,5540326729.50,103136,TRENT_LIMITED
23-Apr-25,5350.50,5382.00,5210.50,5334.00,5329.00,970478,5136500853.00,98611,TRENT_LIMITED
22-Apr-25,5379.00,5418.50,5300.00,5309.00,5323.00,1166872,6240720549.00,100057,TRENT_LIMITED
21-Apr-25,5180.00,5374.50,5126.00,5352.00,5360.00,1309441,6923949345.50,114453,TRENT_LIMITED
17-Apr-25,5052.00,5144.00,4954.00,5117.50,5130.50,1464066,7434577880.00,148117,TRENT_LIMITED
16-Apr-25,4922.00,5049.50,4852.00,5042.00,5035.50,1589998,7926857218.00,142580,TRENT_LIMITED
15-Apr-25,4879.00,4985.00,4830.50,4887.00,4877.00,1587931,7773412088.50,159023,TRENT_LIMITED
11-Apr-25,4782.50,4830.00,4660.75,4785.00,4780.55,1894062,9041204228.75,150658,TRENT_LIMITED
9-Apr-25,4767.00,4767.20,4605.00,4625.70,4620.20,1598513,7426235972.10,156575,TRENT_LIMITED
8-Apr-25,4903.00,4964.05,4684.20,4760.00,4767.20,3035242,14468011018.70,220402,TRENT_LIMITED
7-Apr-25,5006.60,5006.60,4488.00,4745.05,4740.95,7644740,35766341965.25,500834,TRENT_LIMITED
4-Apr-25,5688.00,5688.00,5544.40,5567.90,5562.85,680922,3806059249.30,75498,TRENT_LIMITED
3-Apr-25,5630.00,5751.00,5610.00,5666.00,5675.30,960710,5476552310.00,92359,TRENT_LIMITED
2-Apr-25,5630.55,5702.00,5515.80,5666.30,5682.50,1491897,8404825124.80,110619,TRENT_LIMITED
1-Apr-25,5350.85,5614.95,5334.20,5568.10,5576.75,2260895,12556718286.80,179166,TRENT_LIMITED
28-Mar-25,5422.95,5525.95,5290.00,5306.05,5325.15,1535964,8295597962.30,129118,TRENT_LIMITED
27-Mar-25,5359.00,5444.95,5335.80,5415.00,5422.30,1670468,9019912938.60,150239,TRENT_LIMITED
26-Mar-25,5205.00,5410.00,5118.50,5308.00,5321.95,1625697,8617921047.50,136914,TRENT_LIMITED
25-Mar-25,5121.45,5248.80,5066.00,5183.00,5185.05,1461587,7551438707.85,124423,TRENT_LIMITED
24-Mar-25,5150.45,5168.15,5044.80,5063.00,5054.70,908085,4618503397.30,86001,TRENT_LIMITED
21-Mar-25,5224.50,5293.45,5125.50,5138.00,5150.05,1197537,6200291085.90,103497,TRENT_LIMITED
20-Mar-25,5247.00,5275.55,5158.80,5215.00,5221.55,759448,3962029026.05,104367,TRENT_LIMITED
19-Mar-25,5276.05,5299.90,5194.60,5233.00,5230.85,957079,5029007115.75,100774,TRENT_LIMITED
18-Mar-25,5185.30,5285.40,5171.45,5258.00,5260.25,994888,5202510431.45,90479,TRENT_LIMITED
17-Mar-25,5022.40,5179.90,5014.00,5150.00,5159.55,856529,4396529788.05,93390,TRENT_LIMITED
13-Mar-25,5030.00,5107.90,4970.10,5020.80,5022.40,860279,4339865009.25,81246,TRENT_LIMITED
12-Mar-25,5010.60,5105.00,4960.00,5025.10,5015.35,1026027,5168666523.10,83968,TRENT_LIMITED
11-Mar-25,4739.70,5045.00,4722.95,4998.00,4995.45,1437957,7079875811.55,138953,TRENT_LIMITED
10-Mar-25,4990.00,4997.85,4787.75,4794.45,4799.70,1217553,5925306905.15,125557,TRENT_LIMITED
7-Mar-25,5075.00,5099.95,4985.00,4990.00,4999.85,690809,3473511114.80,69686,TRENT_LIMITED
6-Mar-25,5174.50,5174.50,4970.95,5048.90,5069.50,1499675,7551963144.65,155997,TRENT_LIMITED
5-Mar-25,4987.00,5320.00,4987.00,5110.10,5106.10,2128488,11007438645.00,194701,TRENT_LIMITED
4-Mar-25,4898.90,5069.90,4865.70,4984.30,4999.80,898723,4491840778.20,112939,TRENT_LIMITED
3-Mar-25,4900.05,5022.95,4775.00,4952.60,4946.90,1415550,6959264918.85,124524,TRENT_LIMITED
28-Feb-25,4760.00,4876.40,4715.00,4838.65,4851.55,2178604,10479744203.15,127092,TRENT_LIMITED
27-Feb-25,4951.00,4959.00,4770.10,4780.00,4805.30,997906,4829987705.10,113060,TRENT_LIMITED
25-Feb-25,5090.00,5129.25,4936.30,4944.00,4959.90,976304,4895817320.35,97538,TRENT_LIMITED
24-Feb-25,4998.60,5080.00,4928.25,5050.65,5066.00,823625,4125443234.75,82188,TRENT_LIMITED
21-Feb-25,5088.00,5167.95,5023.00,5032.00,5048.20,912164,4628482156.30,89955,TRENT_LIMITED
20-Feb-25,4960.00,5137.30,4951.45,5093.90,5099.50,812700,4104982452.60,90315,TRENT_LIMITED
19-Feb-25,4960.00,5103.30,4940.00,4975.00,4991.45,764148,3844978866.20,88104,TRENT_LIMITED
18-Feb-25,5100.00,5119.45,4928.25,4986.00,4997.75,721122,3597696422.90,85687,TRENT_LIMITED
17-Feb-25,5110.00,5159.30,4998.15,5100.00,5096.45,1078162,5476671721.60,107687,TRENT_LIMITED
14-Feb-25,5268.00,5325.00,5033.20,5105.00,5117.35,888168,4577210905.90,110754,TRENT_LIMITED
13-Feb-25,5246.65,5378.00,5204.30,5250.00,5256.80,986050,5222504608.05,164815,TRENT_LIMITED
12-Feb-25,5228.35,5290.00,5113.30,5235.00,5237.30,1313946,6868498716.30,144948,TRENT_LIMITED
11-Feb-25,5211.55,5250.00,5135.00,5223.80,5228.35,1596380,8308454791.70,146970,TRENT_LIMITED
10-Feb-25,5460.00,5490.00,5170.00,5210.00,5196.75,1529876,8047832052.15,168455,TRENT_LIMITED
7-Feb-25,5321.40,5517.75,5255.00,5440.00,5454.40,2846965,15384179113.15,275831,TRENT_LIMITED
6-Feb-25,5845.00,5845.00,5245.00,5268.00,5277.10,6021478,33412633845.90,445761,TRENT_LIMITED
5-Feb-25,5765.70,5906.20,5725.40,5749.90,5749.95,1428644,8306455192.95,135756,TRENT_LIMITED
4-Feb-25,6169.95,6190.00,5653.45,5740.00,5750.30,2602288,15038629509.55,226559,TRENT_LIMITED
3-Feb-25,6210.00,6232.50,6035.95,6114.00,6135.10,1498258,9173339710.95,150859,TRENT_LIMITED
1-Feb-25,5780.00,6270.40,5677.05,6155.00,6189.50,2120509,12891445516.30,166841,TRENT_LIMITED
31-Jan-25,5569.00,5817.65,5527.75,5765.00,5753.20,1029356,5908256973.70,108220,TRENT_LIMITED
30-Jan-25,5600.00,5634.00,5456.80,5538.00,5511.20,575077,3190682613.75,70106,TRENT_LIMITED
29-Jan-25,5495.00,5651.90,5415.70,5625.00,5597.15,701998,3897324632.35,79831,TRENT_LIMITED
28-Jan-25,5484.00,5538.90,5317.20,5450.55,5455.10,1136463,6171283266.60,119313,TRENT_LIMITED
27-Jan-25,5477.00,5545.45,5350.00,5410.80,5412.60,1186126,6453459787.45,137259,TRENT_LIMITED
24-Jan-25,5720.00,5755.05,5466.45,5499.00,5490.45,1119070,6271746201.25,148961,TRENT_LIMITED
23-Jan-25,5620.00,5792.45,5605.05,5736.00,5733.60,2106761,12043042838.55,221916,TRENT_LIMITED
22-Jan-25,5736.00,5748.00,5568.00,5624.80,5626.35,1377528,7760407101.20,180681,TRENT_LIMITED
21-Jan-25,6090.60,6109.00,5723.30,5724.75,5736.95,1553225,9075025905.00,185568,TRENT_LIMITED
20-Jan-25,6210.00,6225.00,6074.05,6079.95,6090.00,909757,5562194434.70,84382,TRENT_LIMITED
17-Jan-25,6216.95,6310.00,6080.00,6202.20,6216.55,770051,4787201710.35,110339,TRENT_LIMITED
16-Jan-25,6498.00,6498.00,6150.50,6230.00,6211.55,1477566,9239237102.50,170584,TRENT_LIMITED
15-Jan-25,6200.00,6519.00,6164.70,6399.00,6390.25,1463322,9321929836.10,133496,TRENT_LIMITED
14-Jan-25,6237.40,6317.00,6138.00,6160.00,6161.15,1130732,7003726009.00,146037,TRENT_LIMITED
13-Jan-25,6462.65,6523.85,6155.00,6228.50,6224.40,1068954,6709050319.25,126775,TRENT_LIMITED
10-Jan-25,6601.00,6626.00,6480.00,6565.05,6584.10,768200,5038084678.35,86185,TRENT_LIMITED
9-Jan-25,6719.00,6719.00,6572.20,6620.00,6621.70,592991,3930922109.35,87684,TRENT_LIMITED
8-Jan-25,6869.55,6873.50,6590.35,6684.95,6699.10,1257939,8407842621.80,140618,TRENT_LIMITED
7-Jan-25,7010.20,7085.00,6838.35,6844.20,6874.30,601356,4190910919.50,63724,TRENT_LIMITED
6-Jan-25,7307.70,7338.60,6935.25,6989.95,6998.35,942724,6655216890.70,100936,TRENT_LIMITED
3-Jan-25,7350.00,7493.05,7280.10,7284.45,7307.70,940233,6933461222.40,93378,TRENT_LIMITED
2-Jan-25,7100.00,7336.00,7055.95,7296.35,7321.00,706114,5105299649.05,74952,TRENT_LIMITED
1-Jan-25,7121.00,7179.80,7050.00,7084.40,7068.05,412650,2931131596.30,49979,TRENT_LIMITED
31-Dec-24,6954.00,7146.00,6817.80,7108.45,7123.35,915919,6456901026.15,84986,TRENT_LIMITED
30-Dec-24,7139.30,7145.05,6915.25,6975.00,6954.35,960856,6721781974.05,91103,TRENT_LIMITED
27-Dec-24,7101.00,7234.00,7075.00,7125.00,7118.30,530288,3797579095.90,59301,TRENT_LIMITED
26-Dec-24,7047.95,7075.00,6948.05,7060.00,7063.70,440974,3095150279.00,51536,TRENT_LIMITED
24-Dec-24,6976.00,7079.00,6902.00,6995.00,7007.15,486797,3413869348.45,55268,TRENT_LIMITED
23-Dec-24,6870.00,7070.00,6860.05,6950.00,6946.00,783189,5465837715.90,85647,TRENT_LIMITED
20-Dec-24,7125.00,7188.00,6789.40,6880.00,6831.55,768861,5353404804.05,75416,TRENT_LIMITED
19-Dec-24,6995.00,7184.40,6991.60,7096.50,7092.00,660251,4697253931.80,75957,TRENT_LIMITED
18-Dec-24,6935.75,7177.00,6848.80,7113.65,7113.75,1201264,8479755984.05,103075,TRENT_LIMITED
17-Dec-24,7000.00,7030.00,6891.00,6915.00,6941.65,545205,3784936621.85,67505,TRENT_LIMITED
16-Dec-24,7000.00,7035.00,6942.75,6998.00,7000.35,497823,3478349596.55,62446,TRENT_LIMITED
13-Dec-24,7000.00,7027.90,6870.00,6996.40,7000.25,526964,3669273357.90,59982,TRENT_LIMITED
12-Dec-24,7046.20,7106.80,6980.00,6990.50,7012.50,776145,5466315472.90,112441,TRENT_LIMITED
11-Dec-24,6893.90,7100.00,6834.80,7050.00,7063.30,1037764,7246088790.15,108082,TRENT_LIMITED
10-Dec-24,6950.00,6959.95,6810.00,6875.00,6878.05,579733,3978760427.35,81472,TRENT_LIMITED
9-Dec-24,6985.00,7025.00,6867.30,6925.00,6949.70,825347,5719664950.50,87810,TRENT_LIMITED
6-Dec-24,7050.00,7140.00,6930.05,6980.00,6999.95,1088961,7637934528.90,99886,TRENT_LIMITED
