Date ,OPEN ,HIGH ,LOW ,ltp ,close ,VOLUME ,VALUE ,No_of_trades,stock_name
16-May-25,11950.00,11990.00,11857.00,11915.00,11905.00,209706,2499124960.00,58092,ULTRA_TECH_CEMENT
15-May-25,11672.00,11932.00,11643.00,11898.00,11894.00,371371,4386081964.00,85017,ULTRA_TECH_CEMENT
14-May-25,11676.00,11741.00,11624.00,11692.00,11672.00,179337,2094532337.00,37721,ULTRA_TECH_CEMENT
13-May-25,11700.00,11748.00,11566.00,11675.00,11661.00,307678,3587695343.00,73888,ULTRA_TECH_CEMENT
12-May-25,11590.00,11767.00,11565.00,11745.00,11736.00,182795,2131796695.00,42975,ULTRA_TECH_CEMENT
9-May-25,11480.00,11558.00,11313.00,11373.00,11364.00,200270,2278682501.00,44207,ULTRA_TECH_CEMENT
8-May-25,11601.00,11740.00,11539.00,11539.00,11631.00,388912,4526377227.00,68659,ULTRA_TECH_CEMENT
7-May-25,11651.00,11700.00,11553.00,11650.00,11658.00,217460,2530847913.00,46430,ULTRA_TECH_CEMENT
6-May-25,11699.00,11729.00,11544.00,11660.00,11693.00,273048,3183008987.00,44045,ULTRA_TECH_CEMENT
5-May-25,11702.00,11728.00,11652.00,11664.00,11670.00,145699,1703263841.00,34830,ULTRA_TECH_CEMENT
2-May-25,11641.00,11750.00,11481.00,11650.00,11644.00,255248,2969057482.00,54821,ULTRA_TECH_CEMENT
30-Apr-25,11869.00,11925.00,11500.00,11635.00,11641.00,630392,7369467532.00,84540,ULTRA_TECH_CEMENT
29-Apr-25,12201.00,12222.00,11800.00,11850.00,11869.00,516495,6154756933.00,81068,ULTRA_TECH_CEMENT
28-Apr-25,12232.00,12339.00,12001.00,12128.00,12114.00,516745,6292216725.00,85617,ULTRA_TECH_CEMENT
25-Apr-25,12149.00,12304.00,11860.00,12190.00,12237.00,412558,5013504624.00,74435,ULTRA_TECH_CEMENT
24-Apr-25,11877.00,12188.00,11870.00,12175.00,12159.00,339743,4111707703.00,61628,ULTRA_TECH_CEMENT
23-Apr-25,12040.00,12040.00,11826.00,11867.00,11949.00,267717,3191269838.00,52644,ULTRA_TECH_CEMENT
22-Apr-25,11934.00,12017.00,11850.00,11917.00,11959.00,334667,4009023023.00,51365,ULTRA_TECH_CEMENT
21-Apr-25,11816.00,12110.00,11781.00,11931.00,11934.00,230595,2763676318.00,48907,ULTRA_TECH_CEMENT
17-Apr-25,11667.00,11922.00,11600.00,11900.00,11901.00,290473,3429166427.00,73621,ULTRA_TECH_CEMENT
16-Apr-25,11667.00,11827.00,11667.00,11741.00,11728.00,268150,3153120543.00,44368,ULTRA_TECH_CEMENT
15-Apr-25,11749.00,11749.00,11581.00,11710.00,11719.00,345260,4039469673.00,73287,ULTRA_TECH_CEMENT
11-Apr-25,11842.35,11842.35,11454.05,11500.00,11502.65,351037,4053643064.05,60234,ULTRA_TECH_CEMENT
9-Apr-25,11288.85,11423.00,11180.00,11367.00,11397.05,230611,2616109017.00,38075,ULTRA_TECH_CEMENT
8-Apr-25,11317.75,11542.75,11240.80,11275.00,11270.45,602120,6822833917.00,98177,ULTRA_TECH_CEMENT
7-Apr-25,11200.00,11300.05,11015.05,11288.90,11191.60,484513,5382976037.95,92786,ULTRA_TECH_CEMENT
4-Apr-25,11599.00,11613.50,11421.00,11500.00,11498.65,222191,2553568851.90,42520,ULTRA_TECH_CEMENT
3-Apr-25,11189.00,11650.05,11155.00,11595.10,11606.60,361884,4164702313.00,51687,ULTRA_TECH_CEMENT
