Date ,OPEN ,HIGH ,LOW ,ltp ,close ,VOLUME ,VALUE ,No_of_trades,stock_name
16-May-25,2099.90,2114.90,2090.10,2109.80,2108.20,2057908,4327258232.20,136716,KOTAK_MAHINDRA_BANK
15-May-25,2085.10,2112.00,2065.40,2101.60,2106.40,4262359,8903549720.40,158406,KOTAK_MAHINDRA_BANK
14-May-25,2111.00,2119.90,2084.00,2091.90,2092.40,2137594,4486668237.30,133616,KOTAK_MAHINDRA_BANK
13-May-25,2135.00,2146.10,2101.10,2119.00,2115.60,4307824,9100290325.20,160711,KOTAK_MAHINDRA_BANK
12-May-25,2134.00,2163.60,2126.10,2143.00,2145.00,3021874,6490687308.50,150244,KOTAK_MAHINDRA_BANK
9-May-25,2075.00,2120.00,2075.00,2106.60,2103.10,4654300,9784580066.80,100815,KOTAK_MAHINDRA_BANK
8-May-25,2099.00,2138.70,2094.90,2106.20,2112.60,6924871,14660206437.20,247991,KOTAK_MAHINDRA_BANK
7-May-25,2063.70,2101.80,2054.50,2100.00,2094.90,3739456,7787761747.40,151407,KOTAK_MAHINDRA_BANK
6-May-25,2086.00,2091.40,2065.00,2070.00,2074.00,3405097,7060262954.30,152782,KOTAK_MAHINDRA_BANK
5-May-25,2105.10,2133.80,2058.00,2085.00,2084.90,8821617,18385232759.80,396921,KOTAK_MAHINDRA_BANK
2-May-25,2204.00,2223.60,2171.20,2180.10,2185.20,2679156,5872503958.20,152876,KOTAK_MAHINDRA_BANK
30-Apr-25,2213.90,2231.00,2188.20,2202.00,2208.10,4622917,10231362749.40,167166,KOTAK_MAHINDRA_BANK
29-Apr-25,2225.60,2247.00,2198.80,2202.10,2205.00,3058265,6787325662.80,115735,KOTAK_MAHINDRA_BANK
28-Apr-25,2197.00,2231.80,2189.40,2222.20,2225.60,2438178,5421557256.30,135201,KOTAK_MAHINDRA_BANK
25-Apr-25,2220.00,2233.40,2178.20,2196.60,2204.40,2136003,4698491084.20,102382,KOTAK_MAHINDRA_BANK
24-Apr-25,2218.00,2237.90,2213.70,2218.10,2223.00,4168537,9280509280.70,127119,KOTAK_MAHINDRA_BANK
23-Apr-25,2285.00,2290.00,2220.00,2221.40,2227.00,3523879,7894234352.40,127032,KOTAK_MAHINDRA_BANK
22-Apr-25,2249.00,2301.90,2245.40,2265.00,2268.80,6732983,15358515073.00,184168,KOTAK_MAHINDRA_BANK
21-Apr-25,2195.00,2261.20,2175.40,2248.70,2241.40,4886498,10913896073.50,225372,KOTAK_MAHINDRA_BANK
17-Apr-25,2115.00,2193.90,2097.70,2185.10,2188.10,5388632,11620611762.30,226452,KOTAK_MAHINDRA_BANK
16-Apr-25,2120.00,2151.60,2113.30,2121.60,2123.40,2899779,6166551677.30,157692,KOTAK_MAHINDRA_BANK
15-Apr-25,2145.00,2147.00,2099.60,2124.00,2120.20,5635664,11934062579.30,152731,KOTAK_MAHINDRA_BANK
11-Apr-25,2065.00,2139.50,2058.50,2109.85,2111.20,5594689,11821391565.50,172272,KOTAK_MAHINDRA_BANK
9-Apr-25,2054.00,2065.00,2042.10,2058.00,2052.70,3919578,8059283864.00,178642,KOTAK_MAHINDRA_BANK
8-Apr-25,2062.45,2079.90,2038.00,2058.00,2055.15,4094339,8416531029.20,147239,KOTAK_MAHINDRA_BANK
7-Apr-25,2018.70,2083.60,2000.80,2044.00,2037.85,7139049,14550642674.65,261737,KOTAK_MAHINDRA_BANK
4-Apr-25,2130.90,2146.30,2118.15,2132.10,2131.95,3788403,8068277988.85,206429,KOTAK_MAHINDRA_BANK
3-Apr-25,2129.00,2151.70,2127.15,2133.00,2132.60,1694038,3617749638.30,98442,KOTAK_MAHINDRA_BANK
2-Apr-25,2141.00,2160.65,2139.65,2153.05,2154.60,2132192,4584255535.25,102003,KOTAK_MAHINDRA_BANK
1-Apr-25,2174.30,2178.50,2135.90,2144.30,2145.90,3750939,8064000143.20,122843,KOTAK_MAHINDRA_BANK
28-Mar-25,2139.30,2179.90,2139.00,2174.00,2171.20,3672253,7957937513.40,178868,KOTAK_MAHINDRA_BANK
27-Mar-25,2144.00,2151.40,2111.85,2135.45,2128.65,9421224,20084695368.00,177390,KOTAK_MAHINDRA_BANK
26-Mar-25,2175.00,2176.00,2129.90,2148.65,2144.90,3016916,6475200479.05,170269,KOTAK_MAHINDRA_BANK
25-Mar-25,2179.90,2202.50,2160.00,2171.90,2170.00,7342433,16060326791.95,185498,KOTAK_MAHINDRA_BANK
24-Mar-25,2100.00,2184.25,2090.25,2180.00,2176.15,8508351,18407845040.40,224338,KOTAK_MAHINDRA_BANK
21-Mar-25,2040.00,2097.60,2035.00,2073.95,2079.00,18850808,39151111702.05,255463,KOTAK_MAHINDRA_BANK
20-Mar-25,2031.00,2038.90,2016.50,2032.10,2035.65,2683306,5456220483.50,139113,KOTAK_MAHINDRA_BANK
19-Mar-25,2039.25,2051.00,2017.25,2021.95,2021.55,5338288,10844145082.70,161325,KOTAK_MAHINDRA_BANK
18-Mar-25,2000.00,2039.00,1988.60,2035.15,2034.00,5384288,10890834384.30,203358,KOTAK_MAHINDRA_BANK
17-Mar-25,1980.10,1998.85,1974.25,1995.00,1993.10,3170929,6314647400.65,118386,KOTAK_MAHINDRA_BANK
13-Mar-25,1975.70,1993.35,1969.55,1981.50,1985.10,4925794,9777535694.00,142227,KOTAK_MAHINDRA_BANK
12-Mar-25,1940.00,1997.70,1938.00,1979.95,1982.55,6704494,13278847229.10,264027,KOTAK_MAHINDRA_BANK
11-Mar-25,1923.00,1944.00,1904.45,1936.70,1935.20,3207052,6177411789.35,143449,KOTAK_MAHINDRA_BANK
10-Mar-25,1932.50,1940.05,1916.35,1920.00,1921.75,2228534,4304580195.75,85417,KOTAK_MAHINDRA_BANK
7-Mar-25,1917.00,1940.60,1910.05,1932.00,1935.40,2780338,5356222987.95,82747,KOTAK_MAHINDRA_BANK
6-Mar-25,1944.00,1944.95,1909.85,1920.15,1921.70,5193093,9988839292.05,172071,KOTAK_MAHINDRA_BANK
5-Mar-25,1903.10,1953.65,1895.40,1936.80,1933.10,3811688,7376109100.75,164160,KOTAK_MAHINDRA_BANK
4-Mar-25,1901.15,1916.00,1896.75,1911.10,1907.80,3172050,6054519747.75,116275,KOTAK_MAHINDRA_BANK
3-Mar-25,1905.55,1923.65,1895.20,1914.95,1914.60,2607790,4984871747.15,171519,KOTAK_MAHINDRA_BANK
28-Feb-25,1937.05,1937.05,1893.90,1898.45,1902.95,6970315,13311313990.40,175774,KOTAK_MAHINDRA_BANK
27-Feb-25,1972.00,1975.00,1939.90,1941.90,1947.55,3708068,7232252744.20,149866,KOTAK_MAHINDRA_BANK
25-Feb-25,1969.00,1979.55,1958.60,1966.90,1967.25,4019894,7915242329.90,144013,KOTAK_MAHINDRA_BANK
24-Feb-25,1938.30,1970.00,1933.55,1960.70,1966.10,2218081,4339652971.95,158716,KOTAK_MAHINDRA_BANK
21-Feb-25,1970.55,1978.35,1934.50,1950.15,1953.05,4008552,7801850138.90,198921,KOTAK_MAHINDRA_BANK
20-Feb-25,1982.30,1982.35,1960.00,1970.00,1970.55,4724372,9308088595.80,141849,KOTAK_MAHINDRA_BANK
19-Feb-25,1963.95,1994.90,1962.00,1986.90,1985.00,3914165,7753877794.10,155867,KOTAK_MAHINDRA_BANK
18-Feb-25,1942.05,1966.00,1939.15,1962.25,1963.35,4344125,8489588689.55,318968,KOTAK_MAHINDRA_BANK
17-Feb-25,1955.00,1963.95,1932.65,1941.80,1945.30,2300119,4471942649.50,130009,KOTAK_MAHINDRA_BANK
14-Feb-25,1974.00,1974.00,1933.35,1949.80,1952.40,2610048,5087322578.35,126283,KOTAK_MAHINDRA_BANK
13-Feb-25,1963.00,1992.80,1960.55,1964.75,1972.80,12678373,25064293113.80,376384,KOTAK_MAHINDRA_BANK
12-Feb-25,1923.45,1949.00,1904.95,1945.50,1943.95,3219004,6209367285.90,144108,KOTAK_MAHINDRA_BANK
11-Feb-25,1964.60,1970.50,1906.60,1920.00,1918.60,3506682,6754205133.50,129372,KOTAK_MAHINDRA_BANK
10-Feb-25,1935.30,1965.00,1923.55,1962.85,1960.15,3569373,6948604470.75,207460,KOTAK_MAHINDRA_BANK
7-Feb-25,1921.00,1960.60,1907.90,1957.40,1929.25,4414174,8481407757.80,148252,KOTAK_MAHINDRA_BANK
6-Feb-25,1917.00,1920.00,1896.45,1916.80,1915.95,3193971,6094413578.80,143785,KOTAK_MAHINDRA_BANK
5-Feb-25,1937.80,1938.95,1902.35,1909.00,1911.75,3427385,6580850142.80,165065,KOTAK_MAHINDRA_BANK
4-Feb-25,1891.05,1941.20,1877.20,1931.30,1928.50,5332618,10205808606.55,196759,KOTAK_MAHINDRA_BANK
3-Feb-25,1893.60,1903.80,1881.55,1885.85,1884.50,3319808,6272360513.75,117826,KOTAK_MAHINDRA_BANK
1-Feb-25,1899.00,1917.15,1871.60,1910.70,1903.10,1096357,2084570873.75,59242,KOTAK_MAHINDRA_BANK
31-Jan-25,1903.05,1908.95,1889.60,1900.00,1901.30,2333229,4432163960.75,126893,KOTAK_MAHINDRA_BANK
30-Jan-25,1920.35,1938.10,1877.45,1903.80,1901.50,4239181,8090301027.40,205022,KOTAK_MAHINDRA_BANK
29-Jan-25,1887.80,1924.70,1885.00,1922.90,1920.35,2351631,4499529422.20,97665,KOTAK_MAHINDRA_BANK
28-Jan-25,1895.00,1905.00,1870.80,1887.00,1887.75,5157384,9732318447.60,188079,KOTAK_MAHINDRA_BANK
27-Jan-25,1875.00,1898.80,1862.75,1878.70,1881.40,1928503,3630897730.40,117348,KOTAK_MAHINDRA_BANK
24-Jan-25,1891.00,1918.50,1873.05,1883.40,1886.20,4025366,7632282178.35,89533,KOTAK_MAHINDRA_BANK
23-Jan-25,1907.10,1923.95,1892.10,1893.00,1894.85,3161159,6028492282.40,191618,KOTAK_MAHINDRA_BANK
22-Jan-25,1899.00,1920.50,1887.05,1915.10,1917.50,4176669,7970745670.05,155652,KOTAK_MAHINDRA_BANK
21-Jan-25,1920.95,1920.95,1891.00,1893.60,1893.30,4415663,8396073106.55,152161,KOTAK_MAHINDRA_BANK
20-Jan-25,1890.00,1929.90,1866.00,1918.00,1920.50,13324315,25479195049.45,414832,KOTAK_MAHINDRA_BANK
17-Jan-25,1797.00,1805.50,1748.30,1759.05,1758.60,3521728,6207379668.10,170335,KOTAK_MAHINDRA_BANK
16-Jan-25,1795.80,1814.95,1785.35,1806.00,1805.55,4451534,8036600953.45,194340,KOTAK_MAHINDRA_BANK
15-Jan-25,1760.10,1795.00,1760.10,1788.00,1789.60,3509861,6266221452.45,134844,KOTAK_MAHINDRA_BANK
14-Jan-25,1749.60,1768.85,1729.60,1759.50,1750.60,4948961,8645792071.60,192138,KOTAK_MAHINDRA_BANK
13-Jan-25,1732.90,1744.55,1723.75,1740.00,1738.40,3092388,5368239974.55,105945,KOTAK_MAHINDRA_BANK
10-Jan-25,1784.20,1789.65,1753.35,1759.50,1756.20,3502618,6199984677.10,165381,KOTAK_MAHINDRA_BANK
9-Jan-25,1774.00,1808.70,1774.00,1791.00,1790.20,5469827,9799945826.35,230709,KOTAK_MAHINDRA_BANK
8-Jan-25,1780.10,1784.70,1762.45,1765.05,1768.65,4364679,7728650677.05,174290,KOTAK_MAHINDRA_BANK
7-Jan-25,1787.00,1797.45,1769.90,1770.65,1772.05,4399938,7844267374.60,138267,KOTAK_MAHINDRA_BANK
6-Jan-25,1821.00,1825.00,1772.90,1777.90,1779.65,3992395,7139264262.05,158474,KOTAK_MAHINDRA_BANK
3-Jan-25,1851.00,1853.00,1817.10,1835.70,1838.65,4277149,7852798833.80,176893,KOTAK_MAHINDRA_BANK
2-Jan-25,1800.00,1840.20,1796.90,1834.05,1837.15,5096987,9319431122.75,189976,KOTAK_MAHINDRA_BANK
1-Jan-25,1779.25,1796.75,1777.00,1788.10,1788.40,1484828,2655879180.50,78772,KOTAK_MAHINDRA_BANK
31-Dec-24,1735.05,1796.60,1735.05,1785.00,1786.05,4731698,8428561946.85,150931,KOTAK_MAHINDRA_BANK
