Date ,OPEN ,HIGH ,LOW ,ltp ,close ,VOLUME ,VALUE ,No_of_trades,stock_name
16-May-25,300.00,302.20,295.50,300.10,300.20,16763668,5016070164.75,82803,POWERGRID
15-May-25,295.90,300.40,291.05,299.05,299.65,22640626,6684504136.90,155077,POWERGRID
14-May-25,299.20,300.55,294.05,296.30,295.95,10359258,3072282665.40,142377,POWERGRID
13-May-25,305.00,308.75,298.00,299.20,298.45,17988336,5413437342.60,145778,POWERGRID
12-May-25,304.05,311.10,304.05,309.90,309.05,7145884,2206915356.45,44608,POWERGRID
9-May-25,300.00,303.05,296.40,299.80,299.30,11981497,3591952620.15,107554,POWERGRID
8-May-25,313.40,317.40,304.00,305.30,308.25,19253478,5994417819.00,124387,POWERGRID
7-May-25,308.00,313.15,307.00,311.40,311.10,14679327,4564189210.60,83260,POWERGRID
6-May-25,307.60,310.45,305.55,307.45,307.60,9124804,2801911852.70,83665,POWERGRID
5-May-25,304.80,310.70,304.65,309.00,308.20,4342960,1340574521.55,75825,POWERGRID
2-May-25,305.50,309.00,302.30,303.95,303.95,8428889,2570036358.25,63862,POWERGRID
30-Apr-25,304.45,310.00,301.90,305.20,307.45,17619987,5423357571.10,106364,POWERGRID
29-Apr-25,308.55,310.80,301.20,304.05,302.95,14678005,4455736751.40,92051,POWERGRID
28-Apr-25,304.20,310.95,303.55,308.45,308.55,7314824,2257514385.85,71770,POWERGRID
25-Apr-25,313.00,315.40,303.40,305.30,306.50,11475773,3527049063.35,89081,POWERGRID
24-Apr-25,314.90,315.85,312.85,314.00,314.40,8021180,2522673494.85,54066,POWERGRID
23-Apr-25,314.15,316.10,309.45,314.05,314.95,8225575,2573543571.00,103137,POWERGRID
22-Apr-25,319.75,319.75,312.10,313.25,312.55,10027332,3152923462.15,96337,POWERGRID
21-Apr-25,310.00,322.00,308.45,320.00,320.00,13369014,4244649387.05,96683,POWERGRID
17-Apr-25,305.45,309.80,302.00,308.45,309.00,8528993,2620673197.10,87281,POWERGRID
16-Apr-25,304.45,307.00,302.80,305.50,305.75,7032401,2148721779.50,74562,POWERGRID
15-Apr-25,307.20,310.45,303.70,305.00,304.55,16563441,5077274084.70,97877,POWERGRID
11-Apr-25,293.25,305.00,293.25,303.95,304.10,19831004,5972619745.70,114026,POWERGRID
9-Apr-25,289.95,299.50,289.30,294.10,293.40,21342531,6296391245.85,133278,POWERGRID
8-Apr-25,291.95,294.00,284.65,289.15,288.95,20831596,6010287712.45,152056,POWERGRID
7-Apr-25,283.60,293.90,282.30,290.65,289.40,22847548,6612493598.40,203234,POWERGRID
4-Apr-25,300.00,300.90,292.10,294.30,293.90,21020875,6234790959.50,133590,POWERGRID
3-Apr-25,289.35,299.95,285.10,299.95,299.10,23478876,6949393423.50,140068,POWERGRID
2-Apr-25,286.85,289.75,284.50,287.05,286.75,11679536,3349321684.80,113481,POWERGRID
1-Apr-25,289.60,296.95,287.00,289.10,289.30,11603556,3381782683.90,97251,POWERGRID
