Date ,OPEN ,HIGH ,LOW ,ltp ,close ,VOLUME ,VALUE ,No_of_trades,stock_name
16-May-25,1453.3,1458.7,1447,1452.4,1454,6439208,9364246055,145344,ICICI_BANK
15-May-25,1425.9,1456.5,1415.5,1451,1450.8,18209264,26202383269,211899,ICICI_BANK
14-May-25,1429.9,1440.7,1417.3,1427.4,1426.2,8026837,11461311035,143054,ICICI_BANK
13-May-25,1440.1,1447.9,1427.4,1430.8,1430.6,12475424,17868617218,209013,ICICI_BANK
12-May-25,1409.4,1453,1404,1451.5,1448.5,9925445,14259837185,180758,ICICI_BANK
9-May-25,1415.2,1419.9,1387,1389,1388.9,13491197,18814033148,248736,ICICI_BANK
8-May-25,1438.6,1448.9,1426.1,1427.3,1435.5,15306490,22033510832,182407,ICICI_BANK
7-May-25,1425,1442,1421,1437.1,1435.4,10480453,15000167611,166481,ICICI_BANK
6-May-25,1429,1433.7,1420.4,1430,1431.6,6301690,9000265687,133476,ICICI_BANK
5-May-25,1440,1446.8,1426,1427.4,1429.4,4565705,6539397953,115354,ICICI_BANK
2-May-25,1426.9,1446.6,1424.6,1429,1432.4,10763492,15461819959,170242,ICICI_BANK
30-Apr-25,1433,1433.7,1400,1424.3,1427,14192027,20264976307,238248,ICICI_BANK
29-Apr-25,1428.8,1438.3,1422.6,1425.5,1429.8,10786910,15409265025,223499,ICICI_BANK
28-Apr-25,1405.6,1435,1403.8,1428,1428.8,10948561,15627194701,192819,ICICI_BANK
25-Apr-25,1410,1414.8,1388.4,1403,1404.8,11705093,16397782262,234552,ICICI_BANK
24-Apr-25,1416.3,1421.2,1398.8,1401,1402.7,15678099,22072210948,210098,ICICI_BANK
23-Apr-25,1429,1429.9,1411.3,1422,1424.4,13990764,19881670204,220724,ICICI_BANK
22-Apr-25,1412.8,1418.8,1398.9,1414,1416.5,16135274,22761177354,275616,ICICI_BANK
21-Apr-25,1436,1436,1404.7,1408.1,1409.8,16882426,23917404931,291654,ICICI_BANK
17-Apr-25,1362,1408.9,1360.1,1407,1406.7,17490424,24345198635,294006,ICICI_BANK
16-Apr-25,1357,1359.7,1342.9,1358,1356.4,14039073,18958940775,180990,ICICI_BANK
15-Apr-25,1351,1354.3,1336.2,1350.4,1350.2,15202603,20488528371,222333,ICICI_BANK
11-Apr-25,1305.1,1325,1305.1,1312.05,1311.65,13064247,17174325318,224885,ICICI_BANK
9-Apr-25,1304.95,1305.1,1284.5,1304,1300.8,13005622,16856903290,237174,ICICI_BANK
8-Apr-25,1299.85,1310.05,1287.35,1300.05,1299.9,13085762,16989934736,171223,ICICI_BANK
7-Apr-25,1295.25,1325,1265,1294.1,1287.55,19185012,24757611798,515573,ICICI_BANK
4-Apr-25,1329.55,1338.55,1322.1,1335,1335.3,8648542,11516414124,166068,ICICI_BANK
3-Apr-25,1321.95,1333,1321.25,1328.95,1329.55,4591008,6099629465,127085,ICICI_BANK
2-Apr-25,1322.15,1337.95,1322.15,1330.85,1331.25,8042214,10702134960,127734,ICICI_BANK
1-Apr-25,1340,1352.35,1315.4,1318.15,1318.45,14288024,18957734986,206118,ICICI_BANK
28-Mar-25,1336,1357.95,1327.2,1348,1348.35,8266544,11125900934,142133,ICICI_BANK
27-Mar-25,1333.15,1351.5,1333.15,1339,1336.65,15109614,20257403853,187305,ICICI_BANK
26-Mar-25,1344.05,1358,1331.5,1335.45,1335.9,10859639,14568352862,197579,ICICI_BANK
25-Mar-25,1359,1363.8,1330.05,1341.95,1343.7,16419207,22097082282,326362,ICICI_BANK
24-Mar-25,1355.95,1373,1345.05,1361.2,1358.15,9352280,12709278601,203054,ICICI_BANK
21-Mar-25,1316,1349,1311.6,1337.95,1343.1,60494318,81158565387,344744,ICICI_BANK
20-Mar-25,1320,1324.25,1311.05,1318.55,1321.7,10886735,14360481637,252535,ICICI_BANK
19-Mar-25,1305.6,1318.3,1302.15,1316,1313.1,11278014,14792332059,244205,ICICI_BANK
18-Mar-25,1285.5,1313.85,1280.65,1311.5,1309.85,15645427,20331886817,337230,ICICI_BANK
