Date ,OPEN ,HIGH ,LOW ,ltp ,close ,VOLUME ,VALUE ,No_of_trades,stock_name
16-May-25,406.00,409.00,403.60,405.00,404.80,4702603,1909915810.00,74827,COAL_INDIA
15-May-25,403.75,406.40,399.60,403.50,404.65,10511989,4237437466.50,121229,COAL_INDIA
14-May-25,396.75,404.05,396.45,403.75,403.10,6822756,2739576741.70,78279,COAL_INDIA
13-May-25,395.50,399.60,394.05,395.80,395.15,6307140,2505391039.45,73665,COAL_INDIA
12-May-25,391.95,396.10,387.50,394.80,395.50,6743279,2656035198.40,65946,COAL_INDIA
9-May-25,379.10,383.25,377.05,382.65,382.40,3809943,1452142016.35,65041,COAL_INDIA
8-May-25,390.00,394.95,382.25,383.25,385.45,14258083,5525465728.55,135448,COAL_INDIA
7-May-25,370.30,387.30,370.30,384.20,383.30,9162368,3502125191.20,86743,COAL_INDIA
6-May-25,386.50,387.65,377.40,378.10,378.25,5982166,2276698073.70,69718,COAL_INDIA
5-May-25,385.95,387.90,381.75,385.45,385.60,6395704,2466414147.05,111481,COAL_INDIA
2-May-25,385.50,390.95,381.40,383.35,384.40,6455015,2486139569.30,187022,COAL_INDIA
30-Apr-25,389.10,390.35,383.10,384.10,385.30,4559122,1762047258.40,68225,COAL_INDIA
29-Apr-25,397.15,400.35,388.45,388.70,389.10,6274213,2456627006.15,86558,COAL_INDIA
28-Apr-25,393.15,398.80,391.55,397.05,397.15,3458518,1371641450.90,54186,COAL_INDIA
25-Apr-25,400.30,404.00,389.65,392.65,393.15,7337588,2893890342.45,85539,COAL_INDIA
24-Apr-25,398.90,401.30,396.85,399.80,399.85,5762303,2302078510.45,93435,COAL_INDIA
23-Apr-25,400.00,401.60,394.00,398.20,398.95,7429142,2961888102.75,85047,COAL_INDIA
22-Apr-25,403.50,405.80,394.30,399.40,398.60,7558174,3035420915.90,73532,COAL_INDIA
21-Apr-25,399.25,406.00,395.65,400.70,400.50,8987570,3614307643.95,144005,COAL_INDIA
17-Apr-25,396.90,399.55,388.30,399.00,398.85,8364450,3304628345.60,114556,COAL_INDIA
16-Apr-25,395.25,400.10,392.50,399.80,399.25,4992290,1981480262.50,81985,COAL_INDIA
15-Apr-25,399.00,399.00,393.50,395.20,395.25,4371156,1731098433.50,61357,COAL_INDIA
11-Apr-25,389.95,392.80,382.15,391.85,392.10,6185984,2407857259.45,77309,COAL_INDIA
9-Apr-25,382.30,382.70,373.10,375.25,374.60,5781453,2179058690.80,76973,COAL_INDIA
8-Apr-25,385.00,385.50,376.65,382.70,382.85,3577328,1362677098.45,73491,COAL_INDIA
7-Apr-25,358.85,379.40,356.00,378.90,377.50,10202400,3777497296.40,138083,COAL_INDIA
4-Apr-25,396.00,396.00,382.60,385.50,385.05,6718760,2596445865.25,113957,COAL_INDIA
3-Apr-25,395.00,400.00,393.20,396.80,397.05,4970602,1974787645.45,78446,COAL_INDIA
2-Apr-25,401.60,401.60,391.50,398.15,397.50,4197123,1660912213.60,52849,COAL_INDIA
1-Apr-25,397.80,402.55,395.05,398.00,397.65,4332950,1729209903.45,56235,COAL_INDIA
28-Mar-25,397.00,401.90,393.50,397.30,398.20,6923988,2758920900.55,80108,COAL_INDIA
27-Mar-25,393.25,399.65,392.05,396.70,396.85,7697174,3059571875.05,96216,COAL_INDIA
26-Mar-25,398.50,402.45,393.15,394.00,394.80,5025274,1997380043.85,98740,COAL_INDIA
25-Mar-25,408.00,408.25,397.10,397.90,398.30,5636291,2259014010.05,82080,COAL_INDIA
24-Mar-25,407.95,411.80,405.05,405.65,406.00,5260300,2142428737.75,80607,COAL_INDIA
21-Mar-25,396.40,411.10,395.10,405.85,405.40,16564019,6727238795.70,115822,COAL_INDIA
20-Mar-25,397.70,398.10,392.05,398.00,396.40,7025398,2780725352.60,76297,COAL_INDIA
19-Mar-25,390.05,398.05,388.80,395.75,395.85,5827114,2301390498.05,120003,COAL_INDIA
18-Mar-25,387.45,393.15,386.45,388.80,389.30,6211943,2421889532.55,74255,COAL_INDIA
17-Mar-25,380.20,387.05,379.05,385.55,385.75,5456631,2096999767.55,76319,COAL_INDIA
13-Mar-25,381.50,383.00,377.35,378.75,378.30,3918004,1488714285.55,59836,COAL_INDIA
12-Mar-25,379.55,382.85,373.80,380.05,380.70,3951912,1496949294.05,51879,COAL_INDIA
11-Mar-25,371.00,380.00,368.00,378.60,379.05,5340552,2003905013.15,64573,COAL_INDIA
10-Mar-25,380.70,386.60,374.05,374.65,375.15,5541001,2102775121.80,68931,COAL_INDIA
7-Mar-25,382.60,389.60,379.40,380.90,380.65,8321771,3193159133.05,98371,COAL_INDIA
6-Mar-25,370.05,384.15,368.10,382.15,382.60,11247215,4256436709.95,159630,COAL_INDIA
5-Mar-25,362.05,368.90,362.05,368.25,368.25,5730797,2100829182.80,97125,COAL_INDIA
4-Mar-25,356.10,366.50,352.60,363.50,363.85,5535218,1998192239.05,74575,COAL_INDIA
