Date ,OPEN ,HIGH ,LOW ,ltp ,close ,VOLUME ,VALUE ,No_of_trades,stock_name
16-May-25,804.00,804.00,791.00,792.50,792.10,14733924,11700004865.75,241785,SBI
15-May-25,804.45,809.45,794.50,808.00,807.75,17058854,13681951074.05,200305,SBI
14-May-25,805.75,807.50,796.30,802.40,800.70,9281719,7439187440.95,146698,SBI
13-May-25,798.60,807.65,797.20,801.95,801.75,13909596,11159932476.10,201551,SBI
12-May-25,799.00,803.90,793.00,800.95,801.65,15096824,12075421793.80,173252,SBI
9-May-25,756.50,781.70,755.50,780.50,779.25,13578216,10486227680.40,246098,SBI
8-May-25,779.00,786.50,764.00,765.45,769.00,14491673,11242592363.70,202239,SBI
7-May-25,765.30,782.40,764.55,777.80,776.10,15586266,12089945664.90,254691,SBI
6-May-25,793.95,799.15,771.10,772.80,774.10,18869468,14676463740.85,344651,SBI
5-May-25,782.00,799.00,782.00,790.60,790.00,23986447,18940919612.00,422162,SBI
2-May-25,790.35,803.40,789.00,799.80,800.00,17199386,13685736797.75,281692,SBI
30-Apr-25,811.50,811.50,784.50,787.60,788.65,25635764,20281571431.10,476377,SBI
29-Apr-25,820.00,829.00,809.00,810.75,812.55,11283059,9240843611.60,231689,SBI
28-Apr-25,798.65,822.80,797.40,816.55,817.35,11317611,9212982723.40,199250,SBI
25-Apr-25,815.00,819.00,787.00,797.40,798.65,13131038,10497610552.70,223526,SBI
24-Apr-25,812.75,819.00,811.15,812.00,813.40,12713521,10359638546.25,141306,SBI
23-Apr-25,826.00,831.00,810.10,813.50,813.45,12104382,9893605141.30,174170,SBI
22-Apr-25,821.15,835.50,814.00,821.30,822.40,25117557,20780349179.95,323370,SBI
21-Apr-25,803.00,824.35,801.40,817.20,816.70,16398507,13397975541.00,359684,SBI
17-Apr-25,772.00,801.00,767.15,793.85,797.45,27034818,21290993764.10,335841,SBI
16-Apr-25,763.50,774.75,760.50,772.15,771.75,12536694,9644113410.45,204698,SBI
15-Apr-25,770.00,770.70,757.10,764.50,763.50,7859090,6015134839.80,167851,SBI
11-Apr-25,759.00,759.70,746.00,753.85,753.85,9360327,7044429057.55,200062,SBI
9-Apr-25,767.00,767.95,741.00,742.45,742.20,11319387,8504647288.25,208433,SBI
