Date ,OPEN ,HIGH ,LOW ,ltp ,close ,VOLUME ,VALUE ,No_of_trades,stock_name
16-May-25,1933.80,1943.80,1928.40,1934.50,1934.70,7934005,15340426257.00,175140,HDFC_BANK
15-May-25,1913.50,1944.80,1897.00,1933.80,1933.80,16120729,31000329957.90,224596,HDFC_BANK
14-May-25,1922.10,1930.20,1903.00,1913.50,1910.60,7722654,14787000374.50,189542,HDFC_BANK
13-May-25,1950.00,1961.70,1920.00,1924.90,1922.60,12121051,23400936924.40,234495,HDFC_BANK
12-May-25,1917.60,1959.90,1912.30,1956.40,1957.20,9309486,18142865391.20,207249,HDFC_BANK
9-May-25,1910.10,1919.00,1886.80,1893.30,1889.70,8594398,16286144558.60,292155,HDFC_BANK
8-May-25,1954.80,1954.80,1919.10,1921.50,1928.50,17401715,33651432174.30,280256,HDFC_BANK
7-May-25,1934.00,1948.70,1922.40,1945.00,1945.60,10710389,20777145511.00,178998,HDFC_BANK
6-May-25,1930.00,1940.10,1924.30,1928.60,1931.70,8745078,16894488689.10,140830,HDFC_BANK
5-May-25,1939.00,1952.00,1932.30,1935.80,1936.80,7534012,14621940034.00,160044,HDFC_BANK
2-May-25,1929.80,1941.90,1920.00,1923.50,1925.00,11406024,22020820771.50,236285,HDFC_BANK
30-Apr-25,1913.00,1936.90,1910.30,1920.10,1925.00,15968435,30739492241.20,275126,HDFC_BANK
29-Apr-25,1918.80,1928.80,1900.20,1906.00,1908.80,9459154,18062438512.30,186299,HDFC_BANK
28-Apr-25,1911.20,1929.70,1908.40,1921.00,1920.20,6960246,13378745824.70,155527,HDFC_BANK
25-Apr-25,1924.80,1933.00,1891.80,1908.00,1911.20,9250439,17681017343.80,201781,HDFC_BANK
24-Apr-25,1910.00,1923.90,1905.10,1914.90,1916.80,12965877,24852091752.80,227034,HDFC_BANK
23-Apr-25,1978.90,1978.90,1920.50,1920.70,1923.90,15285321,29638923676.10,247823,HDFC_BANK
22-Apr-25,1935.00,1970.60,1935.00,1960.00,1961.70,22980875,44977215852.40,512026,HDFC_BANK
21-Apr-25,1924.00,1950.70,1910.00,1925.20,1927.10,17123649,33062832499.30,411337,HDFC_BANK
17-Apr-25,1882.00,1919.70,1876.70,1905.80,1906.70,17851542,33943168763.20,394807,HDFC_BANK
16-Apr-25,1883.80,1883.80,1860.50,1875.90,1878.00,9568410,17932665363.90,252887,HDFC_BANK
15-Apr-25,1865.00,1876.80,1855.00,1865.60,1864.90,24649172,46014108976.00,360194,HDFC_BANK
