Date ,OPEN ,HIGH ,LOW ,ltp ,close ,VOLUME ,VALUE ,No_of_trades,stock_name
16-May-25,1453.20,1461.00,1447.30,1454.80,1456.40,9036695,13149797875.40,196322,RELIANCE_INDUSTRIES
15-May-25,1425.00,1461.40,1412.70,1453.00,1454.20,20177211,29083683834.80,314261,RELIANCE_INDUSTRIES
14-May-25,1420.00,1429.90,1415.50,1425.20,1424.40,5570160,7928045614.70,145014,RELIANCE_INDUSTRIES
13-May-25,1433.50,1447.70,1412.40,1416.50,1415.70,11407896,16236102678.90,281992,RELIANCE_INDUSTRIES
12-May-25,1400.00,1439.00,1400.00,1436.90,1436.50,10674081,15224970250.50,310602,RELIANCE_INDUSTRIES
9-May-25,1385.50,1394.80,1374.50,1379.50,1377.20,13668904,18895751340.10,388013,RELIANCE_INDUSTRIES
8-May-25,1404.10,1420.80,1398.00,1398.00,1407.00,16106175,22717878064.30,231342,RELIANCE_INDUSTRIES
7-May-25,1420.90,1424.40,1402.70,1405.90,1406.00,13440169,18988126278.30,222903,RELIANCE_INDUSTRIES
6-May-25,1431.00,1432.00,1410.60,1418.00,1420.90,14084117,19985559677.40,226761,RELIANCE_INDUSTRIES
5-May-25,1431.00,1439.50,1426.90,1430.00,1431.30,12685649,18165843553.00,204503,RELIANCE_INDUSTRIES
2-May-25,1414.00,1426.70,1409.10,1422.50,1422.40,17535402,24894140200.00,378385,RELIANCE_INDUSTRIES
30-Apr-25,1402.00,1412.40,1369.00,1395.00,1405.00,25480745,35797220282.00,598769,RELIANCE_INDUSTRIES
29-Apr-25,1371.00,1410.90,1370.00,1398.90,1399.70,32538970,45417061104.50,680195,RELIANCE_INDUSTRIES
28-Apr-25,1340.00,1374.60,1320.20,1366.30,1368.80,31104496,42147123069.00,893347,RELIANCE_INDUSTRIES
25-Apr-25,1303.50,1325.20,1288.10,1301.00,1300.40,14431012,18807907514.70,307093,RELIANCE_INDUSTRIES
24-Apr-25,1292.40,1304.50,1290.30,1303.50,1301.60,10468940,13592084385.00,181309,RELIANCE_INDUSTRIES
23-Apr-25,1297.00,1306.00,1285.40,1297.00,1300.00,10480888,13594597555.00,232149,RELIANCE_INDUSTRIES
22-Apr-25,1300.00,1303.90,1286.30,1289.00,1291.20,13051707,16914900850.30,229331,RELIANCE_INDUSTRIES
21-Apr-25,1270.00,1300.90,1267.00,1295.20,1295.50,10429964,13469949890.00,257857,RELIANCE_INDUSTRIES
17-Apr-25,1240.20,1280.20,1227.60,1273.00,1274.50,15398401,19407871411.00,321235,RELIANCE_INDUSTRIES
16-Apr-25,1234.10,1240.90,1229.00,1238.00,1239.30,8248464,10191864641.70,164065,RELIANCE_INDUSTRIES
15-Apr-25,1251.00,1251.00,1237.10,1239.60,1240.10,13378535,16627177949.10,199888,RELIANCE_INDUSTRIES
11-Apr-25,1195.15,1222.65,1195.15,1220.00,1218.95,11224242,13626831085.65,187059,RELIANCE_INDUSTRIES
9-Apr-25,1169.50,1189.80,1168.00,1187.50,1185.35,10223104,12094749463.20,193325,RELIANCE_INDUSTRIES
8-Apr-25,1172.00,1196.60,1163.30,1181.05,1182.20,19555040,23065209423.00,314171,RELIANCE_INDUSTRIES
7-Apr-25,1132.20,1171.25,1114.85,1171.25,1165.70,22156106,25491501838.90,677564,RELIANCE_INDUSTRIES
4-Apr-25,1241.10,1245.45,1193.15,1205.90,1204.70,17908652,21608977995.10,542347,RELIANCE_INDUSTRIES
