Date ,OPEN ,HIGH ,LOW ,ltp ,close ,VOLUME ,VALUE ,No_of_trades,stock_name
16-May-25,157.35,158.15,157.00,157.40,157.55,22884754,3604983002.25,162033,TATA_STEEL
15-May-25,155.50,157.84,154.30,157.19,157.35,57066105,8947211738.95,273956,TATA_STEEL
14-May-25,151.00,157.15,151.00,155.30,155.31,60002060,9330007517.78,290806,TATA_STEEL
13-May-25,152.00,152.99,149.01,149.60,149.43,54389876,8176431830.42,266505,TATA_STEEL
12-May-25,145.61,151.95,144.50,150.95,151.63,47087413,7053342672.26,233295,TATA_STEEL
9-May-25,140.99,143.27,140.51,142.80,142.78,21875453,3111085069.45,145961,TATA_STEEL
8-May-25,146.00,146.66,142.85,143.28,143.67,29687927,4282262715.18,154433,TATA_STEEL
7-May-25,142.20,146.95,142.20,145.70,146.00,34674594,5031739767.38,192575,TATA_STEEL
6-May-25,142.08,145.40,141.54,144.03,144.44,42658262,6142362668.10,230798,TATA_STEEL
5-May-25,141.57,142.70,141.20,142.10,142.08,17213477,2445679467.61,110720,TATA_STEEL
2-May-25,140.00,143.10,139.45,141.01,141.18,34852288,4932373274.49,213141,TATA_STEEL
30-Apr-25,141.45,141.56,138.00,139.56,140.08,29205042,4107241617.98,149767,TATA_STEEL
29-Apr-25,142.07,143.30,140.92,141.56,141.50,25758449,3655994014.18,162820,TATA_STEEL
28-Apr-25,138.54,142.60,138.38,141.99,142.07,26971589,3809614109.69,160043,TATA_STEEL
25-Apr-25,142.00,143.45,138.02,138.54,138.85,37764696,5285618336.86,198899,TATA_STEEL
24-Apr-25,140.70,141.88,140.28,141.44,141.52,23061444,3260000657.11,126453,TATA_STEEL
23-Apr-25,139.39,141.50,137.32,140.70,141.16,37851304,5283498279.14,200342,TATA_STEEL
22-Apr-25,142.00,142.84,137.70,137.97,138.16,58429662,8165164937.32,230625,TATA_STEEL
21-Apr-25,137.65,140.30,137.05,139.50,139.18,26503486,3686212972.38,207964,TATA_STEEL
17-Apr-25,134.40,137.96,133.70,137.24,137.14,62282856,8470143514.15,362747,TATA_STEEL
16-Apr-25,136.41,137.60,134.62,137.10,136.97,42684087,5799167230.47,196883,TATA_STEEL
15-Apr-25,135.60,137.00,134.84,136.70,136.41,38967608,5298486163.86,236436,TATA_STEEL
11-Apr-25,134.67,134.70,130.49,133.47,133.42,73706472,9803073537.58,349444,TATA_STEEL
9-Apr-25,130.00,130.00,125.30,127.35,127.18,73399980,9326218503.85,426871,TATA_STEEL
8-Apr-25,134.89,136.20,128.02,130.05,130.28,68999181,9043262229.44,360513,TATA_STEEL
7-Apr-25,128.00,130.35,125.33,130.20,129.48,121806340,15544431644.89,607208,TATA_STEEL
4-Apr-25,152.62,152.99,140.00,140.67,140.39,80846143,11589598417.40,439854,TATA_STEEL
3-Apr-25,153.00,155.97,152.60,153.85,153.62,15117526,2334771453.89,110552,TATA_STEEL
2-Apr-25,154.00,156.25,152.27,154.84,154.69,24977582,3855206531.03,122844,TATA_STEEL
1-Apr-25,152.07,155.34,152.07,153.25,153.12,29142122,4470769084.97,151632,TATA_STEEL
28-Mar-25,155.38,156.91,153.37,153.98,154.24,24589315,3798935508.26,105656,TATA_STEEL
27-Mar-25,154.80,156.10,154.20,155.36,155.42,25909068,4028014189.92,136794,TATA_STEEL
26-Mar-25,156.20,157.54,155.01,155.07,155.81,23182869,3626732598.78,142138,TATA_STEEL
25-Mar-25,159.00,159.00,156.05,156.27,156.73,28467187,4475745077.22,182282,TATA_STEEL
24-Mar-25,158.00,159.00,157.11,158.29,158.42,30905773,4895984860.52,154989,TATA_STEEL
21-Mar-25,159.03,159.75,156.82,157.08,157.28,49184821,7769239117.59,154615,TATA_STEEL
20-Mar-25,160.00,160.10,156.65,159.03,159.04,39889517,6328046698.67,193466,TATA_STEEL
19-Mar-25,156.80,159.20,156.50,158.54,158.60,66161413,10460845185.47,362436,TATA_STEEL
18-Mar-25,153.00,154.83,152.22,154.60,154.66,38125586,5859164416.95,277281,TATA_STEEL
17-Mar-25,151.99,152.64,150.90,152.01,151.81,35879781,5444435545.07,191938,TATA_STEEL
13-Mar-25,152.00,153.56,150.02,150.70,150.88,48286431,7314085180.50,206875,TATA_STEEL
12-Mar-25,151.00,152.28,147.70,150.28,150.30,26377549,3950005335.92,152112,TATA_STEEL
11-Mar-25,148.10,151.70,148.00,150.83,150.75,35916900,5407720556.67,182888,TATA_STEEL
10-Mar-25,151.56,154.24,150.41,150.65,151.05,54450331,8290275937.58,272383,TATA_STEEL
7-Mar-25,149.74,152.45,149.27,151.50,151.56,81821791,12401572015.30,298325,TATA_STEEL
6-Mar-25,146.79,152.20,146.20,149.74,150.44,79121467,11849800824.69,348979,TATA_STEEL
5-Mar-25,139.00,146.49,139.00,145.68,146.10,62109377,8946872004.34,384142,TATA_STEEL
4-Mar-25,136.15,140.94,135.81,139.29,139.34,28634645,3983876585.13,173877,TATA_STEEL
3-Mar-25,137.00,139.05,134.31,138.32,138.57,31154401,4268841100.55,228959,TATA_STEEL
28-Feb-25,137.80,137.80,134.06,137.16,137.20,45540594,6203916419.27,270079,TATA_STEEL
27-Feb-25,137.21,138.99,135.88,138.80,138.69,30747044,4219634170.42,177643,TATA_STEEL
25-Feb-25,138.49,139.35,136.70,137.00,137.07,23575603,3243071564.86,202741,TATA_STEEL
24-Feb-25,138.81,140.66,136.66,137.39,137.65,25193205,3498235797.80,194696,TATA_STEEL
21-Feb-25,137.91,141.60,137.15,140.60,140.76,41987785,5886250057.98,258806,TATA_STEEL
20-Feb-25,135.27,138.36,135.00,138.00,138.04,24139808,3312552015.27,175522,TATA_STEEL
19-Feb-25,134.50,136.88,133.03,135.80,135.76,18447487,2506399510.52,142282,TATA_STEEL
18-Feb-25,134.29,134.90,131.75,134.16,134.54,23957576,3193739383.77,144444,TATA_STEEL
17-Feb-25,132.91,134.80,130.73,134.31,134.29,21189637,2824189592.79,194558,TATA_STEEL
14-Feb-25,136.25,139.25,133.33,134.02,134.47,41469242,5619570218.29,224745,TATA_STEEL
13-Feb-25,132.28,137.69,131.86,136.41,136.25,52036196,7080756827.59,240088,TATA_STEEL
12-Feb-25,129.35,133.29,128.31,132.25,132.28,37927696,4965112642.36,219471,TATA_STEEL
11-Feb-25,133.00,134.34,129.70,130.20,130.11,23635428,3113046800.70,189150,TATA_STEEL
10-Feb-25,138.10,138.10,133.00,133.91,134.04,26120805,3503387611.66,188430,TATA_STEEL
7-Feb-25,133.30,138.75,132.56,138.16,138.31,52950146,7241665875.06,278840,TATA_STEEL
6-Feb-25,134.50,134.87,132.02,132.65,132.54,22408168,2973956819.77,152707,TATA_STEEL
5-Feb-25,133.15,135.39,133.08,134.34,134.40,16958362,2282813794.56,150442,TATA_STEEL
4-Feb-25,132.80,134.34,131.87,133.10,133.42,25032519,3331380045.26,173008,TATA_STEEL
3-Feb-25,131.29,132.51,127.81,131.52,131.82,27765357,3610121727.84,217595,TATA_STEEL
1-Feb-25,135.00,135.50,130.25,133.00,132.97,21173846,2821702724.62,122582,TATA_STEEL
31-Jan-25,131.12,135.00,129.93,134.90,134.62,26689228,3566338275.87,170870,TATA_STEEL
30-Jan-25,130.80,132.15,130.10,131.80,131.12,25256096,3316053251.18,152907,TATA_STEEL
29-Jan-25,129.00,131.34,128.55,131.00,130.80,16674706,2175873479.85,151765,TATA_STEEL
28-Jan-25,126.37,130.49,124.74,128.95,128.62,40373804,5184826348.23,280931,TATA_STEEL
27-Jan-25,129.02,129.45,125.74,126.55,126.37,24650571,3153638220.92,192562,TATA_STEEL
24-Jan-25,130.50,133.20,129.31,130.50,129.74,37092106,4859603275.51,232578,TATA_STEEL
23-Jan-25,127.85,130.75,127.70,130.65,130.37,20722538,2694072514.27,149396,TATA_STEEL
22-Jan-25,130.25,130.35,127.12,128.85,128.92,27505569,3533007239.30,196312,TATA_STEEL
21-Jan-25,132.06,132.40,129.25,129.78,129.70,32238213,4213367366.39,216078,TATA_STEEL
20-Jan-25,130.99,132.10,128.91,131.47,131.66,20571916,2686464953.32,173350,TATA_STEEL
17-Jan-25,127.90,131.16,127.64,130.15,130.28,27421959,3553781052.65,208791,TATA_STEEL
16-Jan-25,128.00,128.47,126.56,127.70,127.81,22164393,2826849469.18,176428,TATA_STEEL
15-Jan-25,128.00,128.31,125.78,126.60,126.53,18773125,2384173457.53,196481,TATA_STEEL
14-Jan-25,122.94,127.64,122.94,127.22,126.93,36877365,4651465899.79,253782,TATA_STEEL
13-Jan-25,126.00,126.50,122.62,122.80,122.93,38968332,4848785035.50,330215,TATA_STEEL
10-Jan-25,129.93,130.39,126.70,127.78,127.43,34855510,4462316144.21,261109,TATA_STEEL
9-Jan-25,132.00,132.40,129.70,130.12,129.93,31903107,4164281728.67,252233,TATA_STEEL
8-Jan-25,133.93,134.24,131.77,132.55,132.64,31570331,4187651105.64,262476,TATA_STEEL
7-Jan-25,132.78,133.88,132.01,133.18,133.38,24239451,3224973077.16,193472,TATA_STEEL
6-Jan-25,138.36,138.39,131.35,132.00,132.18,44620509,5954073554.56,389702,TATA_STEEL
3-Jan-25,138.18,139.73,137.84,138.33,138.36,23351832,3238624775.28,174962,TATA_STEEL
2-Jan-25,137.00,138.45,136.40,138.00,138.18,23388424,3214429963.27,212832,TATA_STEEL
1-Jan-25,138.10,138.45,136.58,136.87,136.74,18169498,2490238878.67,167193,TATA_STEEL
31-Dec-24,136.87,138.68,136.56,138.10,138.05,20080291,2763636940.24,184867,TATA_STEEL
30-Dec-24,138.91,139.25,136.09,137.50,136.88,32555723,4484971555.03,208126,TATA_STEEL
27-Dec-24,140.70,141.75,138.61,138.97,138.91,19562177,2737725744.49,167507,TATA_STEEL
