Date ,OPEN ,HIGH ,LOW ,ltp ,close ,VOLUME ,VALUE ,No_of_trades,stock_name
16-May-25,1206.00,1213.30,1203.20,1209.00,1208.80,4016269,4851654282.70,115311,AXIS_BANK
15-May-25,1197.00,1217.00,1185.00,1206.80,1209.10,6705748,8071105980.00,174483,AXIS_BANK
14-May-25,1195.90,1199.40,1185.90,1195.00,1195.50,4084921,4877518351.90,94453,AXIS_BANK
13-May-25,1205.20,1214.80,1190.00,1193.30,1193.60,5569926,6681384586.00,143677,AXIS_BANK
12-May-25,1185.00,1209.00,1175.20,1204.50,1203.00,7616208,9121777672.80,170402,AXIS_BANK
9-May-25,1160.00,1172.20,1148.50,1153.00,1151.10,5379571,6219617831.20,134431,AXIS_BANK
8-May-25,1170.00,1179.00,1165.60,1170.00,1172.20,9912347,11632634928.60,144531,AXIS_BANK
7-May-25,1159.00,1168.60,1152.90,1163.00,1161.30,4263817,4952774071.20,116326,AXIS_BANK
6-May-25,1178.00,1178.80,1157.70,1159.00,1161.40,5348267,6236023777.50,166692,AXIS_BANK
5-May-25,1190.00,1190.00,1164.30,1174.10,1173.20,7236056,8491687633.10,168773,AXIS_BANK
2-May-25,1182.10,1210.50,1180.10,1180.60,1182.20,6567678,7838803788.20,161531,AXIS_BANK
30-Apr-25,1185.10,1193.90,1175.00,1183.50,1185.00,6288257,7458962812.10,168279,AXIS_BANK
29-Apr-25,1194.00,1210.00,1184.40,1189.60,1187.30,6074520,7259133821.40,181038,AXIS_BANK
28-Apr-25,1166.30,1196.00,1164.30,1191.30,1192.80,5523502,6540831412.90,121834,AXIS_BANK
25-Apr-25,1177.00,1179.90,1146.00,1165.30,1166.30,17243807,20043777250.10,333692,AXIS_BANK
24-Apr-25,1199.10,1220.00,1199.10,1208.50,1207.10,9078137,10985620863.50,136986,AXIS_BANK
23-Apr-25,1225.30,1230.00,1194.90,1206.00,1206.90,9433911,11378095632.10,148975,AXIS_BANK
22-Apr-25,1230.40,1235.00,1212.10,1215.20,1216.80,8461710,10330801929.40,235824,AXIS_BANK
21-Apr-25,1202.00,1238.70,1198.10,1220.90,1223.00,15166580,18595779710.90,282053,AXIS_BANK
17-Apr-25,1155.60,1199.20,1153.60,1190.10,1190.80,13446336,15904022428.70,250174,AXIS_BANK
16-Apr-25,1122.70,1163.50,1112.60,1161.00,1161.30,12836428,14754907008.10,276884,AXIS_BANK
15-Apr-25,1090.00,1117.00,1083.00,1115.50,1112.80,9320299,10328121177.80,181266,AXIS_BANK
11-Apr-25,1063.30,1072.70,1057.55,1068.75,1068.95,8144072,8680653944.90,137579,AXIS_BANK
9-Apr-25,1073.10,1081.85,1058.00,1063.40,1061.65,6690201,7129710618.60,154579,AXIS_BANK
8-Apr-25,1061.00,1084.95,1060.30,1078.00,1077.85,8723357,9387848610.45,226367,AXIS_BANK
7-Apr-25,1035.00,1069.00,1032.35,1052.00,1047.95,9720457,10173097350.30,298776,AXIS_BANK
4-Apr-25,1081.50,1101.90,1075.45,1090.10,1091.30,6059991,6601824905.10,128117,AXIS_BANK
3-Apr-25,1078.90,1091.95,1075.30,1089.90,1089.85,5345660,5818039155.25,182207,AXIS_BANK
2-Apr-25,1091.70,1095.60,1080.75,1086.20,1084.45,4065344,4417669416.00,119257,AXIS_BANK
1-Apr-25,1093.20,1101.25,1070.00,1085.20,1085.60,6638140,7197416903.60,243314,AXIS_BANK
28-Mar-25,1098.40,1107.00,1086.50,1101.00,1102.00,4921190,5413318377.10,126540,AXIS_BANK
27-Mar-25,1092.00,1108.00,1088.10,1098.00,1098.35,8508917,9364148827.80,143198,AXIS_BANK
26-Mar-25,1115.00,1118.85,1089.05,1094.00,1096.25,7127060,7857243093.15,180359,AXIS_BANK
25-Mar-25,1109.95,1123.50,1096.35,1109.00,1118.55,11720528,13008342819.70,190217,AXIS_BANK
24-Mar-25,1082.00,1104.95,1073.70,1099.00,1097.85,8284863,9082992907.05,131231,AXIS_BANK
21-Mar-25,1054.35,1075.55,1050.55,1075.55,1070.15,6848565,7304557912.70,104946,AXIS_BANK
20-Mar-25,1056.25,1058.90,1046.90,1052.00,1054.35,3742644,3945949227.15,106266,AXIS_BANK
19-Mar-25,1047.80,1058.55,1043.50,1051.50,1052.05,4822365,5081250897.25,116632,AXIS_BANK
18-Mar-25,1044.15,1054.25,1033.70,1045.00,1045.25,7365940,7682000219.55,144396,AXIS_BANK
17-Mar-25,1011.10,1039.00,1011.10,1034.00,1034.15,5938668,6098572427.60,176948,AXIS_BANK
13-Mar-25,1015.00,1016.00,1005.10,1010.30,1010.20,4004140,4047370014.45,93202,AXIS_BANK
12-Mar-25,1025.20,1029.80,999.20,1010.95,1011.20,7504702,7575292803.65,258740,AXIS_BANK
11-Mar-25,1030.40,1036.80,1021.10,1026.00,1025.65,4771085,4902320397.65,229713,AXIS_BANK
10-Mar-25,1036.00,1050.50,1032.35,1035.30,1035.85,5995655,6245752164.15,134845,AXIS_BANK
7-Mar-25,1033.70,1050.35,1030.70,1038.00,1037.65,7597321,7893101594.15,190760,AXIS_BANK
6-Mar-25,1022.60,1039.50,1015.15,1034.00,1034.10,7861120,8099002664.45,185457,AXIS_BANK
5-Mar-25,1003.00,1017.40,1002.55,1014.15,1014.45,5133873,5201767336.25,97572,AXIS_BANK
4-Mar-25,1001.10,1011.10,998.60,1003.00,1001.80,5786420,5801568843.50,202534,AXIS_BANK
3-Mar-25,1017.05,1019.40,992.00,1006.00,1007.25,6763184,6793687630.05,251708,AXIS_BANK
