Date ,OPEN ,HIGH ,LOW ,ltp ,close ,VOLUME ,VALUE ,No_of_trades,stock_name
16-May-25,1509.70,1510.20,1492.00,1501.00,1499.90,1660861,2489937388.40,65109,CIPLA_LIMITED
15-May-25,1495.00,1512.90,1475.00,1500.90,1502.20,3918531,5847495943.10,179484,CIPLA_LIMITED
14-May-25,1495.00,1505.90,1474.60,1499.90,1494.80,3417567,5109212195.00,191966,CIPLA_LIMITED
13-May-25,1515.00,1539.90,1497.10,1520.00,1520.10,4042184,6145003326.90,192782,CIPLA_LIMITED
12-May-25,1478.00,1516.90,1462.20,1507.30,1511.60,1706217,2552908617.00,104009,CIPLA_LIMITED
9-May-25,1469.90,1486.40,1463.70,1477.00,1480.00,1042380,1539234273.70,123546,CIPLA_LIMITED
8-May-25,1500.00,1508.70,1477.90,1480.00,1486.80,2773328,4124299814.30,191367,CIPLA_LIMITED
7-May-25,1500.00,1517.80,1499.40,1511.00,1508.80,1424662,2148507563.10,62971,CIPLA_LIMITED
6-May-25,1530.00,1531.90,1495.00,1505.90,1511.40,1788719,2702333928.50,92252,CIPLA_LIMITED
5-May-25,1532.00,1549.00,1528.30,1542.70,1542.90,786898,1211760967.20,40000,CIPLA_LIMITED
2-May-25,1537.50,1552.50,1513.50,1530.00,1525.60,2020145,3089763539.70,93365,CIPLA_LIMITED
30-Apr-25,1542.00,1570.80,1538.00,1550.00,1550.10,2315010,3597195037.90,83543,CIPLA_LIMITED
29-Apr-25,1555.00,1560.60,1531.00,1542.00,1541.50,1385331,2137897014.90,92484,CIPLA_LIMITED
28-Apr-25,1525.90,1565.00,1525.90,1552.00,1555.10,1207247,1874548828.60,92013,CIPLA_LIMITED
25-Apr-25,1556.00,1566.70,1513.50,1525.10,1525.90,1353813,2072782757.20,88697,CIPLA_LIMITED
24-Apr-25,1533.70,1556.00,1524.90,1554.00,1551.70,1590469,2460333453.50,76384,CIPLA_LIMITED
23-Apr-25,1533.00,1539.00,1516.00,1532.00,1533.70,819016,1251851697.70,46358,CIPLA_LIMITED
22-Apr-25,1514.90,1534.70,1502.70,1523.00,1528.20,954974,1455441890.20,51860,CIPLA_LIMITED
21-Apr-25,1525.00,1525.00,1505.00,1513.50,1511.10,570266,863995041.30,39460,CIPLA_LIMITED
17-Apr-25,1498.00,1522.00,1486.00,1514.10,1515.20,1211601,1831928072.90,70640,CIPLA_LIMITED
16-Apr-25,1467.10,1499.00,1464.40,1498.00,1496.40,1023697,1525433937.90,69137,CIPLA_LIMITED
15-Apr-25,1482.20,1485.90,1462.10,1481.90,1481.80,1720323,2538744998.40,80819,CIPLA_LIMITED
11-Apr-25,1460.00,1488.50,1448.55,1459.00,1463.05,2311803,3386990689.40,135303,CIPLA_LIMITED
9-Apr-25,1416.50,1423.00,1396.05,1416.00,1415.60,1701314,2405806595.70,79805,CIPLA_LIMITED
8-Apr-25,1394.80,1437.60,1382.65,1432.30,1432.55,1324180,1875065068.95,77089,CIPLA_LIMITED
7-Apr-25,1336.00,1401.35,1335.00,1393.40,1384.70,1604721,2214552500.60,98777,CIPLA_LIMITED
4-Apr-25,1495.70,1495.70,1390.05,1416.60,1415.25,2768438,3924138090.55,134028,CIPLA_LIMITED
3-Apr-25,1482.00,1523.30,1480.00,1500.00,1495.70,3488899,5236805874.05,153378,CIPLA_LIMITED
2-Apr-25,1441.00,1464.00,1428.40,1453.20,1452.35,1054143,1524368766.10,56930,CIPLA_LIMITED
1-Apr-25,1438.55,1466.00,1429.00,1447.00,1444.25,1080262,1564830988.20,65591,CIPLA_LIMITED
28-Mar-25,1475.00,1478.65,1434.45,1441.00,1442.20,1495932,2168474697.15,84874,CIPLA_LIMITED
27-Mar-25,1464.70,1489.00,1462.40,1484.90,1482.90,1848444,2733437425.90,83275,CIPLA_LIMITED
26-Mar-25,1507.00,1512.35,1472.30,1473.50,1476.20,1375794,2048179238.50,67387,CIPLA_LIMITED
25-Mar-25,1530.00,1534.00,1505.05,1506.00,1511.20,1092805,1656706240.35,55781,CIPLA_LIMITED
24-Mar-25,1525.05,1535.00,1515.20,1524.45,1524.05,826040,1259797757.75,59616,CIPLA_LIMITED
21-Mar-25,1513.90,1528.90,1510.00,1515.75,1523.85,2846648,4336050913.75,66099,CIPLA_LIMITED
20-Mar-25,1499.65,1517.60,1495.45,1508.25,1512.05,984355,1486561382.85,50285,CIPLA_LIMITED
19-Mar-25,1515.00,1515.00,1496.50,1499.45,1499.15,1015731,1524903990.30,48442,CIPLA_LIMITED
18-Mar-25,1499.10,1512.00,1496.80,1509.05,1508.65,1571087,2366620582.85,71601,CIPLA_LIMITED
17-Mar-25,1459.85,1496.95,1455.70,1491.70,1492.60,1329904,1981866318.70,101217,CIPLA_LIMITED
13-Mar-25,1456.40,1465.70,1445.65,1460.05,1461.90,804032,1174566411.10,49958,CIPLA_LIMITED
12-Mar-25,1442.00,1457.00,1437.75,1453.80,1454.30,1254797,1815959199.85,52955,CIPLA_LIMITED
11-Mar-25,1448.00,1459.00,1438.00,1448.50,1445.75,1231247,1782988152.20,60429,CIPLA_LIMITED
10-Mar-25,1458.35,1482.20,1457.00,1460.60,1462.75,905854,1331672988.40,62850,CIPLA_LIMITED
7-Mar-25,1465.95,1471.10,1451.55,1459.00,1458.45,678497,990163473.30,41555,CIPLA_LIMITED
6-Mar-25,1424.95,1464.45,1419.75,1460.50,1461.75,1525159,2213827489.25,132856,CIPLA_LIMITED
5-Mar-25,1395.10,1431.90,1393.10,1418.75,1419.75,2187830,3104134575.10,113840,CIPLA_LIMITED
4-Mar-25,1402.45,1405.00,1389.30,1404.00,1401.80,1456530,2036182171.85,88813,CIPLA_LIMITED
3-Mar-25,1400.00,1418.10,1396.00,1407.00,1407.55,854264,1200445725.05,66799,CIPLA_LIMITED
28-Feb-25,1440.00,1448.70,1400.00,1405.00,1407.50,3340343,4730175858.05,113326,CIPLA_LIMITED
27-Feb-25,1452.00,1464.30,1436.00,1438.50,1441.15,1260808,1822313973.65,102761,CIPLA_LIMITED
25-Feb-25,1471.00,1482.40,1454.60,1458.00,1463.35,992994,1460764297.70,46671,CIPLA_LIMITED
24-Feb-25,1460.00,1489.00,1457.60,1476.55,1476.75,1403090,2073650070.45,78568,CIPLA_LIMITED
21-Feb-25,1489.00,1502.00,1468.65,1472.00,1475.75,1413123,2093867679.55,74642,CIPLA_LIMITED
20-Feb-25,1462.00,1483.00,1461.50,1478.15,1479.70,1652209,2441912319.65,77470,CIPLA_LIMITED
