Date ,OPEN ,HIGH ,LOW ,ltp ,close ,VOLUME ,VALUE ,No_of_trades,stock_name
16-May-25,3654.00,3655.90,3613.40,3633.20,3633.70,525064,1906389308.60,40579,TITIAN
15-May-25,3597.00,3665.00,3553.90,3628.80,3636.80,1227751,4443814864.60,98154,TITIAN
14-May-25,3555.00,3610.00,3550.00,3585.20,3587.60,588159,2109652660.90,49709,TITIAN
13-May-25,3562.90,3588.40,3540.10,3556.00,3563.20,996541,3549280743.30,91133,TITIAN
12-May-25,3537.20,3585.00,3530.30,3567.00,3562.90,956930,3408490656.70,79243,TITIAN
9-May-25,3367.00,3530.00,3354.20,3509.90,3510.30,2863992,10014833930.60,204685,TITIAN
8-May-25,3349.90,3412.50,3325.00,3345.00,3369.30,1597339,5388367799.20,111344,TITIAN
7-May-25,3280.00,3381.00,3260.20,3338.00,3338.90,1047443,3490492196.10,69814,TITIAN
6-May-25,3321.80,3325.30,3245.50,3291.00,3299.30,650789,2135339392.10,63207,TITIAN
5-May-25,3357.70,3408.50,3307.00,3315.00,3321.80,565178,1893554061.90,51968,TITIAN
2-May-25,3362.10,3381.50,3324.00,3330.00,3341.00,668467,2239431081.30,80561,TITIAN
30-Apr-25,3374.00,3409.00,3354.30,3356.30,3379.70,708818,2400328199.20,56811,TITIAN
29-Apr-25,3375.90,3398.00,3354.00,3375.20,3378.60,575435,1944270229.70,57300,TITIAN
28-Apr-25,3356.00,3397.40,3351.00,3369.90,3369.10,384147,1296325533.10,44189,TITIAN
25-Apr-25,3382.60,3419.50,3316.00,3357.00,3365.20,704325,2369889835.80,56990,TITIAN
24-Apr-25,3356.80,3395.00,3344.00,3387.00,3382.60,901747,3042853754.40,55946,TITIAN
23-Apr-25,3357.00,3373.70,3315.50,3350.30,3357.30,628656,2104701302.50,57955,TITIAN
22-Apr-25,3336.10,3358.80,3320.10,3341.30,3337.40,609213,2033387516.90,53198,TITIAN
