Date ,OPEN ,HIGH ,LOW ,ltp ,close ,VOLUME ,VALUE ,No_of_trades,stock_name
16-May-25,1154.9,1173.5,1144,1170,1168,1336653,1550666409,53338,Tata_Consumer
15-May-25,1120.4,1159.2,1105.5,1146,1147.2,2064096,2347390792,90774,Tata_Consumer
14-May-25,1118.6,1128.9,1115.8,1120.5,1120.4,1386813,1554999010,51043,Tata_Consumer
13-May-25,1145.3,1150.3,1116.2,1120.6,1118.6,1096797,1234484496,50065,Tata_Consumer
12-May-25,1123,1155,1123,1144.5,1145.6,748637,855965948,39678,Tata_Consumer
9-May-25,1098,1118.6,1086.4,1111,1113.7,815694,901620671.6,43786,Tata_Consumer
8-May-25,1136,1140,1107.5,1113.6,1116,2692162,3008906216,100148,Tata_Consumer
7-May-25,1140,1162.3,1136.4,1145.5,1146,1792683,2063122316,54089,Tata_Consumer
6-May-25,1161.5,1173.5,1152.6,1154,1155.3,1382140,1605183178,51329,Tata_Consumer
5-May-25,1155.5,1173.6,1153,1163.4,1161.5,1359727,1582179657,65349,Tata_Consumer
2-May-25,1157,1176.2,1151,1153,1156.8,1042342,1211310589,50602,Tata_Consumer
30-Apr-25,1174.7,1180.5,1152.4,1160,1165.8,1477319,1723673530,64157,Tata_Consumer
29-Apr-25,1155.2,1174.1,1149.9,1171,1168.9,1439143,1672882618,72564,Tata_Consumer
28-Apr-25,1146.1,1162.5,1145,1154,1155.2,663435,766562209.5,45266,Tata_Consumer
25-Apr-25,1160.2,1165,1130.7,1149,1155.7,1451946,1674137874,78220,Tata_Consumer
24-Apr-25,1151,1168.9,1098.3,1160.9,1161.3,5766752,6576335415,193964,Tata_Consumer
23-Apr-25,1143,1156.6,1132.6,1145,1150.1,1760325,2014177316,63417,Tata_Consumer
22-Apr-25,1121.7,1149,1118.2,1138.6,1136.7,1231830,1402308327,59611,Tata_Consumer
21-Apr-25,1120.2,1129.5,1102.4,1121.7,1121,692767,776052201.1,36968,Tata_Consumer
17-Apr-25,1104,1133.8,1094.5,1119,1120.2,1541674,1722861664,79947,Tata_Consumer
16-Apr-25,1094.1,1108.9,1086.8,1106,1105.9,679360,747270154.9,34203,Tata_Consumer
15-Apr-25,1108.3,1111,1094.1,1102.7,1103.4,1023355,1127620752,39828,Tata_Consumer
11-Apr-25,1125,1126,1093.75,1100,1097.9,1888677,2084376151,60151,Tata_Consumer
9-Apr-25,1062,1092.95,1060.05,1087.55,1089.75,2274161,2466272310,84220,Tata_Consumer
8-Apr-25,1056,1073.5,1044.75,1067.1,1069.75,1444712,1532084979,65161,Tata_Consumer
7-Apr-25,1019,1077.7,1019,1048,1047.35,3200820,3357151617,133539,Tata_Consumer
4-Apr-25,1065.45,1095.55,1062.9,1088,1087.85,4089261,4446526189,117334,Tata_Consumer
3-Apr-25,1049.9,1075.25,1048.1,1068.65,1071,1595000,1704322075,56627,Tata_Consumer
2-Apr-25,1018,1073.15,1015,1060.8,1062.7,8717812,9225501942,219419,Tata_Consumer
1-Apr-25,1003,1014.55,989.25,992.4,992.25,1045548,1044680910,37298,Tata_Consumer
28-Mar-25,975.5,1015,975,1001.9,1001.9,2313101,2323784218,93268,Tata_Consumer
27-Mar-25,963,980.4,952.5,977.45,973.55,2585170,2511047794,69685,Tata_Consumer
26-Mar-25,975,976.3,956.95,956.95,959.65,1399118,1347284040,59811,Tata_Consumer
25-Mar-25,979,979.9,959,970,970.7,1569597,1523022891,52311,Tata_Consumer
24-Mar-25,965.25,976.15,956.5,974.65,970.45,1475967,1429608985,49671,Tata_Consumer
21-Mar-25,968,972.15,956.6,964,961.2,3155551,3042874241,67717,Tata_Consumer
20-Mar-25,953.1,967.7,950.25,966,965.85,2403031,2304498653,55437,Tata_Consumer
19-Mar-25,947.5,959.85,945.25,952,949.85,1650477,1569875109,40877,Tata_Consumer
18-Mar-25,941.05,950.6,938.15,948.05,946.85,2343994,2216149922,59784,Tata_Consumer
17-Mar-25,946.1,956.5,934.6,941.4,940.45,993027,936395504.2,45745,Tata_Consumer
13-Mar-25,950,955,940.15,945,946.1,907521,860783341.8,36330,Tata_Consumer
