Date ,OPEN ,HIGH ,LOW ,ltp ,close ,VOLUME ,VALUE ,No_of_trades,stock_name
16-May-25,1410.90,1424.90,1401.00,1404.10,1407.40,2777119,3920814646.50,76581,ADANI_PORTS
15-May-25,1375.60,1409.90,1371.90,1401.50,1406.20,3706424,5171737002.00,128942,ADANI_PORTS
14-May-25,1380.00,1381.90,1362.00,1377.00,1371.80,1557379,2139462540.30,68596,ADANI_PORTS
13-May-25,1360.60,1391.90,1347.10,1370.00,1369.20,3356599,4604612631.50,113339,ADANI_PORTS
12-May-25,1360.00,1375.00,1345.50,1361.50,1362.10,3662785,4989980394.10,108208,ADANI_PORTS
9-May-25,1300.00,1324.90,1292.60,1313.00,1306.30,2979366,3899243341.50,117720,ADANI_PORTS
8-May-25,1340.00,1366.90,1316.40,1320.00,1333.10,5077662,6843142148.60,181619,ADANI_PORTS
7-May-25,1298.80,1341.30,1298.70,1337.50,1338.20,3269847,4345509640.10,111178,ADANI_PORTS
6-May-25,1350.00,1356.30,1315.00,1316.40,1320.80,3604276,4784960529.70,106576,ADANI_PORTS
5-May-25,1290.00,1377.00,1285.70,1346.50,1347.10,14191797,19027520645.20,306181,ADANI_PORTS
2-May-25,1255.00,1295.00,1242.70,1269.70,1267.10,12024229,15312012660.60,319276,ADANI_PORTS
30-Apr-25,1215.10,1226.50,1203.90,1215.80,1216.50,1824334,2223657524.70,69871,ADANI_PORTS
29-Apr-25,1212.00,1223.90,1202.50,1216.70,1216.40,2381980,2897667983.20,69608,ADANI_PORTS
28-Apr-25,1188.10,1214.70,1184.10,1207.00,1209.90,2646406,3187401335.70,102513,ADANI_PORTS
25-Apr-25,1236.30,1243.40,1181.20,1189.50,1193.00,3628854,4350535463.20,129403,ADANI_PORTS
24-Apr-25,1238.00,1248.00,1231.60,1236.00,1236.40,2133285,2642727020.50,69539,ADANI_PORTS
23-Apr-25,1240.10,1242.80,1216.80,1237.00,1239.10,2580999,3181838657.80,72145,ADANI_PORTS
22-Apr-25,1249.60,1255.60,1227.00,1228.20,1233.20,2932537,3651679927.70,95418,ADANI_PORTS
21-Apr-25,1259.40,1260.00,1209.40,1243.40,1243.10,6049182,7450339084.70,148403,ADANI_PORTS
