Date ,OPEN ,HIGH ,LOW ,ltp ,close ,VOLUME ,VALUE ,No_of_trades,stock_name
16-May-25,247.06,249.39,246.20,247.20,247.27,8030229,1988300451.34,94905,ONGC
15-May-25,244.95,248.92,242.30,246.98,247.61,16812750,4133978297.16,132867,ONGC
14-May-25,241.16,246.90,241.16,246.04,246.01,8234859,2019240083.08,91451,ONGC
13-May-25,244.15,245.29,240.29,241.00,241.16,9336026,2259846287.58,137918,ONGC
12-May-25,239.00,244.60,238.11,244.00,244.02,11374237,2762238440.15,119839,ONGC
9-May-25,229.10,235.30,228.45,234.50,234.96,11184507,2612795445.71,131657,ONGC
8-May-25,237.66,239.34,231.40,231.45,233.22,15026122,3523212943.64,121501,ONGC
7-May-25,232.30,240.09,232.07,238.67,238.67,16689539,3968231072.14,131865,ONGC
6-May-25,241.13,242.99,236.00,237.01,237.00,11350559,2708930304.30,78866,ONGC
5-May-25,240.00,241.15,234.50,239.88,239.20,20086323,4796356233.02,154224,ONGC
2-May-25,241.00,246.27,239.00,242.85,243.42,12347590,2995785941.45,102014,ONGC
30-Apr-25,245.50,247.44,242.22,243.42,244.45,9822483,2401691046.33,86524,ONGC
29-Apr-25,251.24,252.10,245.10,245.65,245.68,8030552,1991304817.72,98409,ONGC
28-Apr-25,246.00,251.95,244.38,250.50,250.60,7669983,1917212794.95,64903,ONGC
25-Apr-25,249.00,250.68,244.40,246.00,246.33,15616265,3849383324.03,105930,ONGC
24-Apr-25,250.00,251.37,248.00,249.69,249.37,6538518,1631339744.30,79370,ONGC
23-Apr-25,248.74,252.75,244.92,252.10,252.17,16555874,4120413595.66,96623,ONGC
22-Apr-25,248.97,250.60,247.26,248.00,247.78,9896443,2462514544.32,79384,ONGC
21-Apr-25,244.01,250.55,241.75,249.00,249.78,11698653,2904516479.41,102967,ONGC
17-Apr-25,241.00,244.61,239.26,243.78,243.49,12891813,3128873167.93,109628,ONGC
16-Apr-25,232.69,242.00,231.72,240.84,241.22,18748952,4449183790.57,129518,ONGC
15-Apr-25,234.00,234.00,230.10,233.15,232.69,12102239,2811016102.28,96408,ONGC
11-Apr-25,228.30,231.40,225.25,230.20,230.37,13886447,3182685663.51,112919,ONGC
9-Apr-25,222.00,224.06,220.26,223.00,221.94,16889575,3749624985.34,163218,ONGC
8-Apr-25,223.00,227.24,219.18,226.47,226.66,11309092,2530727420.71,104353,ONGC
7-Apr-25,208.00,220.80,205.00,220.35,219.84,27024128,5802437194.65,275050,ONGC
4-Apr-25,240.56,241.21,224.20,226.10,226.01,38336194,8744552291.08,310143,ONGC
3-Apr-25,248.00,249.62,242.51,243.59,243.31,11141370,2725411131.24,105789,ONGC
2-Apr-25,250.05,251.50,248.00,250.05,250.64,15337906,3835989168.53,75510,ONGC
1-Apr-25,247.00,252.20,246.70,248.29,248.07,11258957,2802661641.81,92684,ONGC
28-Mar-25,243.44,254.90,243.26,246.50,246.38,32905564,8263318079.36,210020,ONGC
27-Mar-25,238.87,243.40,238.65,242.65,242.17,9935664,2398439736.27,81885,ONGC
26-Mar-25,243.35,244.50,239.37,239.90,239.72,7543985,1821878938.11,73994,ONGC
25-Mar-25,244.01,245.37,240.55,241.71,242.25,8915800,2165162973.35,78716,ONGC
24-Mar-25,244.19,246.40,242.75,243.51,243.83,10566066,2581266719.45,111957,ONGC
21-Mar-25,235.80,248.00,235.80,242.00,242.42,29285333,7102991525.52,153423,ONGC
20-Mar-25,233.48,237.04,232.01,235.80,235.59,18955995,4453895236.84,112636,ONGC
19-Mar-25,232.50,235.14,231.60,232.85,232.57,8626593,2012116172.88,75908,ONGC
18-Mar-25,230.84,232.50,228.52,232.49,232.12,9647391,2225086191.73,86255,ONGC
17-Mar-25,226.52,230.45,226.24,229.61,229.74,8789001,2011489850.90,84675,ONGC
13-Mar-25,228.15,230.40,224.87,225.02,225.43,16105085,3662643037.28,112833,ONGC
12-Mar-25,227.10,228.84,222.36,224.20,224.40,6994310,1570902406.40,74532,ONGC
11-Mar-25,220.90,227.26,220.10,226.25,226.72,10941588,2454056345.33,94553,ONGC
10-Mar-25,232.89,235.00,222.48,223.29,223.19,16489167,3730133171.58,129656,ONGC
7-Mar-25,232.60,236.47,231.17,232.40,232.89,9079049,2118833526.11,100026,ONGC
6-Mar-25,231.49,233.57,226.71,232.25,232.60,10439208,2404427769.01,117288,ONGC
5-Mar-25,227.12,231.25,226.76,229.60,228.94,7466729,1708890348.93,77096,ONGC
4-Mar-25,220.10,227.75,215.48,226.99,226.76,12428265,2790412785.55,93032,ONGC
3-Mar-25,224.75,226.00,218.36,225.45,225.13,11928529,2654377391.09,150119,ONGC
28-Feb-25,230.00,230.50,223.15,225.65,225.25,17237276,3886018834.10,135768,ONGC
27-Feb-25,233.50,233.85,228.50,231.20,231.00,9664032,2223487545.90,100185,ONGC
25-Feb-25,235.00,236.70,232.55,233.15,233.00,5519036,1295205632.65,55784,ONGC
24-Feb-25,236.30,237.95,234.00,234.50,234.35,6883143,1621112333.75,78561,ONGC
21-Feb-25,241.90,243.05,238.10,239.10,239.90,5697387,1368149445.95,69097,ONGC
20-Feb-25,236.80,242.65,236.50,241.55,241.90,8929816,2151289262.30,75285,ONGC
19-Feb-25,236.00,238.80,234.50,238.10,238.30,6168581,1465085713.85,60532,ONGC
18-Feb-25,232.20,237.15,229.55,236.00,236.60,6170974,1445092064.00,77776,ONGC
17-Feb-25,230.20,234.30,225.05,234.00,233.65,6692422,1549406060.80,89245,ONGC
14-Feb-25,235.00,237.95,226.75,230.20,230.50,8065352,1858080354.25,92892,ONGC
13-Feb-25,238.50,239.45,234.20,235.30,234.95,10079210,2382867966.70,127133,ONGC
12-Feb-25,239.00,241.25,234.15,238.50,237.40,5985956,1420788823.35,84905,ONGC
11-Feb-25,242.45,242.45,236.80,239.40,238.95,6711630,1605589037.10,65873,ONGC
10-Feb-25,248.95,249.60,241.80,242.85,242.45,7582536,1843954415.90,103544,ONGC
7-Feb-25,252.95,253.85,247.50,248.95,248.90,10098454,2516489133.30,126570,ONGC
6-Feb-25,262.65,262.95,254.30,256.45,256.15,12327998,3169851668.30,110610,ONGC
5-Feb-25,259.00,263.00,257.75,261.05,261.65,11590755,3018681587.30,95035,ONGC
4-Feb-25,252.40,257.50,252.00,254.20,254.10,8402532,2141277525.25,87811,ONGC
3-Feb-25,255.60,256.35,244.85,251.10,249.00,25719512,6359083113.45,190012,ONGC
1-Feb-25,259.55,262.50,253.75,257.70,257.55,10921673,2823900275.10,90430,ONGC
31-Jan-25,257.01,263.49,255.21,262.80,262.61,8850307,2301330925.87,84411,ONGC
30-Jan-25,252.00,259.40,250.94,257.01,256.72,12588155,3233225248.92,97646,ONGC
29-Jan-25,248.90,252.00,247.00,252.00,251.40,5651586,1413457683.32,64088,ONGC
28-Jan-25,250.00,252.40,246.71,249.30,248.68,8029472,2004556254.35,82478,ONGC
27-Jan-25,255.00,256.44,249.51,250.49,250.78,6944911,1755314161.90,98058,ONGC
24-Jan-25,262.99,265.64,255.75,258.25,256.51,6306281,1635393054.16,68539,ONGC
23-Jan-25,263.00,263.83,261.17,262.88,263.05,5026675,1321332994.05,72913,ONGC
22-Jan-25,266.00,266.39,261.71,263.69,264.05,7919682,2086030610.84,84421,ONGC
21-Jan-25,268.05,269.35,264.81,265.70,265.80,8989218,2398876014.23,109303,ONGC
20-Jan-25,268.10,270.47,265.01,268.69,269.36,9676264,2593891324.28,89159,ONGC
17-Jan-25,262.00,267.00,261.30,266.60,266.57,12148143,3225039656.94,102891,ONGC
16-Jan-25,260.00,265.63,260.00,263.35,263.18,14195450,3736762624.32,117000,ONGC
15-Jan-25,260.90,264.47,257.69,258.35,258.18,9344731,2436165684.50,81488,ONGC
14-Jan-25,257.52,262.00,256.82,260.60,260.37,8470150,2198681969.00,92660,ONGC
13-Jan-25,266.03,268.60,254.61,255.74,255.73,20416370,5309083845.24,170951,ONGC
10-Jan-25,264.00,266.50,258.47,263.00,263.02,13053552,3436640106.02,155581,ONGC
9-Jan-25,272.03,272.59,261.71,264.30,263.18,14706472,3897642625.56,153765,ONGC
8-Jan-25,266.45,273.50,265.75,271.50,271.33,42237794,11392236078.89,268387,ONGC
7-Jan-25,259.15,267.40,258.05,264.00,263.49,52956766,14020786755.47,352170,ONGC
6-Jan-25,259.11,259.50,251.45,254.99,254.36,19265884,4906781828.09,194211,ONGC
3-Jan-25,248.45,262.75,247.99,258.65,258.89,49760410,12793817289.66,285805,ONGC
2-Jan-25,237.05,246.78,237.00,246.10,246.07,19745810,4805116165.11,168254,ONGC
1-Jan-25,237.81,239.24,236.35,236.91,236.95,9418453,2235208618.28,142361,ONGC
31-Dec-24,232.65,239.90,232.35,239.00,239.25,12004845,2851095635.15,95972,ONGC
30-Dec-24,236.05,237.00,231.15,234.40,232.65,19401112,4527472933.40,116034,ONGC
27-Dec-24,240.00,241.00,236.30,237.10,236.90,6487888,1545455546.75,80443,ONGC
26-Dec-24,240.00,242.00,239.00,240.40,240.25,6330006,1520083640.35,64424,ONGC
24-Dec-24,241.00,243.25,238.60,239.25,238.95,3577400,861170832.15,48437,ONGC
23-Dec-24,238.25,242.30,236.85,241.15,240.85,7722901,1852645044.25,70004,ONGC
20-Dec-24,241.50,244.15,235.30,237.50,237.10,15556528,3724355205.65,103000,ONGC
