Date ,OPEN ,HIGH ,LOW ,ltp ,close ,VOLUME ,VALUE ,No_of_trades,stock_name
16-May-25,9188.50,9286.00,9133.50,9172.00,9167.00,625192,5742936175.50,63031,BAJAJ_FINANCE
15-May-25,9099.50,9215.00,9028.00,9182.00,9188.50,1038500,9476457633.00,109672,BAJAJ_FINANCE
14-May-25,9045.00,9110.50,9012.00,9076.00,9081.00,759400,6885920342.50,82137,BAJAJ_FINANCE
13-May-25,9004.00,9163.50,8991.00,9050.00,9042.00,1336300,12129788245.50,136605,BAJAJ_FINANCE
12-May-25,8849.00,9030.00,8825.50,9013.00,9018.50,1063822,9546640596.00,84970,BAJAJ_FINANCE
9-May-25,8650.00,8781.00,8605.00,8662.00,8641.00,1215134,10526776560.00,114043,BAJAJ_FINANCE
8-May-25,8977.00,9074.50,8775.00,8780.00,8832.50,1201809,10702875236.00,117820,BAJAJ_FINANCE
7-May-25,8750.00,8997.50,8723.00,8977.00,8986.50,1163557,10374320490.00,122242,BAJAJ_FINANCE
6-May-25,8911.00,8974.00,8750.00,8785.00,8797.50,1204087,10610479824.50,123221,BAJAJ_FINANCE
5-May-25,8877.50,9033.00,8866.00,8940.00,8932.00,893061,7986738577.50,101616,BAJAJ_FINANCE
2-May-25,8575.50,8915.00,8566.00,8868.00,8862.50,2202675,19246231281.50,182711,BAJAJ_FINANCE
30-Apr-25,8840.00,8888.00,8556.00,8613.50,8634.50,3969057,34308503854.50,423669,BAJAJ_FINANCE
29-Apr-25,9130.00,9146.00,8960.00,9105.00,9093.00,1176818,10658468207.50,169967,BAJAJ_FINANCE
28-Apr-25,9080.00,9125.00,9000.50,9075.00,9093.00,994656,9016919103.00,133616,BAJAJ_FINANCE
25-Apr-25,9310.50,9344.50,8990.00,9080.50,9112.00,1089354,9937787574.50,108445,BAJAJ_FINANCE
24-Apr-25,9620.00,9660.00,9273.00,9290.00,9301.00,1849671,17339007268.00,163098,BAJAJ_FINANCE
23-Apr-25,9282.00,9348.50,9150.00,9305.00,9323.00,1081872,10000508735.00,118959,BAJAJ_FINANCE
22-Apr-25,9295.00,9393.00,9230.00,9235.00,9260.50,1129358,10531329282.00,134456,BAJAJ_FINANCE
21-Apr-25,9170.00,9315.00,9141.50,9274.00,9273.50,782415,7233950514.50,86149,BAJAJ_FINANCE
17-Apr-25,9040.00,9190.00,8952.00,9170.00,9162.50,1141513,10364097830.00,113025,BAJAJ_FINANCE
16-Apr-25,9149.50,9171.50,8964.00,9065.00,9056.50,719822,6523126008.00,87994,BAJAJ_FINANCE
15-Apr-25,9255.50,9290.00,9075.50,9138.00,9141.00,1263361,11547189669.50,112755,BAJAJ_FINANCE
11-Apr-25,8825.05,8973.50,8810.70,8912.00,8921.10,1009722,9000939833.10,107731,BAJAJ_FINANCE
9-Apr-25,8815.00,8842.00,8625.00,8745.00,8735.80,1048774,9148105326.60,138514,BAJAJ_FINANCE
8-Apr-25,8650.00,8873.00,8650.00,8825.05,8822.25,1477563,12988651758.25,140461,BAJAJ_FINANCE
7-Apr-25,8340.00,8600.50,8307.15,8590.10,8568.00,1398124,11816096363.45,159133,BAJAJ_FINANCE
4-Apr-25,8656.00,8797.00,8583.80,8739.90,8718.85,1849658,16110251144.45,155607,BAJAJ_FINANCE
3-Apr-25,8650.00,8765.00,8460.20,8570.00,8594.60,1396633,12007559992.75,148865,BAJAJ_FINANCE
2-Apr-25,8730.00,8759.85,8612.00,8630.00,8669.25,646495,5613624153.90,73065,BAJAJ_FINANCE
1-Apr-25,8783.30,8925.00,8671.00,8719.35,8698.20,1183424,10368758175.45,126566,BAJAJ_FINANCE
28-Mar-25,8997.60,9028.90,8861.00,8929.90,8945.60,977099,8731379557.85,96063,BAJAJ_FINANCE
