Date ,OPEN ,HIGH ,LOW ,ltp ,close ,VOLUME ,VALUE ,No_of_trades,stock_name
16-May-25,3642.00,3642.00,3600.00,3608.00,3604.70,1278520,4614691788.60,79444,LARSEN & TOUBRO
15-May-25,3594.00,3648.70,3543.00,3620.00,3618.20,3720879,13407382227.40,173281,LARSEN & TOUBRO
14-May-25,3587.00,3617.00,3567.00,3576.00,3573.10,2440116,8748830534.80,110493,LARSEN & TOUBRO
13-May-25,3587.20,3606.00,3545.00,3570.50,3567.00,2374439,8480910370.40,168486,LARSEN & TOUBRO
12-May-25,3513.00,3602.80,3490.00,3588.00,3587.20,3147384,11225276507.40,186489,LARSEN & TOUBRO
9-May-25,3331.00,3477.00,3331.00,3451.40,3443.90,5637694,19385778797.20,311155,LARSEN & TOUBRO
8-May-25,3310.10,3366.00,3299.80,3312.00,3323.90,3204333,10695569358.90,129057,LARSEN & TOUBRO
7-May-25,3332.00,3339.80,3284.10,3327.00,3321.40,2422707,8040179595.20,171780,LARSEN & TOUBRO
6-May-25,3346.00,3353.00,3302.80,3332.00,3334.00,1695516,5646918314.40,96917,LARSEN & TOUBRO
5-May-25,3350.00,3350.00,3300.70,3332.00,3330.20,1947332,6474212018.40,107073,LARSEN & TOUBRO
2-May-25,3325.00,3374.90,3321.50,3324.00,3329.80,1665574,5576084084.50,84477,LARSEN & TOUBRO
30-Apr-25,3324.00,3355.00,3303.30,3330.00,3341.00,1930714,6451459506.30,113823,LARSEN & TOUBRO
29-Apr-25,3335.00,3376.40,3315.00,3321.30,3322.30,1843861,6156587711.70,120139,LARSEN & TOUBRO
28-Apr-25,3260.00,3350.80,3254.80,3325.00,3327.30,1689485,5605519110.10,82707,LARSEN & TOUBRO
25-Apr-25,3310.00,3335.70,3230.10,3268.00,3272.10,2004819,6560849672.90,133465,LARSEN & TOUBRO
24-Apr-25,3307.00,3307.00,3280.00,3298.20,3300.60,1993448,6564919205.10,72609,LARSEN & TOUBRO
23-Apr-25,3275.40,3315.00,3266.70,3296.00,3301.00,2381699,7838735592.40,103277,LARSEN & TOUBRO
22-Apr-25,3280.00,3285.00,3248.00,3254.00,3257.80,2060322,6730718857.00,100788,LARSEN & TOUBRO
21-Apr-25,3249.50,3290.00,3225.10,3279.90,3280.50,1643003,5378395835.50,101664,LARSEN & TOUBRO
