Date ,OPEN ,HIGH ,LOW ,ltp ,close ,VOLUME ,VALUE ,No_of_trades,stock_name
16-May-25,2054.00,2071.00,2022.00,2036.00,2033.60,1568556,3199041705.20,64803,BAJAJ_FINSERV
15-May-25,2015.10,2050.40,1996.70,2042.00,2041.90,2640223,5362599475.80,133748,BAJAJ_FINSERV
14-May-25,2028.90,2042.00,2010.00,2019.90,2020.40,1670853,3378471328.20,56885,BAJAJ_FINSERV
13-May-25,2046.90,2061.40,2010.60,2022.90,2018.20,2217985,4492474874.80,104157,BAJAJ_FINSERV
12-May-25,2024.90,2057.60,2011.80,2048.00,2050.40,1057561,2160985676.60,55915,BAJAJ_FINSERV
9-May-25,1970.00,1999.00,1963.00,1975.00,1970.00,1207361,2380647761.10,80510,BAJAJ_FINSERV
8-May-25,2032.00,2050.00,1992.90,2000.00,2006.00,1697652,3423292655.20,92264,BAJAJ_FINSERV
7-May-25,2011.30,2045.50,2009.70,2030.50,2030.30,1078158,2184172720.80,66555,BAJAJ_FINSERV
6-May-25,2028.90,2045.00,2008.10,2032.00,2035.80,1698230,3446501543.00,81535,BAJAJ_FINSERV
5-May-25,1964.90,2036.60,1959.10,2029.00,2026.20,2072898,4165084732.70,109841,BAJAJ_FINSERV
2-May-25,1955.00,1986.60,1917.20,1954.00,1958.00,2236491,4364616782.60,131044,BAJAJ_FINSERV
30-Apr-25,2018.20,2020.00,1926.50,1951.00,1951.60,4684518,9115858817.90,270995,BAJAJ_FINSERV
29-Apr-25,2061.00,2082.00,2028.80,2063.80,2066.90,2119823,4364775534.90,129661,BAJAJ_FINSERV
28-Apr-25,2040.00,2094.80,2040.00,2050.00,2049.70,6311008,12947542187.90,94363,BAJAJ_FINSERV
25-Apr-25,2105.00,2125.00,2023.10,2045.00,2045.50,1960343,4033192843.30,121923,BAJAJ_FINSERV
24-Apr-25,2121.80,2135.00,2085.40,2103.30,2105.00,1465968,3081232057.20,80988,BAJAJ_FINSERV
23-Apr-25,2094.00,2117.80,2057.40,2097.30,2100.80,1483177,3101071968.60,92289,BAJAJ_FINSERV
22-Apr-25,2104.00,2110.00,2070.00,2074.00,2077.00,1447675,3020798804.50,89910,BAJAJ_FINSERV
21-Apr-25,2037.10,2118.70,2035.70,2106.00,2103.50,2642028,5522888457.30,120077,BAJAJ_FINSERV
17-Apr-25,1961.50,2039.70,1955.00,2031.00,2035.30,2104540,4219724255.60,106220,BAJAJ_FINSERV
16-Apr-25,1961.00,1975.70,1949.60,1968.50,1969.20,1033717,2027208894.50,75492,BAJAJ_FINSERV
15-Apr-25,1984.00,1984.00,1960.80,1971.00,1968.00,1250872,2465298689.80,70250,BAJAJ_FINSERV
11-Apr-25,1909.45,1966.00,1906.55,1946.30,1946.30,1880510,3665223608.10,97508,BAJAJ_FINSERV
9-Apr-25,1899.00,1918.30,1878.00,1900.00,1895.70,1394829,2644257525.50,87029,BAJAJ_FINSERV
8-Apr-25,1890.00,1934.00,1873.70,1903.45,1903.20,3182018,6060600685.45,112746,BAJAJ_FINSERV
7-Apr-25,1835.00,1894.00,1823.50,1849.70,1852.65,2594074,4807158591.35,113616,BAJAJ_FINSERV
4-Apr-25,1912.00,1929.95,1897.00,1911.85,1912.30,2120708,4062607203.45,77607,BAJAJ_FINSERV
3-Apr-25,1915.00,1950.00,1904.95,1919.00,1920.45,1598430,3080368323.65,71288,BAJAJ_FINSERV
2-Apr-25,1946.30,1963.50,1920.95,1921.35,1930.95,1057344,2053570858.65,48639,BAJAJ_FINSERV
1-Apr-25,1998.00,2002.00,1932.50,1941.90,1937.10,2125921,4161984989.20,134764,BAJAJ_FINSERV
28-Mar-25,1995.75,2022.00,1994.20,2002.30,2007.35,1907116,3828040639.70,98083,BAJAJ_FINSERV
27-Mar-25,1940.00,2011.50,1932.60,1999.00,2005.75,4506778,8979668689.10,170421,BAJAJ_FINSERV
26-Mar-25,1951.00,1978.00,1935.00,1935.00,1943.40,2779682,5432616782.70,147190,BAJAJ_FINSERV
25-Mar-25,1905.00,1954.40,1894.90,1935.45,1945.05,3512725,6805404860.45,164527,BAJAJ_FINSERV
24-Mar-25,1855.35,1898.70,1845.50,1895.35,1894.15,1864839,3508282728.90,88656,BAJAJ_FINSERV
21-Mar-25,1878.00,1880.00,1825.00,1842.00,1847.25,3537391,6523188403.70,100832,BAJAJ_FINSERV
20-Mar-25,1842.25,1855.00,1814.10,1852.00,1851.85,2306910,4243728885.30,80931,BAJAJ_FINSERV
19-Mar-25,1855.00,1864.40,1840.00,1841.00,1842.25,2411880,4465698374.15,53144,BAJAJ_FINSERV
18-Mar-25,1900.00,1907.85,1833.25,1846.50,1844.65,4342446,8028683887.05,139248,BAJAJ_FINSERV
17-Mar-25,1820.00,1880.90,1797.15,1875.10,1871.60,6994838,13045304192.05,137436,BAJAJ_FINSERV
13-Mar-25,1828.00,1840.00,1803.15,1807.00,1807.45,1333932,2423068666.95,72823,BAJAJ_FINSERV
12-Mar-25,1814.00,1824.35,1800.00,1822.00,1819.45,1196955,2172208009.95,59222,BAJAJ_FINSERV
11-Mar-25,1830.00,1836.85,1788.25,1808.20,1805.40,2298735,4153160526.95,96641,BAJAJ_FINSERV
10-Mar-25,1844.75,1888.75,1835.00,1837.55,1840.35,1703046,3168721160.95,102164,BAJAJ_FINSERV
7-Mar-25,1845.15,1865.55,1836.50,1839.00,1845.30,1332323,2464765772.20,65579,BAJAJ_FINSERV
6-Mar-25,1818.80,1853.00,1784.10,1842.50,1845.45,2176883,3984905103.15,116521,BAJAJ_FINSERV
5-Mar-25,1787.00,1808.80,1733.00,1805.90,1801.80,2143253,3820095973.85,90678,BAJAJ_FINSERV
4-Mar-25,1829.75,1833.50,1785.25,1789.90,1790.30,1443339,2596623313.90,85829,BAJAJ_FINSERV
3-Mar-25,1884.70,1884.70,1818.70,1840.00,1838.55,1046987,1924301340.55,69233,BAJAJ_FINSERV
28-Feb-25,1911.05,1920.00,1862.55,1870.20,1872.30,1797567,3382516970.60,100037,BAJAJ_FINSERV
27-Feb-25,1882.15,1938.80,1881.00,1920.10,1925.55,2878330,5525751015.70,135147,BAJAJ_FINSERV
25-Feb-25,1857.80,1896.00,1857.80,1872.00,1875.10,1761019,3307953733.00,92372,BAJAJ_FINSERV
24-Feb-25,1868.00,1889.90,1853.00,1862.45,1857.80,1076484,2011121751.60,76366,BAJAJ_FINSERV
21-Feb-25,1872.20,1893.30,1866.40,1872.50,1879.35,852037,1601765245.75,47511,BAJAJ_FINSERV
20-Feb-25,1867.85,1887.50,1861.05,1881.45,1881.25,1012144,1894991778.75,59280,BAJAJ_FINSERV
19-Feb-25,1891.05,1899.20,1868.05,1873.40,1875.35,768994,1448441519.45,53147,BAJAJ_FINSERV
18-Feb-25,1892.00,1913.80,1880.80,1889.20,1893.70,2116513,4023053476.45,130673,BAJAJ_FINSERV
17-Feb-25,1841.30,1898.75,1830.45,1890.05,1894.85,3022597,5673844443.45,158604,BAJAJ_FINSERV
14-Feb-25,1853.50,1867.60,1825.00,1839.00,1841.30,1823774,3364204803.50,93825,BAJAJ_FINSERV
13-Feb-25,1803.95,1853.50,1796.65,1842.35,1849.25,4070038,7484369896.00,149987,BAJAJ_FINSERV
12-Feb-25,1749.00,1800.85,1727.25,1792.25,1788.70,1888823,3335013175.20,105418,BAJAJ_FINSERV
11-Feb-25,1792.40,1795.30,1742.00,1744.05,1744.85,1944713,3430162416.60,88571,BAJAJ_FINSERV
10-Feb-25,1804.90,1806.95,1774.80,1789.05,1792.40,908769,1625345952.15,51076,BAJAJ_FINSERV
7-Feb-25,1801.00,1822.00,1784.35,1800.00,1798.35,1748940,3150352701.45,82177,BAJAJ_FINSERV
6-Feb-25,1808.00,1812.95,1779.45,1790.95,1788.00,1119866,2005345029.05,73249,BAJAJ_FINSERV
5-Feb-25,1811.00,1826.55,1780.00,1791.85,1796.75,1286850,2314299265.10,101972,BAJAJ_FINSERV
4-Feb-25,1800.00,1818.90,1772.80,1804.10,1813.25,2285643,4111803401.50,129778,BAJAJ_FINSERV
3-Feb-25,1735.00,1805.00,1733.35,1794.75,1794.85,2918355,5205930528.35,202204,BAJAJ_FINSERV
1-Feb-25,1747.00,1780.00,1617.00,1766.30,1754.00,2887325,4990055226.70,93248,BAJAJ_FINSERV
31-Jan-25,1713.60,1753.70,1698.20,1742.35,1736.10,1917476,3317528820.95,100846,BAJAJ_FINSERV
30-Jan-25,1825.00,1856.00,1741.00,1750.00,1745.20,5190089,9347187115.70,243873,BAJAJ_FINSERV
29-Jan-25,1776.95,1804.95,1767.25,1787.60,1790.40,1880079,3368374337.10,98757,BAJAJ_FINSERV
28-Jan-25,1732.95,1788.05,1715.00,1770.10,1768.95,2439528,4282463470.75,121743,BAJAJ_FINSERV
27-Jan-25,1714.85,1732.65,1702.00,1705.05,1711.60,1017680,1744432087.50,59456,BAJAJ_FINSERV
24-Jan-25,1751.00,1754.90,1725.00,1729.55,1728.70,747930,1298976587.35,42241,BAJAJ_FINSERV
23-Jan-25,1742.55,1766.00,1730.45,1747.00,1746.15,1888122,3312862198.85,76896,BAJAJ_FINSERV
22-Jan-25,1720.00,1746.85,1710.50,1742.55,1743.30,1369310,2366270035.20,65189,BAJAJ_FINSERV
21-Jan-25,1745.00,1751.00,1711.00,1712.00,1717.00,2008953,3483443599.45,91485,BAJAJ_FINSERV
20-Jan-25,1686.30,1738.00,1674.40,1737.00,1735.20,1674215,2879089623.30,72811,BAJAJ_FINSERV
