Date ,OPEN ,HIGH ,LOW ,ltp ,close ,VOLUME ,VALUE ,No_of_trades,stock_name
16-May-25,3135.00,3149.50,3115.00,3133.90,3135.60,2269659,7113719402.80,186310,MAHINDRA & MAHINDRA
15-May-25,3085.00,3170.70,3073.00,3132.00,3144.30,3590003,11226842035.00,198690,MAHINDRA & MAHINDRA
14-May-25,3037.50,3110.00,3018.00,3103.10,3101.80,2236302,6915634317.10,98515,MAHINDRA & MAHINDRA
13-May-25,3050.00,3111.00,3035.00,3058.00,3053.80,2681662,8240813022.90,178009,MAHINDRA & MAHINDRA
12-May-25,3044.70,3112.20,3033.70,3097.50,3104.70,2166730,6647500167.20,157748,MAHINDRA & MAHINDRA
9-May-25,2961.60,3057.10,2955.00,2989.70,2982.10,2308852,6947425357.40,127115,MAHINDRA & MAHINDRA
8-May-25,3127.40,3137.00,3008.50,3009.00,3033.10,3323894,10164798793.40,155291,MAHINDRA & MAHINDRA
7-May-25,3021.90,3125.00,3021.90,3109.90,3119.90,2942902,9117359370.70,140228,MAHINDRA & MAHINDRA
6-May-25,3150.60,3159.70,3056.00,3058.40,3068.40,5683215,17602147039.90,266730,MAHINDRA & MAHINDRA
5-May-25,2948.90,3044.00,2937.70,3024.00,3021.50,4049197,12129625352.00,198957,MAHINDRA & MAHINDRA
2-May-25,2950.00,3000.00,2910.20,2918.60,2926.20,3384402,9995052108.00,142813,MAHINDRA & MAHINDRA
30-Apr-25,2908.80,2948.90,2887.00,2919.50,2928.80,2689753,7873097540.70,115500,MAHINDRA & MAHINDRA
29-Apr-25,2950.00,2969.50,2901.80,2905.80,2909.60,2051228,5990542010.30,110088,MAHINDRA & MAHINDRA
28-Apr-25,2918.90,2945.00,2882.30,2930.00,2930.60,1864672,5429340679.30,105189,MAHINDRA & MAHINDRA
25-Apr-25,2901.40,2939.60,2831.10,2865.00,2864.20,2299310,6605295806.00,107647,MAHINDRA & MAHINDRA
24-Apr-25,2917.80,2928.00,2865.00,2898.00,2901.40,2488496,7199608088.00,107895,MAHINDRA & MAHINDRA
23-Apr-25,2830.00,2923.00,2826.00,2900.90,2917.80,3906215,11292694450.30,153835,MAHINDRA & MAHINDRA
