Date ,OPEN ,HIGH ,LOW ,ltp ,close ,VOLUME ,VALUE ,No_of_trades,stock_name
16-May-25,750.00,754.00,747.05,748.65,750.55,1426234,1069807267.10,43247,HDFC_LIFE
15-May-25,743.05,753.60,734.00,748.65,751.20,3338741,2487731783.90,105170,HDFC_LIFE
14-May-25,740.00,750.00,734.15,741.00,741.70,2058831,1530783673.35,62944,HDFC_LIFE
13-May-25,735.40,742.40,732.15,735.30,735.05,1445358,1065222692.25,72517,HDFC_LIFE
12-May-25,720.00,737.00,720.00,733.65,734.60,1488045,1091340645.65,55032,HDFC_LIFE
9-May-25,709.00,717.00,708.40,716.45,713.60,3210705,2288835041.60,80101,HDFC_LIFE
8-May-25,718.50,726.20,715.50,718.05,722.95,3057761,2209791856.45,81929,HDFC_LIFE
7-May-25,719.00,728.85,718.00,721.40,723.90,1657343,1200571996.80,58325,HDFC_LIFE
6-May-25,738.90,742.65,718.80,723.00,722.60,1498360,1091005418.45,63756,HDFC_LIFE
5-May-25,730.10,741.35,727.30,738.00,738.90,2761798,2039532914.15,50082,HDFC_LIFE
2-May-25,743.70,749.35,726.45,726.50,727.75,3286801,2419865594.55,103466,HDFC_LIFE
30-Apr-25,712.10,749.80,712.10,745.00,743.70,8732964,6449003032.70,185049,HDFC_LIFE
29-Apr-25,715.90,719.00,707.00,715.00,715.05,2545118,1814204893.05,73402,HDFC_LIFE
28-Apr-25,702.70,714.50,698.10,707.65,710.85,1944250,1373343024.05,62876,HDFC_LIFE
25-Apr-25,711.45,733.50,692.65,702.70,704.55,3714671,2636752251.65,83753,HDFC_LIFE
24-Apr-25,713.00,716.00,705.00,705.00,708.40,3814638,2710431595.60,89289,HDFC_LIFE
23-Apr-25,715.40,715.90,705.10,708.20,709.10,2091384,1485371450.60,67663,HDFC_LIFE
22-Apr-25,718.00,721.85,708.55,708.60,712.55,2669384,1907847566.00,75038,HDFC_LIFE
21-Apr-25,725.00,725.00,703.60,712.00,712.20,6168127,4379653534.15,122923,HDFC_LIFE
17-Apr-25,716.05,723.75,709.55,719.00,720.05,3105731,2226095329.60,110298,HDFC_LIFE
16-Apr-25,700.20,721.35,700.20,717.00,716.05,3452538,2470272573.65,94375,HDFC_LIFE
15-Apr-25,691.15,707.50,690.30,705.35,704.70,2306442,1618201766.35,92660,HDFC_LIFE
11-Apr-25,683.40,690.40,682.15,684.80,685.55,3264303,2237423483.25,96854,HDFC_LIFE
9-Apr-25,685.50,691.60,679.15,685.50,684.80,3054715,2093650603.50,85553,HDFC_LIFE
8-Apr-25,674.50,689.75,668.30,685.00,685.75,3279965,2229288756.55,81267,HDFC_LIFE
7-Apr-25,663.75,680.00,651.70,667.25,665.95,3861746,2577273166.45,124294,HDFC_LIFE
4-Apr-25,687.00,695.00,684.15,685.90,689.05,3867188,2668099430.95,65940,HDFC_LIFE
3-Apr-25,688.50,697.80,675.00,692.45,692.90,1353987,937448218.50,47622,HDFC_LIFE
2-Apr-25,693.30,701.75,690.20,694.05,696.15,3047499,2122610852.75,105788,HDFC_LIFE
1-Apr-25,683.00,698.05,680.00,693.00,692.90,4620146,3201822205.05,100236,HDFC_LIFE
28-Mar-25,683.90,688.25,677.95,684.00,685.70,3116601,2132312224.20,84133,HDFC_LIFE
27-Mar-25,668.40,684.60,667.05,682.00,681.90,5951034,4047300943.05,134010,HDFC_LIFE
26-Mar-25,673.10,680.40,664.85,671.15,668.40,2231203,1496665170.75,102998,HDFC_LIFE
25-Mar-25,683.00,686.00,671.35,672.90,673.10,2019661,1367628532.35,56290,HDFC_LIFE
24-Mar-25,679.60,687.45,675.60,681.00,679.90,1401023,955681887.70,49932,HDFC_LIFE
21-Mar-25,677.80,681.10,669.05,680.95,679.60,3725271,2518580001.55,80959,HDFC_LIFE
20-Mar-25,665.00,678.35,659.10,672.10,674.35,4425855,2973517514.30,96913,HDFC_LIFE
19-Mar-25,642.00,665.90,640.65,665.10,664.55,2470532,1623038078.25,59848,HDFC_LIFE
18-Mar-25,631.15,641.65,629.15,640.00,640.55,2094678,1334106015.25,52360,HDFC_LIFE
17-Mar-25,622.40,631.35,622.40,629.30,629.80,1075113,676029490.55,37055,HDFC_LIFE
13-Mar-25,631.00,632.30,619.45,620.65,622.40,2211232,1383352066.90,71075,HDFC_LIFE
12-Mar-25,636.95,639.75,627.10,631.80,632.00,2704337,1709693815.15,75264,HDFC_LIFE
11-Mar-25,623.00,637.55,614.65,636.25,636.95,2677293,1690206684.65,78008,HDFC_LIFE
10-Mar-25,625.05,633.00,623.00,623.20,625.90,2316148,1456662884.80,92941,HDFC_LIFE
7-Mar-25,618.30,633.00,618.15,625.30,625.20,3169440,1988218355.65,92283,HDFC_LIFE
6-Mar-25,621.20,628.00,612.60,617.10,618.25,2491123,1539090653.15,98117,HDFC_LIFE
5-Mar-25,613.00,625.00,612.00,618.15,621.20,2661830,1653010493.80,48099,HDFC_LIFE
4-Mar-25,613.10,620.80,609.30,616.00,616.50,3262295,2007998657.65,70668,HDFC_LIFE
3-Mar-25,608.50,620.15,607.00,618.80,618.00,3624490,2233413071.50,110919,HDFC_LIFE
28-Feb-25,614.00,616.95,600.35,609.50,608.50,5013148,3053342106.50,135186,HDFC_LIFE
27-Feb-25,625.00,627.85,615.00,615.00,618.40,1831493,1136300817.65,74038,HDFC_LIFE
25-Feb-25,617.05,623.30,613.10,620.00,622.15,1606709,993904990.90,44404,HDFC_LIFE
24-Feb-25,616.00,621.50,614.50,617.75,617.00,983443,607418066.00,42718,HDFC_LIFE
21-Feb-25,617.80,623.90,613.45,622.50,622.85,1627631,1009559861.70,59167,HDFC_LIFE
20-Feb-25,623.00,630.00,616.30,620.40,620.00,2881981,1788754584.25,67736,HDFC_LIFE
19-Feb-25,617.00,624.00,613.80,623.00,622.85,2007325,1244098212.45,61497,HDFC_LIFE
18-Feb-25,624.00,626.00,611.35,618.70,618.95,1887686,1162925439.40,76295,HDFC_LIFE
17-Feb-25,626.20,627.00,613.95,624.00,623.25,1860572,1154624548.40,68311,HDFC_LIFE
14-Feb-25,630.00,633.90,622.50,624.95,626.20,1693078,1063184111.50,56209,HDFC_LIFE
13-Feb-25,629.15,640.00,627.65,629.30,629.60,2808139,1775755935.00,96311,HDFC_LIFE
12-Feb-25,618.10,636.90,608.15,628.85,629.15,3378279,2120954916.25,87765,HDFC_LIFE
11-Feb-25,632.25,634.85,612.95,620.20,618.60,2327875,1444456765.30,69162,HDFC_LIFE
10-Feb-25,636.00,640.80,626.75,634.00,635.70,3394573,2156271232.60,98246,HDFC_LIFE
7-Feb-25,631.95,637.50,624.55,637.10,635.70,2538330,1602580464.45,76073,HDFC_LIFE
6-Feb-25,626.45,638.40,623.15,634.00,631.95,4837012,3062218780.00,142226,HDFC_LIFE
5-Feb-25,626.00,639.00,624.70,626.50,627.85,4467504,2821564472.25,78348,HDFC_LIFE
4-Feb-25,627.95,628.00,615.40,626.00,625.90,3244955,2020566632.80,55542,HDFC_LIFE
3-Feb-25,615.50,630.35,610.00,622.00,621.40,3293387,2045700290.80,71843,HDFC_LIFE
1-Feb-25,639.05,667.55,595.25,625.00,625.50,10039413,6292545023.05,193732,HDFC_LIFE
31-Jan-25,638.00,641.00,630.15,638.85,638.05,1012392,645356040.45,42673,HDFC_LIFE
30-Jan-25,624.70,636.10,624.00,635.00,634.15,2899445,1831382755.65,64602,HDFC_LIFE
29-Jan-25,612.00,629.70,605.15,628.15,628.35,2005819,1240662550.90,59971,HDFC_LIFE
28-Jan-25,610.95,614.00,600.10,612.00,611.55,2662789,1620435461.00,90523,HDFC_LIFE
27-Jan-25,618.00,619.75,606.40,609.00,610.20,1730503,1059842820.10,66244,HDFC_LIFE
