Date ,OPEN ,HIGH ,LOW ,ltp ,close ,VOLUME ,VALUE ,No_of_trades,stock_name
16-May-25,3593.90,3593.90,3546.10,3561.30,3561.30,1666727,5933224873.80,117749,TCS
15-May-25,3564.00,3600.00,3514.10,3576.50,3579.90,3548330,12651735793.00,172937,TCS
14-May-25,3521.00,3561.00,3508.60,3547.00,3548.70,2119499,7509459955.30,136543,TCS
13-May-25,3620.40,3623.00,3510.50,3518.00,3515.00,3062887,10847250162.20,221289,TCS
12-May-25,3505.00,3630.50,3502.20,3626.50,3620.40,2228678,7974051782.10,146104,TCS
9-May-25,3399.00,3446.20,3398.10,3439.90,3440.30,2531757,8679986664.60,151453,TCS
8-May-25,3448.00,3477.00,3428.70,3434.20,3448.90,2543591,8779405820.40,116139,TCS
7-May-25,3420.60,3459.50,3420.60,3448.00,3445.10,1477128,5084383270.50,89334,TCS
6-May-25,3460.00,3473.00,3437.00,3451.60,3460.00,1324763,4581101196.30,65526,TCS
5-May-25,3450.00,3504.50,3446.40,3454.60,3454.30,1284443,4452637028.70,96657,TCS
2-May-25,3472.00,3491.50,3420.00,3438.00,3444.70,2115624,7300505304.30,124212,TCS
30-Apr-25,3472.00,3509.90,3366.00,3431.80,3453.70,2809332,9731586389.30,129048,TCS
29-Apr-25,3455.00,3495.00,3430.40,3473.00,3472.50,1578332,5477091995.80,95060,TCS
28-Apr-25,3435.00,3457.80,3405.00,3441.00,3443.50,1593296,5478682188.50,94204,TCS
25-Apr-25,3420.00,3477.80,3405.00,3434.00,3448.00,2742991,9441414787.60,151400,TCS
24-Apr-25,3401.10,3412.50,3387.70,3406.00,3401.60,2252175,7655036870.70,158061,TCS
23-Apr-25,3365.00,3420.90,3337.30,3405.00,3413.00,3543923,12044899557.30,164989,TCS
22-Apr-25,3322.60,3333.90,3295.00,3312.50,3314.40,2710498,8985899446.70,151282,TCS
21-Apr-25,3290.10,3354.00,3284.10,3319.00,3321.60,2432946,8091878392.80,127748,TCS
17-Apr-25,3245.50,3303.60,3218.00,3297.40,3298.90,2932346,9567836127.70,183984,TCS
16-Apr-25,3248.20,3278.10,3229.00,3274.00,3273.80,2384391,7775304840.90,131199,TCS
15-Apr-25,3314.40,3314.40,3238.60,3255.00,3248.20,3512160,11442174035.70,166106,TCS
11-Apr-25,3289.55,3298.95,3206.00,3238.00,3231.50,7108961,23054618625.45,354463,TCS
9-Apr-25,3260.55,3270.00,3212.05,3239.00,3246.60,2990265,9714105049.50,184251,TCS
8-Apr-25,3302.05,3349.00,3255.30,3292.80,3292.95,5557558,18318927917.45,236248,TCS
7-Apr-25,3100.00,3291.40,3056.05,3285.00,3274.05,6623955,20981463559.10,386019,TCS
4-Apr-25,3362.60,3399.65,3295.50,3304.85,3299.40,5317367,17643541008.05,216133,TCS
3-Apr-25,3491.00,3502.00,3396.15,3403.30,3403.15,4537821,15531809156.15,248807,TCS
2-Apr-25,3544.00,3564.10,3530.05,3545.00,3543.95,1764313,6258290323.80,80651,TCS
1-Apr-25,3572.70,3584.00,3525.00,3556.45,3550.80,2618493,9290445221.40,167344,TCS
28-Mar-25,3651.00,3660.95,3591.90,3604.00,3606.15,2051919,7415124946.40,129740,TCS
27-Mar-25,3614.85,3663.00,3610.50,3645.00,3651.20,2528474,9226448354.45,125080,TCS
26-Mar-25,3647.75,3680.50,3625.85,3630.55,3635.80,1734499,6341597992.40,141204,TCS
25-Mar-25,3645.00,3710.00,3638.00,3641.00,3657.75,3135390,11517985340.80,181313,TCS
24-Mar-25,3600.00,3649.75,3566.60,3633.00,3628.95,1834751,6632970557.70,107825,TCS
21-Mar-25,3475.00,3616.25,3465.00,3578.00,3578.10,4161925,14823464307.85,188951,TCS
20-Mar-25,3512.00,3578.95,3512.00,3556.50,3563.15,2845192,10128343015.65,156792,TCS
19-Mar-25,3547.00,3547.00,3462.75,3505.00,3497.10,3051244,10632994898.70,181144,TCS
18-Mar-25,3502.35,3556.95,3478.45,3545.65,3552.45,3069109,10835299304.90,139204,TCS
17-Mar-25,3489.00,3530.45,3477.35,3499.90,3497.70,2690906,9409068295.75,171510,TCS
13-Mar-25,3502.30,3524.30,3484.10,3509.05,3511.05,1693004,5933491139.45,98963,TCS
12-Mar-25,3565.00,3569.25,3486.85,3507.80,3506.20,3174167,11124852701.55,175588,TCS
11-Mar-25,3558.00,3588.75,3537.65,3585.00,3575.30,1995450,7119617263.55,142820,TCS
10-Mar-25,3606.50,3622.10,3582.60,3589.00,3589.65,1004626,3618776661.30,75981,TCS
7-Mar-25,3600.00,3625.00,3574.40,3602.00,3611.20,2051315,7395690221.35,131372,TCS
6-Mar-25,3557.00,3609.45,3536.10,3592.10,3601.60,2786513,9952339476.20,201910,TCS
5-Mar-25,3520.85,3600.35,3520.85,3557.00,3547.05,2501894,8910937236.55,145336,TCS
4-Mar-25,3474.00,3551.00,3464.30,3533.00,3532.05,2797737,9842880030.30,157084,TCS
3-Mar-25,3485.00,3523.25,3476.15,3506.00,3493.05,4990439,17456399246.20,248034,TCS
28-Feb-25,3584.95,3600.00,3457.00,3478.00,3483.25,7085018,24739464379.85,340110,TCS
27-Feb-25,3611.70,3638.00,3600.70,3608.05,3612.55,3823856,13817496735.80,212465,TCS
25-Feb-25,3625.00,3658.00,3621.25,3627.00,3629.55,4101954,14925647967.55,198489,TCS
24-Feb-25,3743.15,3763.20,3670.00,3671.00,3675.60,2508516,9284523845.20,172279,TCS
21-Feb-25,3776.10,3817.00,3775.00,3789.90,3786.00,1833931,6954338537.80,125392,TCS
20-Feb-25,3761.50,3788.00,3751.30,3788.00,3779.40,2888572,10898564437.85,184053,TCS
19-Feb-25,3872.20,3874.95,3768.15,3785.00,3784.10,4366672,16578004180.70,229923,TCS
18-Feb-25,3898.40,3924.40,3864.50,3873.00,3873.20,2149879,8366596747.55,135773,TCS
17-Feb-25,3856.50,3934.00,3856.20,3908.00,3904.50,1799806,7040439519.80,168626,TCS
14-Feb-25,3925.00,3948.00,3900.00,3928.00,3934.85,1681975,6595986554.05,163805,TCS
13-Feb-25,3968.00,3984.45,3902.25,3920.00,3910.15,2277310,8951639767.60,163030,TCS
12-Feb-25,3971.10,4021.75,3940.15,3956.25,3950.15,1678002,6675628781.95,128576,TCS
11-Feb-25,4018.40,4040.00,3955.00,3967.00,3963.55,1810908,7224758107.05,121478,TCS
10-Feb-25,4040.00,4052.00,4014.35,4034.00,4036.95,1339511,5405279190.45,133697,TCS
7-Feb-25,4090.00,4090.00,4008.00,4032.00,4029.40,1548940,6246965406.40,177110,TCS
6-Feb-25,4105.40,4139.50,4051.55,4087.00,4082.75,2284536,9322389842.50,183903,TCS
5-Feb-25,4150.00,4150.00,4076.00,4086.00,4091.10,1693912,6938752665.75,130235,TCS
4-Feb-25,4083.70,4118.85,4066.05,4105.15,4107.05,2547132,10438141551.80,141942,TCS
3-Feb-25,4030.90,4077.00,3998.70,4064.00,4068.65,1265713,5121041211.00,155134,TCS
1-Feb-25,4113.00,4135.90,4056.00,4073.00,4073.15,437172,1784747121.10,49186,TCS
31-Jan-25,4110.00,4128.45,4085.25,4114.15,4112.40,1492943,6130103902.20,121858,TCS
30-Jan-25,4099.90,4129.90,4058.50,4100.00,4100.05,1531251,6276404777.90,97767,TCS
29-Jan-25,4054.00,4107.85,4054.00,4105.00,4099.80,1217089,4979253773.00,108284,TCS
28-Jan-25,4070.80,4102.00,4028.30,4040.00,4040.30,2468272,10014514674.15,150121,TCS
27-Jan-25,4102.00,4156.35,4041.05,4067.00,4065.15,1551782,6344644149.25,143859,TCS
24-Jan-25,4104.00,4178.00,4104.00,4153.10,4152.35,1910099,7937640859.20,99760,TCS
23-Jan-25,4168.00,4191.35,4140.05,4148.00,4145.45,1822998,7585718475.40,139860,TCS
22-Jan-25,4050.00,4163.15,4044.20,4152.00,4156.60,2409223,9956065096.70,153702,TCS
21-Jan-25,4095.30,4111.00,4030.00,4038.00,4035.85,1971591,8015045148.00,148666,TCS
20-Jan-25,4145.80,4145.80,4068.10,4080.00,4077.80,1287799,5261320398.80,148489,TCS
17-Jan-25,4159.90,4160.60,4100.05,4130.00,4124.30,1761466,7279436408.25,157671,TCS
16-Jan-25,4260.00,4294.00,4191.85,4215.00,4206.30,2637705,11112418871.40,176306,TCS
15-Jan-25,4218.00,4256.45,4207.45,4255.40,4249.60,1653474,6993667215.60,130857,TCS
14-Jan-25,4302.00,4313.90,4219.05,4241.15,4233.05,3441709,14634369218.50,180842,TCS
13-Jan-25,4245.00,4322.95,4227.40,4299.00,4291.10,4003771,17192353666.25,270932,TCS
10-Jan-25,4200.00,4297.00,4170.00,4265.00,4265.65,7894300,33476809439.65,436975,TCS
9-Jan-25,4101.00,4137.75,4025.30,4044.00,4038.85,2392472,9746149398.35,183446,TCS
8-Jan-25,4034.90,4126.00,4017.75,4095.05,4108.40,2181277,8847652251.50,180073,TCS
7-Jan-25,4114.95,4140.35,4011.55,4031.00,4028.30,2669054,10798629271.20,177825,TCS
6-Jan-25,4105.50,4149.65,4066.40,4090.00,4095.00,2085593,8565822653.70,158660,TCS
3-Jan-25,4179.95,4179.95,4092.30,4097.00,4099.90,1791953,7372404407.85,125354,TCS
2-Jan-25,4120.00,4183.00,4096.95,4166.00,4175.75,1720835,7158273705.25,124549,TCS
1-Jan-25,4094.40,4134.00,4085.45,4112.00,4112.45,763161,3138692117.15,99498,TCS
31-Dec-24,4135.00,4139.95,4032.05,4106.00,4094.80,1555429,6345700031.05,162877,TCS
30-Dec-24,4151.00,4199.30,4112.00,4150.00,4158.80,1527169,6340928576.30,116250,TCS
27-Dec-24,4163.00,4180.95,4147.25,4157.10,4164.85,858100,3572437410.85,88194,TCS
26-Dec-24,4179.50,4199.95,4143.15,4170.00,4169.10,1208464,5031352687.20,106756,TCS
24-Dec-24,4158.30,4218.00,4158.30,4182.00,4179.50,1181886,4947571708.95,77609,TCS
23-Dec-24,4200.05,4217.00,4114.90,4157.05,4158.30,2195338,9112820726.95,149845,TCS
20-Dec-24,4329.00,4382.00,4152.50,4177.05,4170.30,4116989,17455242238.80,214598,TCS
19-Dec-24,4282.00,4364.00,4262.00,4281.00,4271.90,3015763,12974663426.65,217876,TCS
18-Dec-24,4311.70,4362.00,4289.60,4355.65,4347.85,1575404,6827736370.00,106590,TCS
17-Dec-24,4410.00,4432.95,4318.00,4322.70,4328.50,3225027,14016805137.00,172049,TCS
16-Dec-24,4459.00,4475.00,4397.00,4416.00,4415.20,1646224,7284853956.40,132903,TCS
13-Dec-24,4434.95,4494.90,4394.40,4474.90,4473.90,1967048,8768379842.00,153642,TCS
12-Dec-24,4430.05,4485.00,4426.00,4460.00,4454.95,1914642,8542215590.15,149188,TCS
11-Dec-24,4431.85,4448.65,4407.00,4423.00,4427.45,1635256,7236472507.40,108588,TCS
10-Dec-24,4426.15,4493.80,4412.10,4437.80,4432.55,2087828,9271971917.90,142478,TCS
9-Dec-24,4430.45,4469.40,4415.55,4445.60,4452.15,2066639,9189399351.95,127439,TCS
6-Dec-24,4453.00,4465.00,4412.75,4444.15,4445.50,1842087,8177521134.60,138417,TCS
5-Dec-24,4400.80,4489.00,4360.00,4455.15,4464.05,3746747,16600910836.35,260982,TCS
4-Dec-24,4313.55,4386.95,4289.05,4342.00,4354.40,3302642,14400589848.00,217385,TCS
3-Dec-24,4314.35,4325.00,4265.45,4303.00,4302.75,2010905,8644599154.70,144243,TCS
2-Dec-24,4270.00,4288.20,4230.05,4268.85,4276.65,1670944,7131539607.80,158372,TCS
29-Nov-24,4220.00,4298.70,4195.65,4266.00,4270.85,2017425,8599333668.25,133480,TCS
28-Nov-24,4319.00,4339.95,4233.00,4250.80,4244.90,2558544,10914733802.80,165049,TCS
27-Nov-24,4358.95,4377.40,4324.05,4332.95,4332.55,1558993,6779887252.40,118269,TCS
26-Nov-24,4321.05,4366.60,4310.00,4351.00,4352.70,2060669,8937980540.10,156578,TCS
25-Nov-24,4280.00,4328.10,4252.20,4320.00,4315.10,4052167,17438178815.15,154060,TCS
22-Nov-24,4071.00,4254.95,4054.00,4221.95,4244.60,3096553,12962640957.15,163715,TCS
21-Nov-24,4044.90,4092.45,4024.00,4068.00,4072.85,2384347,9676346995.65,158009,TCS
19-Nov-24,4019.90,4132.15,4014.10,4042.00,4039.55,1776233,7247968687.60,133137,TCS
18-Nov-24,4213.00,4213.00,3990.20,4017.15,4019.50,3313944,13494296959.70,178320,TCS
14-Nov-24,4135.00,4160.00,4116.45,4148.00,4145.90,1825432,7561531479.90,165379,TCS
13-Nov-24,4178.10,4196.75,4131.05,4151.65,4150.35,1098813,4565628216.20,114945,TCS
12-Nov-24,4216.00,4218.00,4164.35,4180.00,4197.40,1587640,6661621166.75,102025,TCS
11-Nov-24,4128.20,4234.30,4117.65,4186.50,4198.70,1406487,5900864157.10,149144,TCS
8-Nov-24,4155.00,4169.75,4117.65,4135.65,4147.00,1648039,6825348802.40,139776,TCS
7-Nov-24,4169.70,4205.80,4085.05,4146.00,4150.90,3724349,15435705018.25,189460,TCS
6-Nov-24,4003.60,4149.80,3975.25,4143.00,4139.65,3792017,15556064937.35,233333,TCS
5-Nov-24,3941.10,3986.00,3941.10,3971.55,3971.35,967590,3840820731.70,92042,TCS
4-Nov-24,3966.30,3991.90,3913.25,3967.00,3964.15,2269192,8964463071.95,199030,TCS
1-Nov-24,3989.85,3998.95,3976.05,3983.05,3984.20,154895,617630511.60,18588,TCS
31-Oct-24,4070.00,4078.30,3960.00,3975.00,3968.45,3740372,14887381076.25,248757,TCS
30-Oct-24,4075.00,4107.00,4060.05,4071.20,4084.65,1935002,7920876293.30,109837,TCS
29-Oct-24,4095.85,4103.50,4060.10,4080.00,4075.25,1445885,5893106996.85,101205,TCS
28-Oct-24,4068.95,4134.00,4051.00,4090.05,4090.85,1532534,6271197563.70,95406,TCS
25-Oct-24,4057.05,4092.00,4032.70,4060.00,4057.55,1759676,7150208882.35,132353,TCS
24-Oct-24,4004.00,4079.00,4004.00,4050.00,4047.90,2676744,10837400632.35,111747,TCS
23-Oct-24,3999.60,4113.55,3995.15,4065.15,4066.25,1966476,8002229160.45,129950,TCS
22-Oct-24,4066.00,4089.80,4006.35,4020.00,4015.50,1928049,7817858767.15,178215,TCS
21-Oct-24,4132.60,4139.95,4070.00,4071.00,4079.85,1595450,6535979616.10,118454,TCS
18-Oct-24,4090.00,4146.15,4080.00,4130.50,4123.05,2361000,9730315576.70,160733,TCS
17-Oct-24,4112.80,4129.95,4092.95,4111.25,4109.00,2522659,10365190148.65,215233,TCS
16-Oct-24,4085.00,4115.00,4067.20,4094.00,4094.95,2359151,9646655679.40,192691,TCS
15-Oct-24,4131.05,4169.95,4095.00,4119.00,4116.80,2759474,11367123225.35,154340,TCS
14-Oct-24,4140.00,4165.40,4122.20,4139.00,4136.65,2137590,8858398067.15,140166,TCS
11-Oct-24,4143.00,4241.95,4112.45,4146.00,4149.20,5759183,23983586815.70,377816,TCS
10-Oct-24,4253.25,4293.85,4198.60,4227.90,4227.40,2378875,10093143863.45,176710,TCS
9-Oct-24,4260.00,4295.00,4246.70,4258.95,4252.95,1082504,4619161345.70,102574,TCS
8-Oct-24,4272.60,4279.40,4203.95,4259.40,4253.25,1541867,6536012531.70,163898,TCS
7-Oct-24,4273.90,4297.25,4229.40,4274.00,4272.85,1472619,6278960109.95,117843,TCS
4-Oct-24,4225.00,4298.00,4224.05,4251.90,4252.25,2965463,12621465329.55,194588,TCS
3-Oct-24,4262.60,4279.00,4210.00,4232.50,4232.75,3350119,14182364569.60,168212,TCS
1-Oct-24,4255.55,4295.75,4242.95,4283.25,4287.90,1823365,7788915830.70,121772,TCS
30-Sep-24,4286.90,4298.75,4260.05,4271.00,4268.50,2503416,10695320177.30,212084,TCS
27-Sep-24,4335.00,4378.00,4300.05,4305.00,4308.70,3012477,13036144375.45,231071,TCS
26-Sep-24,4260.00,4316.80,4260.00,4295.00,4292.50,3964251,16999820745.85,185888,TCS
25-Sep-24,4252.35,4289.60,4240.00,4275.35,4274.75,2713073,11567483701.95,153942,TCS
24-Sep-24,4251.65,4291.00,4240.00,4282.00,4271.30,3012026,12846372402.70,140428,TCS
23-Sep-24,4300.00,4309.40,4253.00,4266.05,4268.50,1702319,7269588108.95,169788,TCS
20-Sep-24,4316.90,4330.70,4227.50,4295.00,4284.90,5447908,23310316503.10,291115,TCS
19-Sep-24,4390.05,4422.20,4281.80,4307.00,4296.15,2927551,12650187150.25,232656,TCS
18-Sep-24,4497.05,4497.05,4321.00,4347.90,4346.15,2961779,12943188817.60,244673,TCS
17-Sep-24,4513.25,4535.80,4466.00,4511.00,4505.65,1699364,7656902882.20,88562,TCS
16-Sep-24,4527.00,4546.05,4494.45,4509.00,4513.25,1155120,5217113716.25,61456,TCS
13-Sep-24,4530.00,4547.00,4505.00,4521.75,4522.60,1458786,6603740972.90,78892,TCS
12-Sep-24,4510.25,4532.60,4431.30,4495.30,4517.70,2742216,12298852603.60,179765,TCS
