Date ,OPEN ,HIGH ,LOW ,ltp ,close ,VOLUME ,VALUE ,No_of_trades,stock_name
16-May-25,1740.00,1741.60,1719.00,1730.00,1734.90,1448249,2508537705.60,92593,SUNPHARMA
15-May-25,1701.10,1744.40,1684.10,1738.30,1740.10,3880385,6676283657.40,146890,SUNPHARMA
14-May-25,1702.00,1711.40,1692.10,1710.20,1708.20,1639324,2792449090.10,82274,SUNPHARMA
13-May-25,1711.00,1748.50,1691.30,1702.20,1700.00,6988329,11925308735.00,258135,SUNPHARMA
12-May-25,1695.70,1712.40,1623.60,1689.90,1686.20,9221075,15422117345.50,278210,SUNPHARMA
9-May-25,1751.90,1766.30,1731.70,1748.00,1744.80,1148956,2004699070.20,72955,SUNPHARMA
8-May-25,1781.30,1788.90,1755.00,1755.00,1767.20,2647871,4687205153.60,113625,SUNPHARMA
7-May-25,1817.90,1826.40,1778.70,1780.90,1781.30,2015237,3607804178.10,80343,SUNPHARMA
6-May-25,1820.00,1827.90,1799.00,1819.00,1819.10,1414772,2570545159.60,61418,SUNPHARMA
5-May-25,1827.80,1843.30,1821.40,1834.20,1836.60,1219830,2238816267.90,65058,SUNPHARMA
2-May-25,1832.30,1851.20,1813.80,1825.00,1829.40,2310897,4229982097.00,101579,SUNPHARMA
30-Apr-25,1810.00,1838.90,1803.30,1821.60,1832.30,2667314,4881571584.90,99419,SUNPHARMA
29-Apr-25,1845.00,1846.00,1797.00,1800.20,1805.50,2886160,5242246980.60,125295,SUNPHARMA
28-Apr-25,1787.40,1846.00,1781.20,1842.20,1841.60,3216482,5886425863.20,114701,SUNPHARMA
25-Apr-25,1806.00,1815.50,1764.20,1781.80,1787.40,2036801,3639571164.30,88999,SUNPHARMA
24-Apr-25,1790.00,1807.90,1773.90,1806.90,1803.90,2101177,3773326510.10,82971,SUNPHARMA
23-Apr-25,1754.20,1791.30,1742.10,1785.20,1788.80,1471029,2612409586.10,60572,SUNPHARMA
22-Apr-25,1751.00,1755.00,1734.50,1748.40,1747.40,961907,1677953862.90,51087,SUNPHARMA
21-Apr-25,1761.00,1761.00,1731.30,1746.40,1744.90,1539511,2685983207.90,68239,SUNPHARMA
17-Apr-25,1695.00,1758.00,1687.40,1757.00,1751.50,2683908,4651566818.30,115404,SUNPHARMA
16-Apr-25,1691.10,1702.70,1682.10,1691.00,1693.10,2205374,3726635637.50,106358,SUNPHARMA
15-Apr-25,1720.00,1724.50,1696.80,1705.20,1705.00,1993085,3402432599.20,82756,SUNPHARMA
11-Apr-25,1710.00,1737.00,1682.10,1687.90,1687.55,3801939,6455920619.90,244225,SUNPHARMA
9-Apr-25,1650.00,1679.75,1640.00,1651.75,1652.20,3481864,5794751799.85,152924,SUNPHARMA
8-Apr-25,1645.00,1709.85,1645.00,1691.00,1688.35,2807382,4734939348.00,115400,SUNPHARMA
7-Apr-25,1620.10,1692.00,1620.10,1677.10,1666.35,5715334,9481503895.75,221015,SUNPHARMA
4-Apr-25,1778.85,1778.85,1658.05,1705.00,1709.35,5345276,9106654027.50,228975,SUNPHARMA
3-Apr-25,1755.00,1812.70,1750.00,1772.00,1770.00,5715573,10200882418.55,228089,SUNPHARMA
2-Apr-25,1695.00,1718.45,1685.90,1713.95,1713.65,3369489,5757593865.60,109070,SUNPHARMA
1-Apr-25,1731.00,1733.95,1681.60,1698.30,1698.35,4142445,7056055656.00,177054,SUNPHARMA
28-Mar-25,1731.45,1741.35,1705.20,1733.95,1734.70,1956781,3376611044.05,81975,SUNPHARMA
27-Mar-25,1751.00,1752.30,1720.00,1734.35,1731.45,3279881,5669974285.25,137932,SUNPHARMA
26-Mar-25,1767.95,1770.80,1746.10,1750.05,1758.95,1762361,3095978071.15,94260,SUNPHARMA
25-Mar-25,1784.80,1795.95,1758.50,1761.00,1764.75,1471028,2604852598.05,86803,SUNPHARMA
24-Mar-25,1794.50,1820.00,1777.60,1784.00,1784.80,1182084,2114791320.70,73428,SUNPHARMA
21-Mar-25,1759.00,1792.80,1750.25,1790.00,1784.50,2483162,4421247417.40,91718,SUNPHARMA
20-Mar-25,1735.65,1757.15,1722.90,1754.00,1750.25,1602232,2799535658.85,90275,SUNPHARMA
19-Mar-25,1747.80,1748.00,1726.30,1732.65,1732.35,2167448,3755838761.65,104318,SUNPHARMA
18-Mar-25,1714.35,1752.00,1700.00,1748.75,1747.80,2730980,4732619646.40,92703,SUNPHARMA
17-Mar-25,1694.05,1720.15,1688.35,1703.90,1704.30,2588408,4419482127.25,126527,SUNPHARMA
13-Mar-25,1672.00,1687.15,1663.45,1679.85,1683.45,1666929,2800636698.70,99956,SUNPHARMA
12-Mar-25,1662.00,1680.25,1658.05,1675.00,1676.85,2389362,3994065056.90,123342,SUNPHARMA
11-Mar-25,1616.10,1663.60,1605.35,1657.00,1655.30,3325416,5487286322.75,118882,SUNPHARMA
10-Mar-25,1621.95,1641.45,1602.75,1610.00,1611.50,1600589,2582183090.20,70049,SUNPHARMA
7-Mar-25,1624.00,1628.75,1605.65,1607.00,1609.30,980890,1581669240.80,51154,SUNPHARMA
6-Mar-25,1598.25,1617.90,1572.55,1615.00,1614.00,2458676,3940112445.20,162041,SUNPHARMA
5-Mar-25,1564.60,1586.30,1553.05,1575.40,1582.45,2428171,3826047128.55,146455,SUNPHARMA
4-Mar-25,1585.00,1590.00,1556.00,1565.00,1566.50,1717135,2688025381.15,97950,SUNPHARMA
3-Mar-25,1585.30,1607.40,1582.20,1584.00,1585.10,1425492,2271267747.65,115852,SUNPHARMA
28-Feb-25,1671.00,1671.00,1586.40,1590.00,1593.25,3549979,5712376639.65,121234,SUNPHARMA
27-Feb-25,1628.95,1653.10,1605.05,1642.00,1647.50,2744489,4475233087.80,175577,SUNPHARMA
25-Feb-25,1639.50,1647.80,1606.25,1611.55,1613.60,2836717,4586961004.80,170963,SUNPHARMA
24-Feb-25,1629.75,1669.90,1627.05,1636.85,1639.50,2357441,3877964629.85,156933,SUNPHARMA
21-Feb-25,1678.05,1684.40,1632.00,1638.00,1643.75,2244190,3698485746.15,94096,SUNPHARMA
20-Feb-25,1667.15,1677.95,1663.00,1671.00,1669.30,1670915,2788958521.70,68447,SUNPHARMA
19-Feb-25,1665.10,1699.00,1647.10,1677.65,1676.60,2576319,4327233254.05,115915,SUNPHARMA
18-Feb-25,1714.20,1729.75,1698.40,1699.95,1701.60,2163972,3695261421.80,92879,SUNPHARMA
17-Feb-25,1700.50,1735.35,1696.05,1711.15,1714.20,2277889,3911008495.50,139350,SUNPHARMA
