Date ,OPEN ,HIGH ,LOW ,ltp ,close ,VOLUME ,VALUE ,No_of_trades,stock_name
16-May-25,2845.00,2845.00,2775.10,2808.00,2804.20,700214,1961253234.00,48990,GRASIM_INDUSTRIES
15-May-25,2734.30,2829.50,2720.00,2829.50,2824.80,1353535,3777194229.10,92091,GRASIM_INDUSTRIES
14-May-25,2719.90,2747.00,2705.30,2739.00,2737.20,330652,902278922.10,32256,GRASIM_INDUSTRIES
13-May-25,2741.00,2748.00,2702.70,2713.40,2708.70,313964,852913584.30,28936,GRASIM_INDUSTRIES
12-May-25,2671.10,2761.90,2671.10,2741.00,2742.80,498304,1362516497.90,34800,GRASIM_INDUSTRIES
9-May-25,2676.90,2684.00,2626.60,2638.90,2634.80,444671,1175009545.00,46194,GRASIM_INDUSTRIES
8-May-25,2685.00,2709.60,2676.50,2680.60,2698.70,966461,2602588565.60,64880,GRASIM_INDUSTRIES
7-May-25,2699.00,2727.30,2682.40,2697.70,2699.90,417883,1128872491.80,32124,GRASIM_INDUSTRIES
6-May-25,2754.00,2764.50,2718.00,2718.00,2728.70,288396,789606597.10,25953,GRASIM_INDUSTRIES
5-May-25,2730.00,2773.00,2718.30,2748.80,2755.10,661587,1824627877.10,42213,GRASIM_INDUSTRIES
2-May-25,2725.60,2771.80,2695.80,2715.00,2718.30,1007903,2752184573.90,42205,GRASIM_INDUSTRIES
30-Apr-25,2735.00,2750.90,2718.90,2722.10,2737.50,662477,1814605559.80,27818,GRASIM_INDUSTRIES
29-Apr-25,2753.10,2755.60,2719.00,2737.10,2745.70,890929,2439032139.00,41123,GRASIM_INDUSTRIES
28-Apr-25,2735.00,2773.70,2723.30,2752.00,2753.40,416635,1148839216.60,37851,GRASIM_INDUSTRIES
25-Apr-25,2726.00,2739.90,2675.20,2732.10,2734.80,649356,1759828805.70,45697,GRASIM_INDUSTRIES
24-Apr-25,2690.00,2736.30,2673.00,2730.50,2729.20,562050,1528992227.10,39302,GRASIM_INDUSTRIES
23-Apr-25,2750.10,2763.90,2675.10,2695.00,2685.60,603774,1630606476.30,43307,GRASIM_INDUSTRIES
22-Apr-25,2750.30,2772.10,2737.70,2737.70,2749.40,211167,581944013.60,22885,GRASIM_INDUSTRIES
21-Apr-25,2755.00,2787.30,2735.00,2756.00,2756.90,322964,893882637.90,37266,GRASIM_INDUSTRIES
17-Apr-25,2701.00,2772.00,2686.90,2761.90,2760.70,1061496,2916716423.00,91814,GRASIM_INDUSTRIES
16-Apr-25,2690.00,2722.00,2682.20,2715.80,2702.80,462016,1248520562.70,41564,GRASIM_INDUSTRIES
15-Apr-25,2675.00,2726.20,2670.00,2725.00,2718.60,815058,2206512001.40,52975,GRASIM_INDUSTRIES
11-Apr-25,2650.00,2660.00,2612.80,2660.00,2651.25,669041,1767631030.80,53806,GRASIM_INDUSTRIES
9-Apr-25,2562.50,2586.75,2529.45,2568.00,2557.75,494024,1265370738.20,40113,GRASIM_INDUSTRIES
8-Apr-25,2550.00,2600.00,2534.15,2593.00,2590.05,1296141,3342995290.45,58905,GRASIM_INDUSTRIES
7-Apr-25,2550.00,2560.00,2465.50,2511.60,2509.10,974267,2441017143.05,95346,GRASIM_INDUSTRIES
4-Apr-25,2635.10,2651.90,2610.10,2623.75,2616.90,290533,763849778.40,26976,GRASIM_INDUSTRIES
3-Apr-25,2595.10,2664.00,2595.10,2652.00,2651.90,298330,788626604.15,36091,GRASIM_INDUSTRIES
2-Apr-25,2619.00,2633.40,2601.05,2612.05,2616.50,413523,1082365984.95,40620,GRASIM_INDUSTRIES
1-Apr-25,2611.40,2632.00,2596.20,2612.05,2619.00,317974,831111157.55,30190,GRASIM_INDUSTRIES
28-Mar-25,2614.95,2637.65,2599.35,2605.50,2611.15,435022,1138581008.10,43441,GRASIM_INDUSTRIES
27-Mar-25,2584.00,2628.95,2575.00,2596.10,2618.70,1246219,3257509688.40,69464,GRASIM_INDUSTRIES
26-Mar-25,2582.95,2602.90,2560.00,2585.00,2581.60,555486,1434299135.70,45628,GRASIM_INDUSTRIES
25-Mar-25,2529.75,2595.90,2520.00,2566.50,2569.45,993289,2542988078.60,78530,GRASIM_INDUSTRIES
24-Mar-25,2478.65,2544.00,2475.00,2511.00,2513.20,594207,1496235743.20,50743,GRASIM_INDUSTRIES
21-Mar-25,2479.90,2514.75,2459.45,2478.65,2469.40,1372022,3397811593.35,66480,GRASIM_INDUSTRIES
20-Mar-25,2464.80,2477.20,2448.10,2461.85,2468.15,317002,783277849.95,34728,GRASIM_INDUSTRIES
19-Mar-25,2426.00,2464.60,2426.00,2460.00,2458.20,415476,1018732389.60,31153,GRASIM_INDUSTRIES
18-Mar-25,2402.35,2428.00,2397.00,2424.90,2421.65,423611,1024700231.40,36681,GRASIM_INDUSTRIES
17-Mar-25,2381.75,2404.50,2370.85,2400.00,2399.35,646728,1546045618.80,37957,GRASIM_INDUSTRIES
13-Mar-25,2402.00,2411.80,2363.30,2368.00,2370.20,479648,1140411961.50,39490,GRASIM_INDUSTRIES
12-Mar-25,2413.55,2438.90,2367.60,2398.70,2398.90,561893,1347946048.55,39218,GRASIM_INDUSTRIES
11-Mar-25,2372.00,2425.00,2363.95,2415.90,2413.55,445250,1069204286.65,43939,GRASIM_INDUSTRIES
10-Mar-25,2407.25,2425.00,2373.30,2386.20,2383.95,650796,1563601436.10,53695,GRASIM_INDUSTRIES
7-Mar-25,2380.00,2415.00,2380.00,2405.00,2407.25,317388,763443343.45,35322,GRASIM_INDUSTRIES
6-Mar-25,2401.65,2415.00,2353.50,2388.20,2393.65,754593,1802324870.10,76858,GRASIM_INDUSTRIES
5-Mar-25,2404.00,2408.95,2376.35,2399.00,2391.65,755361,1803656499.80,94844,GRASIM_INDUSTRIES
4-Mar-25,2356.00,2404.20,2351.60,2395.85,2394.65,521061,1242766247.60,55486,GRASIM_INDUSTRIES
3-Mar-25,2328.50,2382.90,2317.90,2380.00,2377.45,790068,1867085566.35,89557,GRASIM_INDUSTRIES
28-Feb-25,2347.15,2361.75,2301.65,2324.85,2306.65,1153007,2677027803.70,74923,GRASIM_INDUSTRIES
27-Feb-25,2373.00,2379.30,2317.10,2347.00,2339.95,1045684,2444968252.25,81161,GRASIM_INDUSTRIES
25-Feb-25,2392.00,2403.50,2367.10,2370.70,2379.30,497013,1183752035.15,39966,GRASIM_INDUSTRIES
24-Feb-25,2412.00,2420.00,2381.00,2392.00,2393.70,543080,1303024956.80,49595,GRASIM_INDUSTRIES
21-Feb-25,2440.00,2453.35,2401.05,2417.15,2431.05,504415,1226824398.25,57130,GRASIM_INDUSTRIES
20-Feb-25,2451.00,2477.95,2443.25,2452.90,2453.70,427274,1048897779.80,40900,GRASIM_INDUSTRIES
19-Feb-25,2448.00,2481.50,2446.30,2460.35,2463.20,289053,712323297.95,30974,GRASIM_INDUSTRIES
18-Feb-25,2480.00,2482.95,2412.80,2445.05,2463.20,596040,1454742040.70,49999,GRASIM_INDUSTRIES
17-Feb-25,2431.30,2471.15,2405.55,2460.00,2463.85,646841,1587678783.65,43407,GRASIM_INDUSTRIES
