Date ,OPEN ,HIGH ,LOW ,ltp ,close ,VOLUME ,VALUE ,No_of_trades,stock_name
16-May-25,8350,8495,8280,8491,8482.5,483122,4064819657,54407,BAJAJ-AUTO
15-May-25,8135,8366,8077,8335,8326,497959,4103768628,85429,BAJAJ-AUTO
14-May-25,8090,8208,8032,8095.5,8102.5,225717,1832059579,35513,BAJAJ-AUTO
13-May-25,8039.5,8109,7950,8066.5,8063,407395,3270750991,57904,BAJAJ-AUTO
12-May-25,7800,8048.5,7778,8047,8039.5,296774,2364193873,40508,BAJAJ-AUTO
9-May-25,7620,7743.5,7612,7711.5,7682.5,248982,1911917845,47790,BAJAJ-AUTO
8-May-25,7850.5,7869.5,7670,7670.5,7724.5,461725,3583710008,70938,BAJAJ-AUTO
7-May-25,7915.5,7978,7811.5,7845,7849,459640,3622632470,55124,BAJAJ-AUTO
6-May-25,7930,8044,7910,7926.5,7945.5,270568,2163568678,39935,BAJAJ-AUTO
5-May-25,7869.5,7964.5,7850,7905,7920.5,250175,1977797592,36482,BAJAJ-AUTO
2-May-25,8000,8086,7803,7809,7836.5,455898,3603186356,74875,BAJAJ-AUTO
30-Apr-25,8060,8077.5,7977.5,8015,8030,447067,3583177579,39138,BAJAJ-AUTO
29-Apr-25,8136.5,8169.5,8020,8088.5,8078.5,228383,1844393204,31599,BAJAJ-AUTO
28-Apr-25,8034,8134.5,7971,8097.5,8096,282481,2277334634,30651,BAJAJ-AUTO
25-Apr-25,8225,8259.5,7965,8010.5,8034,508224,4096122973,51578,BAJAJ-AUTO
24-Apr-25,8260,8328,8169,8215,8201.5,322100,2653985823,44141,BAJAJ-AUTO
23-Apr-25,8111,8294.5,8051,8229,8261.5,598686,4890108515,59699,BAJAJ-AUTO
22-Apr-25,8186,8186.5,8075,8135,8141,394636,3205519015,43964,BAJAJ-AUTO
21-Apr-25,8010,8275,7950,8230,8247.5,285132,2329143461,45682,BAJAJ-AUTO
17-Apr-25,7994,8055,7864.5,8008,8018,274331,2188579730,53694,BAJAJ-AUTO
16-Apr-25,7999,7999.5,7864.5,7947,7961.5,294161,2329216008,41575,BAJAJ-AUTO
15-Apr-25,8000,8040,7828.5,7984.5,7995.5,387999,3097016579,48741,BAJAJ-AUTO
11-Apr-25,7719.5,7779.95,7636.35,7779,7768.85,290737,2248277112,43501,BAJAJ-AUTO
9-Apr-25,7525.45,7631.3,7460.5,7576.45,7572.3,261256,1975416745,40615,BAJAJ-AUTO
8-Apr-25,7384.5,7529.85,7345.75,7519.95,7498.05,259199,1931977456,43557,BAJAJ-AUTO
7-Apr-25,7300,7357.55,7089.35,7322.05,7306.8,469629,3412612643,72993,BAJAJ-AUTO
4-Apr-25,7880,7889.85,7652.25,7699.8,7685.1,461228,3557922155,44664,BAJAJ-AUTO
3-Apr-25,7940.05,7940.05,7840,7909.75,7912.2,470005,3710356493,52563,BAJAJ-AUTO
2-Apr-25,7962,8083.8,7945,8075,8072.95,237191,1902808159,33808,BAJAJ-AUTO
1-Apr-25,7631,8048,7631,7975,7993.05,283618,2257138042,40125,BAJAJ-AUTO
28-Mar-25,7970.4,8024.9,7810.75,7859.95,7878.85,392400,3107189466,51307,BAJAJ-AUTO
27-Mar-25,7901,8039.1,7852.25,7960,7974.3,651971,5200098947,70101,BAJAJ-AUTO
26-Mar-25,8014.35,8047.45,7910,7969,7977.1,391366,3124308278,56441,BAJAJ-AUTO
25-Mar-25,8160,8167.95,7952,7990,8006,824076,6607094832,79784,BAJAJ-AUTO
24-Mar-25,8117.8,8213.95,8070,8120,8125.55,453508,3693489672,47800,BAJAJ-AUTO
21-Mar-25,7969,8151,7938,8080,8067.85,703280,5675204857,52058,BAJAJ-AUTO
20-Mar-25,7734.95,7951.95,7722,7920,7920,606109,4781521116,61415,BAJAJ-AUTO
19-Mar-25,7674,7767.65,7619.25,7711.25,7721.85,409356,3156800475,43614,BAJAJ-AUTO
18-Mar-25,7523.4,7642.1,7512.85,7625,7613.4,354990,2690488375,43762,BAJAJ-AUTO
