Date ,OPEN ,HIGH ,LOW ,ltp ,close ,VOLUME ,VALUE ,No_of_trades,stock_name
16-May-25,1790.00,1790.90,1767.90,1773.80,1773.40,696146,1237136147.90,38370,SBI_LIFE
15-May-25,1757.70,1788.40,1737.10,1782.00,1784.60,1318425,2333429646.50,83158,SBI_LIFE
14-May-25,1741.00,1760.00,1737.40,1757.80,1755.20,603108,1056574653.80,41177,SBI_LIFE
13-May-25,1742.70,1756.00,1732.30,1738.70,1740.00,478541,834813060.20,49453,SBI_LIFE
12-May-25,1725.00,1756.90,1720.00,1746.00,1751.50,728808,1274110009.40,46401,SBI_LIFE
9-May-25,1706.00,1728.70,1693.10,1699.60,1699.80,1076900,1839237760.90,52598,SBI_LIFE
8-May-25,1741.30,1744.00,1721.10,1723.00,1731.50,1107891,1921921073.50,65207,SBI_LIFE
7-May-25,1714.00,1756.50,1712.30,1741.10,1744.50,753313,1311890839.80,61184,SBI_LIFE
6-May-25,1770.00,1797.80,1717.20,1725.10,1726.00,1295777,2257530538.30,52237,SBI_LIFE
5-May-25,1773.00,1787.60,1766.90,1770.00,1769.90,947983,1682900982.70,39005,SBI_LIFE
2-May-25,1761.00,1777.10,1747.60,1756.80,1764.70,1418603,2501318291.90,68417,SBI_LIFE
30-Apr-25,1722.00,1772.50,1718.50,1761.30,1765.80,2031563,3572550646.40,75207,SBI_LIFE
29-Apr-25,1733.90,1764.90,1721.00,1724.40,1730.10,2049847,3561907531.60,115093,SBI_LIFE
28-Apr-25,1690.00,1755.00,1681.40,1721.00,1736.10,2100813,3601647450.40,76678,SBI_LIFE
25-Apr-25,1723.50,1762.00,1651.10,1691.00,1695.10,10321746,17502108879.90,309253,SBI_LIFE
24-Apr-25,1612.90,1636.60,1603.00,1615.00,1608.20,857476,1385426548.60,53482,SBI_LIFE
23-Apr-25,1625.00,1625.00,1601.00,1622.00,1615.50,1136215,1830902923.50,39314,SBI_LIFE
22-Apr-25,1627.80,1639.90,1612.80,1619.60,1619.00,1102055,1789641289.60,53311,SBI_LIFE
21-Apr-25,1618.00,1630.70,1595.30,1630.10,1628.50,1016066,1647185599.20,46762,SBI_LIFE
17-Apr-25,1558.00,1615.00,1549.40,1607.50,1608.20,1500299,2379773046.30,72000,SBI_LIFE
16-Apr-25,1548.50,1576.80,1548.50,1564.50,1565.40,784495,1228062936.20,46125,SBI_LIFE
15-Apr-25,1555.50,1574.10,1525.00,1563.00,1562.60,1363406,2130305670.30,64637,SBI_LIFE
11-Apr-25,1539.00,1539.00,1500.05,1526.00,1521.90,1134200,1723096128.70,49862,SBI_LIFE
9-Apr-25,1488.00,1499.90,1475.00,1482.70,1481.65,1047950,1558820708.00,55214,SBI_LIFE
8-Apr-25,1490.00,1498.05,1458.05,1493.50,1488.00,2142568,3146878116.10,63151,SBI_LIFE
7-Apr-25,1450.00,1485.50,1430.55,1468.00,1460.80,916977,1339667366.40,90177,SBI_LIFE
4-Apr-25,1536.35,1546.90,1501.10,1512.05,1512.60,826558,1252750204.35,41817,SBI_LIFE
3-Apr-25,1546.00,1558.90,1540.00,1546.40,1542.25,373548,578139563.15,30140,SBI_LIFE
2-Apr-25,1543.00,1563.15,1542.30,1556.25,1559.85,1876774,2922854876.80,69169,SBI_LIFE
1-Apr-25,1537.75,1566.40,1535.35,1542.30,1545.25,937836,1453102334.70,39487,SBI_LIFE
28-Mar-25,1544.90,1564.50,1534.75,1550.00,1547.85,1120169,1736873067.60,67232,SBI_LIFE
27-Mar-25,1541.40,1552.10,1529.65,1550.00,1544.90,1405775,2169065062.70,106259,SBI_LIFE
26-Mar-25,1564.30,1570.30,1533.45,1545.00,1541.30,1106876,1712381514.25,68842,SBI_LIFE
25-Mar-25,1577.65,1583.90,1551.30,1555.45,1557.20,1241287,1943321194.45,71962,SBI_LIFE
