Date ,OPEN ,HIGH ,LOW ,ltp ,close ,VOLUME ,VALUE ,No_of_trades,stock_name
16-May-25,1238.90,1238.90,1221.00,1228.50,1230.70,882873,1084410927.50,39496,DR.REDDY's_LABORATORIES
15-May-25,1214.00,1239.80,1200.20,1231.00,1236.30,2053553,2513384526.30,100056,DR.REDDY's_LABORATORIES
14-May-25,1213.30,1223.30,1193.20,1220.30,1220.00,1197152,1454203819.40,55110,DR.REDDY's_LABORATORIES
13-May-25,1196.00,1241.00,1196.00,1208.00,1207.10,3134295,3834501207.20,114153,DR.REDDY's_LABORATORIES
12-May-25,1155.90,1204.00,1143.90,1193.60,1195.60,5065176,5972830720.20,141292,DR.REDDY's_LABORATORIES
9-May-25,1142.50,1167.00,1138.50,1158.10,1155.90,1248574,1435809557.90,58467,DR.REDDY's_LABORATORIES
8-May-25,1152.70,1161.40,1142.00,1146.00,1148.00,2616533,3008638014.50,99397,DR.REDDY's_LABORATORIES
7-May-25,1143.40,1164.60,1143.40,1162.00,1160.70,1421366,1647387239.10,60034,DR.REDDY's_LABORATORIES
6-May-25,1172.20,1175.00,1129.40,1156.00,1160.40,1990745,2305578118.90,60270,DR.REDDY's_LABORATORIES
5-May-25,1188.70,1193.90,1154.50,1178.00,1171.30,1893680,2212841386.40,55068,DR.REDDY's_LABORATORIES
2-May-25,1176.10,1194.80,1171.40,1184.00,1182.90,1306311,1544077141.50,55170,DR.REDDY's_LABORATORIES
30-Apr-25,1176.20,1196.60,1175.90,1179.50,1183.90,1604442,1902102797.30,63580,DR.REDDY's_LABORATORIES
29-Apr-25,1204.40,1204.40,1169.00,1176.20,1176.00,1663018,1960285386.80,71628,DR.REDDY's_LABORATORIES
28-Apr-25,1176.30,1205.00,1176.30,1202.40,1198.70,1236678,1479979904.70,57178,DR.REDDY's_LABORATORIES
25-Apr-25,1203.90,1210.50,1159.70,1172.00,1174.80,1286573,1516430178.00,51311,DR.REDDY's_LABORATORIES
24-Apr-25,1179.00,1210.00,1176.30,1204.90,1200.50,4819678,5762672667.50,80333,DR.REDDY's_LABORATORIES
23-Apr-25,1185.10,1191.80,1175.90,1183.10,1186.00,3192132,3779209145.20,82010,DR.REDDY's_LABORATORIES
22-Apr-25,1173.90,1180.50,1162.30,1175.10,1175.00,1313400,1541716008.00,42491,DR.REDDY's_LABORATORIES
21-Apr-25,1163.40,1179.70,1155.00,1176.80,1177.40,1938756,2268003614.40,66564,DR.REDDY's_LABORATORIES
17-Apr-25,1150.10,1173.60,1150.10,1163.30,1163.60,2788024,3247579205.90,72694,DR.REDDY's_LABORATORIES
16-Apr-25,1150.20,1161.40,1143.70,1150.90,1158.40,1451875,1675001335.40,77501,DR.REDDY's_LABORATORIES
15-Apr-25,1140.90,1158.10,1129.00,1156.00,1154.90,2683350,3076869271.10,72640,DR.REDDY's_LABORATORIES
11-Apr-25,1139.90,1139.90,1102.25,1110.00,1109.50,2740831,3068904560.90,91866,DR.REDDY's_LABORATORIES
9-Apr-25,1094.50,1103.25,1061.65,1093.25,1094.05,5511474,6014946285.75,117243,DR.REDDY's_LABORATORIES
8-Apr-25,1100.00,1113.65,1088.70,1109.85,1107.95,1577632,1740391167.90,79851,DR.REDDY's_LABORATORIES
7-Apr-25,1020.00,1098.85,1020.00,1092.30,1087.90,3888037,4225840425.70,136195,DR.REDDY's_LABORATORIES
4-Apr-25,1151.80,1157.45,1076.20,1114.00,1109.95,5423861,5986709250.80,206413,DR.REDDY's_LABORATORIES
3-Apr-25,1190.50,1226.90,1149.05,1151.80,1151.45,6324685,7471413120.45,175194,DR.REDDY's_LABORATORIES
2-Apr-25,1150.00,1152.70,1135.00,1151.65,1150.00,2071245,2368526047.90,60874,DR.REDDY's_LABORATORIES
1-Apr-25,1144.20,1164.40,1136.05,1150.00,1152.20,4158012,4794716300.25,98563,DR.REDDY's_LABORATORIES
28-Mar-25,1159.25,1159.25,1140.75,1145.00,1144.20,2762934,3171838628.35,95730,DR.REDDY's_LABORATORIES
27-Mar-25,1160.00,1172.40,1144.00,1161.40,1162.20,4460409,5147481095.40,141276,DR.REDDY's_LABORATORIES
26-Mar-25,1177.90,1179.80,1152.65,1161.40,1164.60,2864505,3333849572.85,134793,DR.REDDY's_LABORATORIES
25-Mar-25,1210.30,1215.95,1167.95,1173.50,1177.90,2860907,3370901737.45,98645,DR.REDDY's_LABORATORIES
24-Mar-25,1205.00,1216.35,1190.25,1208.00,1210.30,1660669,1999888358.55,64032,DR.REDDY's_LABORATORIES
21-Mar-25,1190.20,1204.65,1177.05,1202.25,1200.15,2313824,2765319297.85,90859,DR.REDDY's_LABORATORIES
20-Mar-25,1178.95,1190.75,1165.30,1186.00,1187.20,1521677,1796107267.85,90571,DR.REDDY's_LABORATORIES
19-Mar-25,1174.00,1177.70,1158.10,1171.00,1172.10,1507415,1759405481.55,58947,DR.REDDY's_LABORATORIES
