Date ,OPEN ,HIGH ,LOW ,ltp ,close ,VOLUME ,VALUE ,No_of_trades,stock_name
16-May-25,659.50,662.95,654.35,656.90,657.55,2701320,1775686578.35,50769,HINDALCO_INDUSTRIES
15-May-25,649.50,663.65,646.30,658.80,661.35,7133226,4696207555.95,118633,HINDALCO_INDUSTRIES
14-May-25,635.50,652.95,634.00,649.50,650.55,4819584,3121701845.90,88106,HINDALCO_INDUSTRIES
13-May-25,645.00,646.35,632.00,635.00,634.75,6025310,3844617217.50,141675,HINDALCO_INDUSTRIES
12-May-25,640.15,654.25,638.05,651.25,651.95,5474816,3540849204.15,115187,HINDALCO_INDUSTRIES
9-May-25,609.10,630.30,603.75,626.10,627.15,3870212,2410374688.30,91149,HINDALCO_INDUSTRIES
8-May-25,635.80,636.30,615.05,616.00,620.20,5791783,3611795300.10,93014,HINDALCO_INDUSTRIES
7-May-25,633.00,638.70,629.35,635.85,636.30,3587997,2278410640.10,69049,HINDALCO_INDUSTRIES
6-May-25,638.95,642.70,627.45,629.05,630.05,2778131,1762753138.55,49197,HINDALCO_INDUSTRIES
5-May-25,635.25,641.60,629.55,634.35,633.40,2552160,1620343762.35,49268,HINDALCO_INDUSTRIES
2-May-25,624.00,650.10,621.80,632.90,632.10,6341829,4041128696.70,105893,HINDALCO_INDUSTRIES
30-Apr-25,622.55,632.55,615.00,620.55,624.65,5905186,3696561261.30,89794,HINDALCO_INDUSTRIES
29-Apr-25,631.05,634.25,621.65,622.50,622.55,4528870,2827891324.75,76239,HINDALCO_INDUSTRIES
28-Apr-25,622.45,631.50,622.40,628.85,628.65,3965901,2492630735.80,91323,HINDALCO_INDUSTRIES
25-Apr-25,632.40,634.30,612.95,620.15,622.10,3925971,2443206014.80,82917,HINDALCO_INDUSTRIES
24-Apr-25,630.00,632.55,626.10,628.35,628.35,3367773,2117245258.15,54284,HINDALCO_INDUSTRIES
23-Apr-25,628.75,633.00,620.70,627.70,629.10,4674766,2932345342.95,76624,HINDALCO_INDUSTRIES
22-Apr-25,625.00,631.05,619.05,619.15,620.10,4970919,3099681356.90,116465,HINDALCO_INDUSTRIES
21-Apr-25,611.50,624.90,607.05,622.10,622.00,2655716,1641016747.30,75352,HINDALCO_INDUSTRIES
17-Apr-25,608.90,616.00,604.00,608.00,609.50,4518317,2753000699.50,89278,HINDALCO_INDUSTRIES
16-Apr-25,618.15,619.35,602.00,609.65,609.90,4447732,2706651663.75,72861,HINDALCO_INDUSTRIES
15-Apr-25,613.00,619.30,606.35,618.05,617.60,4871858,2993676985.35,78805,HINDALCO_INDUSTRIES
11-Apr-25,585.00,607.95,576.10,601.80,600.30,12562852,7494502986.55,157756,HINDALCO_INDUSTRIES
9-Apr-25,567.75,567.75,552.20,564.25,564.00,7009318,3932436468.85,129782,HINDALCO_INDUSTRIES
8-Apr-25,575.00,584.35,555.95,569.25,568.35,8831753,4991485540.25,155654,HINDALCO_INDUSTRIES
7-Apr-25,559.00,570.00,546.45,564.45,561.80,13117998,7342545664.20,266862,HINDALCO_INDUSTRIES
4-Apr-25,645.00,645.00,596.55,600.00,599.95,9393865,5744551627.40,150679,HINDALCO_INDUSTRIES
3-Apr-25,658.00,658.00,647.60,653.10,652.65,5646497,3688400318.20,100577,HINDALCO_INDUSTRIES
2-Apr-25,668.70,669.00,652.75,661.45,661.20,8357384,5499205624.15,100908,HINDALCO_INDUSTRIES
1-Apr-25,672.00,683.10,661.95,663.50,663.75,5131883,3432506539.45,76650,HINDALCO_INDUSTRIES
28-Mar-25,690.50,697.45,679.30,682.00,682.45,4362212,2984146404.60,100592,HINDALCO_INDUSTRIES
27-Mar-25,690.95,697.90,689.20,691.55,693.35,5002247,3469299136.90,82861,HINDALCO_INDUSTRIES
26-Mar-25,695.00,702.40,690.50,691.00,691.30,3646226,2534619800.70,64325,HINDALCO_INDUSTRIES
25-Mar-25,700.45,704.35,683.25,692.00,693.45,4552278,3146620883.65,81042,HINDALCO_INDUSTRIES
24-Mar-25,704.85,705.75,695.10,702.35,701.50,4296847,3010942069.35,113449,HINDALCO_INDUSTRIES
21-Mar-25,715.00,715.00,694.20,697.00,695.35,7595841,5316539121.25,103691,HINDALCO_INDUSTRIES
20-Mar-25,702.50,709.85,697.60,706.00,705.95,4670064,3290906195.20,118809,HINDALCO_INDUSTRIES
19-Mar-25,703.00,703.00,690.50,697.00,698.55,5462686,3811376910.40,98652,HINDALCO_INDUSTRIES
18-Mar-25,689.25,701.00,685.95,696.80,697.85,5954283,4151506834.45,111584,HINDALCO_INDUSTRIES
17-Mar-25,678.25,687.50,677.85,681.90,680.75,4033133,2747892242.50,64277,HINDALCO_INDUSTRIES
13-Mar-25,690.20,692.95,673.25,678.05,677.35,4877884,3310488806.10,93778,HINDALCO_INDUSTRIES
12-Mar-25,700.00,702.00,683.80,690.05,689.85,5219333,3606685960.70,92382,HINDALCO_INDUSTRIES
11-Mar-25,684.00,699.00,676.80,699.00,695.50,5262297,3630625226.85,85450,HINDALCO_INDUSTRIES
10-Mar-25,689.80,709.30,686.50,690.05,689.15,10707412,7471143706.15,167288,HINDALCO_INDUSTRIES
7-Mar-25,678.60,694.60,678.60,689.95,691.35,8142832,5605118732.05,120043,HINDALCO_INDUSTRIES
6-Mar-25,664.95,687.60,661.85,680.45,681.95,10993614,7433996000.45,207512,HINDALCO_INDUSTRIES
5-Mar-25,638.00,662.50,638.00,657.35,657.35,7876653,5164345356.50,136065,HINDALCO_INDUSTRIES
4-Mar-25,628.00,643.85,624.10,640.00,641.65,4430660,2831277909.15,100212,HINDALCO_INDUSTRIES
3-Mar-25,634.45,643.50,620.70,638.20,636.55,5368388,3394061372.65,123609,HINDALCO_INDUSTRIES
28-Feb-25,630.00,636.60,619.45,634.00,634.35,13041185,8223192748.30,132761,HINDALCO_INDUSTRIES
27-Feb-25,625.10,633.90,619.50,630.50,631.95,7263151,4554838777.90,106240,HINDALCO_INDUSTRIES
25-Feb-25,636.00,638.45,617.10,622.55,619.45,10249548,6375110831.95,238422,HINDALCO_INDUSTRIES
24-Feb-25,642.00,647.90,636.25,640.90,641.90,5931712,3812008464.35,101478,HINDALCO_INDUSTRIES
21-Feb-25,639.20,656.20,637.95,652.15,653.55,7490723,4874883945.65,153554,HINDALCO_INDUSTRIES
20-Feb-25,627.00,644.20,625.00,639.25,638.80,6904537,4407957400.45,116688,HINDALCO_INDUSTRIES
19-Feb-25,607.00,628.35,606.55,627.95,626.30,6101855,3785009091.15,97897,HINDALCO_INDUSTRIES
18-Feb-25,609.00,613.70,601.70,609.00,611.45,2956837,1798454671.20,63828,HINDALCO_INDUSTRIES
17-Feb-25,606.20,611.90,589.65,610.05,610.85,4470099,2697548992.60,82977,HINDALCO_INDUSTRIES
14-Feb-25,609.00,616.00,595.05,604.00,606.20,11475440,6933688949.45,180429,HINDALCO_INDUSTRIES
13-Feb-25,596.05,607.95,590.10,604.40,602.50,4415122,2659587384.10,137164,HINDALCO_INDUSTRIES
12-Feb-25,599.05,604.95,586.35,597.15,598.90,3764143,2247129270.05,78775,HINDALCO_INDUSTRIES
11-Feb-25,594.05,607.00,591.65,596.05,595.85,5303293,3174822088.05,81162,HINDALCO_INDUSTRIES
10-Feb-25,605.00,606.10,589.50,595.85,596.00,3434505,2046370235.35,85912,HINDALCO_INDUSTRIES
7-Feb-25,595.45,610.60,594.00,609.20,607.40,4687823,2838341920.00,88225,HINDALCO_INDUSTRIES
6-Feb-25,601.05,606.80,591.25,596.95,595.45,3571342,2130182114.25,64929,HINDALCO_INDUSTRIES
5-Feb-25,584.50,604.50,584.50,600.90,600.60,3974704,2380140680.10,70511,HINDALCO_INDUSTRIES
4-Feb-25,580.50,595.90,580.20,585.10,583.95,5318376,3118816972.55,65170,HINDALCO_INDUSTRIES
3-Feb-25,575.00,576.60,557.60,575.00,574.05,8169543,4667551171.90,144207,HINDALCO_INDUSTRIES
1-Feb-25,594.00,595.40,582.00,586.10,586.45,1740719,1027902113.20,28126,HINDALCO_INDUSTRIES
31-Jan-25,590.00,596.40,584.30,593.75,594.30,3750965,2219554340.55,75618,HINDALCO_INDUSTRIES
30-Jan-25,586.90,601.85,581.70,590.60,587.85,4604752,2719715145.95,78457,HINDALCO_INDUSTRIES
