DATE,OPEN ,HIGH ,LOW ,ltp ,close ,VOLUME ,VALUE ,No_of_trades,stock_name
16-May-25,1635,1635.9,1601.3,1616.8,1617,1159095,1870644783,86977,TECH_MAHINDRA
15-May-25,1606,1636.4,1600.2,1628,1629.1,2972408,4824177518,178333,TECH_MAHINDRA
14-May-25,1584,1609.4,1578.1,1607.4,1603.2,2354571,3759815795,104121,TECH_MAHINDRA
13-May-25,1600.3,1600.9,1565.1,1573.2,1572.5,3724272,5877573195,169200,TECH_MAHINDRA
12-May-25,1522,1576.5,1517.4,1573.8,1573.1,1891418,2937814205,67324,TECH_MAHINDRA
9-May-25,1480,1501.3,1478.1,1495.6,1493.7,923174,1378220606,65628,TECH_MAHINDRA
8-May-25,1500.9,1518.5,1488,1495,1502.8,2829448,4257161538,120610,TECH_MAHINDRA
7-May-25,1489.1,1504.9,1480.6,1495.1,1495.2,1272555,1903528316,92463,TECH_MAHINDRA
6-May-25,1496.9,1504.8,1486.1,1491,1496.2,1545773,2310214560,77791,TECH_MAHINDRA
5-May-25,1499,1506.5,1490.5,1495,1494.6,846022,1267508182,84085,TECH_MAHINDRA
2-May-25,1505,1519,1489.8,1490.8,1496.3,1986072,2983044983,124460,TECH_MAHINDRA
30-Apr-25,1495.3,1510.8,1490,1498,1503,1858465,2790041440,79655,TECH_MAHINDRA
29-Apr-25,1466.2,1504.9,1463.3,1495,1495.3,2652788,3952371573,129697,TECH_MAHINDRA
28-Apr-25,1469.3,1480,1437,1461,1461.5,2079431,3028800390,96087,TECH_MAHINDRA
25-Apr-25,1455.4,1473.9,1375,1460,1462,8211667,11833766948,222519,TECH_MAHINDRA
24-Apr-25,1445,1467.5,1434.3,1446.6,1445.2,2501415,3620949751,90271,TECH_MAHINDRA
23-Apr-25,1418.9,1449.4,1408,1442,1439.6,5944062,8529923461,206773,TECH_MAHINDRA
22-Apr-25,1374,1396,1361.2,1370.1,1376.5,2471135,3408354316,100032,TECH_MAHINDRA
21-Apr-25,1304,1389,1303,1374,1373.5,3759267,5133250272,129588,TECH_MAHINDRA
17-Apr-25,1295.1,1308.9,1275.9,1304.8,1306.8,3027966,3917105277,160106,TECH_MAHINDRA
16-Apr-25,1292,1314.6,1283.5,1308.1,1308.7,1093342,1421985311,71326,TECH_MAHINDRA
15-Apr-25,1314.2,1314.2,1286.8,1301.5,1301.7,1511866,1963172543,70533,TECH_MAHINDRA
11-Apr-25,1275,1312.35,1274.2,1284.2,1282.25,1803181,2328653086,66173,TECH_MAHINDRA
9-Apr-25,1290,1299.95,1264.35,1270.95,1272.75,3724878,4756954513,108434,TECH_MAHINDRA
8-Apr-25,1314,1342.05,1291.15,1314.85,1314.4,2868814,3765083246,110208,TECH_MAHINDRA
7-Apr-25,1245,1293.8,1209.4,1292.95,1288,3044730,3822963040,167830,TECH_MAHINDRA
4-Apr-25,1350,1359.2,1318.85,1322,1320.95,1757493,2335248622,71252,TECH_MAHINDRA
3-Apr-25,1397,1400,1360.25,1370,1369.35,1943422,2676554881,77358,TECH_MAHINDRA
2-Apr-25,1397.15,1426.05,1397.15,1424.5,1423.05,1617949,2297723211,67144,TECH_MAHINDRA
1-Apr-25,1402,1416.95,1385.4,1396.5,1395.15,1578367,2202669418,79294,TECH_MAHINDRA
28-Mar-25,1415.1,1430,1408.55,1415,1418.25,1642693,2332133286,64008,TECH_MAHINDRA
27-Mar-25,1407.15,1430,1406,1427.45,1423.9,2541022,3609822189,91437,TECH_MAHINDRA
26-Mar-25,1464,1464,1409.5,1410.5,1416.3,2231144,3183564434,112495,TECH_MAHINDRA
25-Mar-25,1474,1483.9,1449.45,1451.2,1455.5,2056315,3010728992,116579,TECH_MAHINDRA
24-Mar-25,1415.85,1467.65,1413.6,1459.95,1458.65,3072831,4405321134,73158,TECH_MAHINDRA
21-Mar-25,1390.05,1431.1,1382.05,1410,1409.25,4056023,5731140630,103150,TECH_MAHINDRA
20-Mar-25,1403.15,1421,1400.05,1410.85,1410.55,2863413,4049020938,68006,TECH_MAHINDRA
19-Mar-25,1430.65,1431.8,1394.4,1397.5,1396.15,5557840,7792650272,106005,TECH_MAHINDRA
18-Mar-25,1446.25,1453,1426.55,1432.9,1430.65,3280540,4712021400,73150,TECH_MAHINDRA
17-Mar-25,1442.95,1448,1425.2,1441,1440.1,1747569,2514027941,88260,TECH_MAHINDRA
