Date ,OPEN ,HIGH ,LOW ,ltp ,close ,VOLUME ,VALUE ,No_of_trades,stock_name
16-May-25,257,257,253.53,254.45,254.31,6640387,1691007321,66512,WIPRO
15-May-25,253.2,257.1,250.62,256.1,256.57,12083645,3071569688,117124,WIPRO
14-May-25,251.57,253.69,250.75,253.2,252.94,8839105,2230500016,88004,WIPRO
13-May-25,256.95,256.95,250.62,251.8,251.57,11714159,2962085357,100429,WIPRO
12-May-25,245.09,257.94,244.88,256.5,257.28,19791711,5002986476,136844,WIPRO
9-May-25,236.6,242.95,236.5,241.71,242.01,10582438,2547226086,97358,WIPRO
8-May-25,243.11,245.83,239.31,240.5,241.57,11434833,2771177904,108236,WIPRO
7-May-25,236.01,244.45,236.01,244,244.04,9130056,2212255939,88615,WIPRO
6-May-25,244.5,245.9,240.61,240.7,241.19,8869045,2155233526,70760,WIPRO
5-May-25,244,246.87,242.7,243.2,243.57,12170446,2974410722,111265,WIPRO
2-May-25,242.04,245.8,240.75,242.5,242.87,14411726,3504283639,104403,WIPRO
30-Apr-25,241.55,243.4,239.2,240.8,241.5,14206640,3425952067,93233,WIPRO
29-Apr-25,241.6,243.6,239.85,241.75,241.4,16647246,4023826274,107681,WIPRO
28-Apr-25,240.5,241.95,238.75,240.7,240.5,14218414,3419038038,85423,WIPRO
25-Apr-25,243.95,246.15,238.05,240.5,240.9,16620430,4012463415,111293,WIPRO
24-Apr-25,244.8,245.15,241.5,242.7,242.75,23000820,5590535982,128941,WIPRO
23-Apr-25,237.2,245.35,236.1,243.2,243.6,31898042,7696095615,193934,WIPRO
22-Apr-25,238.45,239,233.5,234,234.15,18367713,4330216050,140022,WIPRO
21-Apr-25,237.4,240.8,237.4,238.3,238.45,16298364,3897401355,130844,WIPRO
17-Apr-25,235,237.8,232.15,237.4,236.9,54875421,12895982492,383213,WIPRO
16-Apr-25,244,248.45,241.2,247.6,247.65,16203319,3974009697,130894,WIPRO
15-Apr-25,245.05,245.05,241.35,244.4,244,10694621,2600599365,92233,WIPRO
11-Apr-25,245,245,238.35,240.4,239.75,11205821,2698646787,112385,WIPRO
9-Apr-25,240.7,242.3,234,236.8,236.65,19063559,4507591286,177126,WIPRO
8-Apr-25,244.75,249.5,243.85,247.2,247.25,13806651,3405576991,97863,WIPRO
7-Apr-25,231.05,243.85,228,243.15,242.9,13011904,3081423051,197179,WIPRO
4-Apr-25,253,253.95,244.85,246.95,246.3,14639785,3624185666,131920,WIPRO
3-Apr-25,259.9,260.5,255.3,256.65,256.35,12262561,3156592884,126957,WIPRO
2-Apr-25,262.8,265.55,261.1,263.5,263.6,7136992,1879684080,65188,WIPRO
1-Apr-25,260.35,263,258.5,262.25,262.6,8388635,2191324421,89708,WIPRO
28-Mar-25,271,271.85,261.6,262.5,262.25,14283389,3783399202,124803,WIPRO
27-Mar-25,270,273.55,269.6,272,272.2,14783522,4013443070,128142,WIPRO
26-Mar-25,272,272.25,266.75,267.2,267.4,7308412,1965009475,89521,WIPRO
25-Mar-25,272,274.7,269.35,269.95,271,12563930,3417166626,116461,WIPRO
24-Mar-25,267.05,271.65,265.4,269,269.4,9269617,2490570376,87706,WIPRO
21-Mar-25,264,269.55,260.2,264.3,264.3,22659168,6016395169,145333,WIPRO
20-Mar-25,269.2,273.95,267.5,267.7,268,17038774,4600118074,144401,WIPRO
19-Mar-25,262,266.5,256.25,265.9,265.7,14044300,3686485770,117529,WIPRO
18-Mar-25,261.75,263.05,259.4,261.5,261.25,11450247,2986151593,117088,WIPRO
17-Mar-25,264,265.2,258.9,259.95,259.85,12697930,3319484001,126107,WIPRO
13-Mar-25,268.55,271.1,263.35,264.2,264,8683943,2308887107,111642,WIPRO
12-Mar-25,277.7,277.7,262.2,268.2,268.55,18584311,4948846758,180741,WIPRO
11-Mar-25,277,279.3,273.2,278.7,277.75,8602609,2372741879,100269,WIPRO
10-Mar-25,284.45,285.65,277.95,280.8,280.9,8165123,2297016800,98734,WIPRO
7-Mar-25,287.4,287.7,282.9,284.4,284.8,8097300,2309872112,81562,WIPRO
6-Mar-25,288.45,292,283.5,285.25,285.9,9782051,2796173602,105031,WIPRO
5-Mar-25,281.4,286.95,278.65,284.6,285.1,10285712,2926154713,108693,WIPRO
4-Mar-25,279,283.1,276.3,279.85,280,9331785,2618094291,111451,WIPRO
3-Mar-25,279.45,286.35,279.3,283.3,283.55,11471554,3252821497,135618,WIPRO
28-Feb-25,294,294,277,278.5,277.65,17458839,4902504059,179013,WIPRO
27-Feb-25,294,295.8,291.35,292.35,294.5,15555649,4569095728,157896,WIPRO
25-Feb-25,294.35,296.3,290.1,291.3,291.3,10810040,3163486984,109038,WIPRO
24-Feb-25,302.95,303.3,293.35,295,295.05,12600963,3733183077,143817,WIPRO
21-Feb-25,312.8,312.8,305.05,305.8,306.35,8722925,2688295209,86732,WIPRO
20-Feb-25,311.2,314.3,310.25,313.1,313.3,7697134,2407804466,71909,WIPRO
19-Feb-25,311.25,316.5,308.3,313.2,314.1,7835672,2456788981,97876,WIPRO
18-Feb-25,305.35,312.75,305.35,311.5,312.2,10368789,3206129057,118208,WIPRO
17-Feb-25,308.1,310.3,302,306.1,305.35,7507772,2286499119,82489,WIPRO
14-Feb-25,310.05,312.4,304.55,308.15,308.1,7371341,2266239687,77927,WIPRO
13-Feb-25,310.3,313.65,306.95,309,308.55,8832731,2739143267,102188,WIPRO
12-Feb-25,313.45,315.75,309.35,310.05,310.2,9668342,3012222171,125445,WIPRO
11-Feb-25,319.5,320.4,311.6,312.75,313,10627890,3342682930,109307,WIPRO
10-Feb-25,318.8,321,315.85,319,319.05,12304840,3924877163,108216,WIPRO
7-Feb-25,319,319,314,317,318,8589587,2725695315,72987,WIPRO
6-Feb-25,320,323.6,314.55,317.3,317.95,15062390,4790591282,108568,WIPRO
5-Feb-25,317.8,321.45,314.9,316.75,317.1,9628027,3052025827,85969,WIPRO
4-Feb-25,318,318.85,313.35,316.15,316.25,15366864,4854202226,123243,WIPRO
3-Feb-25,303,314,300.3,313.1,313.6,14877076,4620484899,139269,WIPRO
1-Feb-25,312.55,313.25,303.35,305.55,304.8,6046117,1857955202,67619,WIPRO
