Date ,OPEN ,HIGH ,LOW ,ltp ,close ,VOLUME ,VALUE ,No_of_trades,stock_name
16-May-25,7080.00,7105.00,6993.00,7000.00,7015.00,270773,1905794168.00,35087,APOLLO_HOSP
15-May-25,6942.00,7096.50,6870.00,7086.50,7072.50,656146,4564460084.50,81911,APOLLO_HOSP
14-May-25,6930.00,6993.00,6862.50,6918.00,6916.50,324593,2246888910.00,37449,APOLLO_HOSP
13-May-25,6908.00,7013.00,6900.00,6926.00,6917.50,323598,2247282790.00,49744,APOLLO_HOSP
12-May-25,6800.00,6940.50,6758.50,6920.00,6926.00,237009,1633486796.50,37188,APOLLO_HOSP
9-May-25,6735.50,6844.00,6677.50,6724.00,6722.00,428193,2879720868.50,49000,APOLLO_HOSP
8-May-25,6950.00,6979.00,6806.00,6815.00,6851.50,383274,2635751037.00,58211,APOLLO_HOSP
7-May-25,6970.00,7056.00,6950.00,6970.00,6983.00,338311,2369568251.00,36369,APOLLO_HOSP
6-May-25,6999.50,7074.00,6950.00,6994.50,7009.00,292595,2052928828.50,37108,APOLLO_HOSP
5-May-25,6960.00,7031.00,6950.00,6970.00,6974.00,259097,1811287436.50,32443,APOLLO_HOSP
2-May-25,6922.00,7098.00,6913.50,6926.50,6954.50,269757,1882009602.00,40701,APOLLO_HOSP
30-Apr-25,6992.00,7035.50,6920.00,6970.00,6977.00,499567,3487907965.00,43279,APOLLO_HOSP
29-Apr-25,7049.00,7090.00,6976.00,6990.00,6992.50,174253,1222156074.00,31643,APOLLO_HOSP
28-Apr-25,6954.50,7056.00,6954.50,7033.00,7045.00,379519,2662625802.00,51170,APOLLO_HOSP
25-Apr-25,7169.50,7243.00,6898.00,6932.00,6953.00,550158,3854749213.50,48287,APOLLO_HOSP
24-Apr-25,7141.50,7184.50,7093.50,7130.00,7159.50,277769,1981152148.50,38007,APOLLO_HOSP
23-Apr-25,7088.50,7169.00,7071.50,7110.50,7142.00,287593,2051030286.00,46415,APOLLO_HOSP
22-Apr-25,7141.50,7172.50,7070.00,7071.50,7088.50,305540,2171054012.50,27612,APOLLO_HOSP
21-Apr-25,7150.00,7189.00,7058.00,7137.00,7142.50,244570,1747240778.00,43111,APOLLO_HOSP
17-Apr-25,7038.00,7092.00,7000.00,7075.00,7073.50,533349,3756677314.00,74246,APOLLO_HOSP
16-Apr-25,6870.00,7034.50,6865.00,7010.00,7005.50,621996,4343072739.00,99827,APOLLO_HOSP
15-Apr-25,6965.00,6965.00,6835.00,6896.50,6905.00,778401,5365343189.00,82124,APOLLO_HOSP
11-Apr-25,6822.70,6870.95,6765.50,6798.00,6780.95,652003,4442286784.60,56646,APOLLO_HOSP
9-Apr-25,6665.00,6851.45,6665.00,6840.85,6834.10,680834,4642446394.50,58855,APOLLO_HOSP
8-Apr-25,6725.00,6790.00,6716.25,6748.05,6755.60,578124,3910651919.40,60815,APOLLO_HOSP
7-Apr-25,6565.00,6725.70,6490.85,6714.50,6683.30,744140,4959957323.80,88565,APOLLO_HOSP
4-Apr-25,6672.00,6735.00,6582.00,6735.00,6714.55,279897,1866496394.45,49107,APOLLO_HOSP
3-Apr-25,6675.05,6774.95,6660.05,6670.05,6671.35,312519,2099846930.15,35390,APOLLO_HOSP
2-Apr-25,6632.30,6746.40,6632.30,6720.35,6732.15,292940,1966972486.35,32949,APOLLO_HOSP
1-Apr-25,6599.00,6661.90,6545.65,6632.25,6632.30,319668,2116186073.10,37045,APOLLO_HOSP
28-Mar-25,6492.05,6649.75,6432.95,6614.00,6616.20,413873,2718498644.80,62767,APOLLO_HOSP
27-Mar-25,6500.05,6559.95,6430.25,6470.00,6492.05,728926,4736520209.25,86671,APOLLO_HOSP
26-Mar-25,6653.80,6680.00,6491.05,6529.10,6519.80,281646,1853058903.15,57614,APOLLO_HOSP
25-Mar-25,6596.50,6667.15,6562.05,6650.00,6644.70,223679,1483450948.20,33944,APOLLO_HOSP
24-Mar-25,6649.40,6699.95,6600.45,6630.00,6615.80,390002,2591936621.35,55252,APOLLO_HOSP
21-Mar-25,6494.00,6634.10,6470.05,6615.00,6611.55,496635,3270351594.65,45117,APOLLO_HOSP
20-Mar-25,6465.00,6484.65,6363.75,6473.30,6474.35,457285,2942053562.50,52921,APOLLO_HOSP
19-Mar-25,6275.25,6434.90,6227.10,6430.00,6427.55,579880,3704711430.65,58740,APOLLO_HOSP
18-Mar-25,6209.90,6260.95,6162.50,6240.35,6246.80,308477,1921794003.55,40776,APOLLO_HOSP
17-Mar-25,6002.00,6204.20,6002.00,6160.00,6156.65,287639,1769293737.20,34958,APOLLO_HOSP
13-Mar-25,6155.10,6200.00,6082.10,6095.20,6105.65,247628,1513072020.55,33961,APOLLO_HOSP
12-Mar-25,6134.10,6157.95,6063.75,6140.00,6143.75,250139,1527430729.65,35934,APOLLO_HOSP
11-Mar-25,6130.00,6155.70,6040.00,6134.10,6134.80,526709,3204870279.30,69621,APOLLO_HOSP
10-Mar-25,6206.40,6212.00,6133.90,6150.00,6149.60,266044,1640929690.20,30485,APOLLO_HOSP
7-Mar-25,6292.25,6314.75,6197.30,6207.80,6216.10,299433,1873817118.45,42613,APOLLO_HOSP
6-Mar-25,6255.00,6292.00,6217.05,6279.00,6274.10,284475,1784168174.25,49711,APOLLO_HOSP
5-Mar-25,6200.00,6235.05,6130.65,6223.00,6214.40,345922,2141877791.60,40891,APOLLO_HOSP
4-Mar-25,6133.00,6220.50,6112.30,6199.95,6188.15,445246,2754347127.70,41698,APOLLO_HOSP
3-Mar-25,6025.60,6195.00,6001.00,6182.00,6170.60,373515,2294341330.55,81757,APOLLO_HOSP
28-Feb-25,6145.05,6145.05,6001.35,6085.00,6052.60,845516,5123660526.45,75645,APOLLO_HOSP
