Date ,OPEN ,HIGH ,LOW ,ltp ,close ,VOLUME ,VALUE ,No_of_trades,stock_name
16-May-25,674.00,674.80,660.05,666.30,665.50,5415727,3604281094.50,94920,SHRIRAM_FINANCE
15-May-25,654.80,679.95,644.15,674.00,674.80,9817422,6554827178.80,191235,SHRIRAM_FINANCE
14-May-25,639.50,655.30,637.60,651.00,651.95,9324793,6057317063.75,132383,SHRIRAM_FINANCE
13-May-25,641.60,647.80,631.95,633.30,633.60,5748439,3671155665.10,108889,SHRIRAM_FINANCE
12-May-25,611.05,648.00,611.00,644.50,645.95,9560644,6109638029.05,151295,SHRIRAM_FINANCE
9-May-25,600.00,612.35,596.65,603.00,601.45,5637324,3395502595.35,150680,SHRIRAM_FINANCE
8-May-25,635.00,640.80,607.00,608.10,615.80,10052396,6262493313.60,173406,SHRIRAM_FINANCE
7-May-25,618.20,638.00,617.25,635.00,636.65,5983998,3779355569.95,93820,SHRIRAM_FINANCE
6-May-25,628.80,631.85,617.05,621.20,623.45,5098276,3175582044.40,92181,SHRIRAM_FINANCE
5-May-25,610.15,630.90,607.20,629.80,628.85,8616953,5370638812.30,109570,SHRIRAM_FINANCE
2-May-25,611.70,616.30,599.50,603.50,604.20,9193181,5572853488.75,148407,SHRIRAM_FINANCE
30-Apr-25,614.70,621.80,606.50,609.00,611.70,7374108,4520305454.15,157474,SHRIRAM_FINANCE
29-Apr-25,625.00,630.80,610.20,612.95,614.70,10387632,6410942888.15,161036,SHRIRAM_FINANCE
28-Apr-25,622.70,630.40,596.15,621.60,622.00,32221482,19840514939.75,413827,SHRIRAM_FINANCE
25-Apr-25,698.90,705.60,635.00,640.00,655.20,9784886,6568780058.40,179191,SHRIRAM_FINANCE
24-Apr-25,704.00,705.50,694.50,698.90,696.65,5010172,3496643929.80,101839,SHRIRAM_FINANCE
23-Apr-25,709.50,713.80,685.90,702.00,703.90,5442424,3808168227.10,122277,SHRIRAM_FINANCE
22-Apr-25,703.00,709.95,700.00,700.05,703.50,3672514,2586218186.00,113274,SHRIRAM_FINANCE
21-Apr-25,698.75,717.50,690.50,703.00,703.00,6740583,4747279690.15,141245,SHRIRAM_FINANCE
17-Apr-25,677.00,695.65,668.55,690.00,691.75,5771289,3949453966.80,115239,SHRIRAM_FINANCE
16-Apr-25,672.65,678.00,662.45,675.00,676.05,6571065,4413998841.70,118485,SHRIRAM_FINANCE
15-Apr-25,651.95,674.55,649.15,671.85,672.00,6085948,4058851135.45,128907,SHRIRAM_FINANCE
11-Apr-25,627.00,648.65,627.00,637.50,638.80,7102851,4547300551.25,114415,SHRIRAM_FINANCE
9-Apr-25,647.95,647.95,619.00,624.75,624.55,9235529,5806556164.05,208861,SHRIRAM_FINANCE
8-Apr-25,623.70,648.30,623.05,646.00,641.45,10415072,6674043365.60,181964,SHRIRAM_FINANCE
7-Apr-25,596.00,629.95,589.25,619.00,614.00,15188995,9216738996.50,243610,SHRIRAM_FINANCE
4-Apr-25,655.50,665.00,649.50,652.70,653.60,5191619,3405258029.60,111836,SHRIRAM_FINANCE
3-Apr-25,633.00,660.55,632.00,654.10,654.15,3704676,2417465665.20,90494,SHRIRAM_FINANCE
2-Apr-25,640.00,644.00,630.50,640.25,639.40,4387926,2795200093.20,78176,SHRIRAM_FINANCE
1-Apr-25,652.00,653.90,633.90,637.85,637.45,7600903,4879785379.90,137524,SHRIRAM_FINANCE
28-Mar-25,682.00,685.00,650.15,656.25,656.00,6806264,4494368122.65,143261,SHRIRAM_FINANCE
27-Mar-25,670.00,684.40,666.20,682.60,678.50,4628163,3136168851.20,118330,SHRIRAM_FINANCE
26-Mar-25,678.80,680.90,669.25,673.45,672.00,4792266,3234740119.60,109222,SHRIRAM_FINANCE
25-Mar-25,688.00,688.00,667.70,674.50,678.35,5257157,3547444657.90,103521,SHRIRAM_FINANCE
24-Mar-25,677.00,694.90,674.00,680.60,682.00,4983671,3413109009.55,114504,SHRIRAM_FINANCE
21-Mar-25,669.05,679.00,667.65,676.10,676.80,6365496,4286906674.65,100233,SHRIRAM_FINANCE
20-Mar-25,690.00,695.00,665.00,666.30,667.90,8747482,5881867755.10,174271,SHRIRAM_FINANCE
19-Mar-25,645.70,677.60,637.65,667.40,667.95,9823834,6528429055.70,146566,SHRIRAM_FINANCE
18-Mar-25,630.00,645.70,626.05,641.95,642.30,6915463,4418698342.45,107477,SHRIRAM_FINANCE
17-Mar-25,613.40,629.50,613.40,624.00,623.25,4548325,2829222559.35,87310,SHRIRAM_FINANCE
