Date ,OPEN ,HIGH ,LOW ,ltp ,close ,VOLUME ,VALUE ,No_of_trades,stock_name
16-May-25,1043.40,1044.60,1020.30,1024.30,1021.80,1048380,1076214554.10,40109,JSW_STEEL
15-May-25,993.00,1040.60,990.00,1037.00,1038.30,5297654,5418075093.50,135759,JSW_STEEL
14-May-25,995.20,1012.10,987.00,989.70,989.30,1650066,1643370414.40,45556,JSW_STEEL
13-May-25,1005.20,1010.90,988.10,989.40,989.90,934177,928682537.10,35416,JSW_STEEL
12-May-25,973.00,1007.70,969.70,1004.30,1005.20,1335817,1326144079.90,40280,JSW_STEEL
9-May-25,935.00,959.00,935.00,953.70,957.00,1481537,1413698992.90,47389,JSW_STEEL
8-May-25,962.50,969.50,949.00,949.80,953.20,1646385,1575162665.10,52592,JSW_STEEL
7-May-25,957.90,975.00,957.90,966.00,966.10,1014461,982739537.50,34689,JSW_STEEL
6-May-25,960.00,971.90,955.00,963.00,967.50,1462046,1410256590.10,40539,JSW_STEEL
5-May-25,959.80,972.40,952.70,955.20,955.50,1646426,1584666059.80,47398,JSW_STEEL
2-May-25,1021.20,1037.00,948.30,970.00,973.20,7915918,7731506220.60,158550,JSW_STEEL
30-Apr-25,1030.00,1042.30,1021.00,1025.10,1029.80,1755328,1809802545.80,50434,JSW_STEEL
29-Apr-25,1055.00,1061.60,1034.10,1035.80,1035.60,1206750,1263135945.10,46723,JSW_STEEL
28-Apr-25,1021.40,1058.90,1019.20,1058.30,1054.40,1485915,1560606924.20,52873,JSW_STEEL
25-Apr-25,1050.00,1056.90,1017.60,1021.40,1028.40,2784217,2865315600.20,65390,JSW_STEEL
24-Apr-25,1035.50,1047.50,1029.50,1044.00,1044.50,1242921,1292302726.30,41258,JSW_STEEL
23-Apr-25,1051.00,1053.90,1028.50,1035.70,1039.20,893969,928129223.70,38951,JSW_STEEL
22-Apr-25,1060.00,1060.40,1037.00,1044.90,1044.20,2153582,2250565564.70,58416,JSW_STEEL
21-Apr-25,1001.00,1043.80,1000.50,1037.50,1034.00,1345056,1384119645.70,52209,JSW_STEEL
17-Apr-25,996.00,1008.60,987.10,1008.00,1007.20,2074019,2073926043.30,78573,JSW_STEEL
16-Apr-25,1003.00,1015.10,992.10,1010.10,1009.40,1281034,1283137112.70,45113,JSW_STEEL
15-Apr-25,1010.00,1015.70,1002.20,1010.30,1008.00,1287903,1297359568.90,42894,JSW_STEEL
11-Apr-25,972.45,997.00,968.35,992.70,990.25,3641633,3596165854.35,80864,JSW_STEEL
9-Apr-25,945.15,953.40,938.05,950.00,945.55,1773658,1675928844.20,70593,JSW_STEEL
8-Apr-25,949.35,970.45,933.80,956.20,954.60,1717533,1635133684.05,56746,JSW_STEEL
7-Apr-25,906.00,959.00,905.20,930.00,930.30,4581682,4266768990.80,150647,JSW_STEEL
4-Apr-25,1032.30,1038.95,997.85,1008.35,1005.75,3818643,3853101814.75,79057,JSW_STEEL
