Date ,OPEN ,HIGH ,LOW ,ltp ,close ,VOLUME ,VALUE ,No_of_trades,stock_name
16-May-25,1612.60,1612.60,1581.50,1589.40,1589.90,4576751,7283067573.40,132211,INFOSYS_LIMITED
15-May-25,1589.80,1618.60,1571.00,1609.50,1613.00,11151167,17846028418.30,226053,INFOSYS_LIMITED
14-May-25,1574.00,1595.00,1569.50,1592.80,1592.40,4870057,7737687686.00,144908,INFOSYS_LIMITED
13-May-25,1609.00,1612.20,1564.60,1567.90,1568.60,12846210,20292258361.30,335293,INFOSYS_LIMITED
12-May-25,1537.00,1632.00,1532.00,1623.50,1626.90,11372857,18127126262.50,290108,INFOSYS_LIMITED
9-May-25,1500.70,1511.40,1494.10,1507.20,1507.60,4478653,6736782019.20,144158,INFOSYS_LIMITED
8-May-25,1508.00,1516.50,1501.20,1506.00,1511.40,8424409,12710783626.50,217543,INFOSYS_LIMITED
7-May-25,1500.00,1518.80,1496.60,1508.80,1508.30,5691799,8589104210.90,144103,INFOSYS_LIMITED
6-May-25,1506.00,1515.60,1499.10,1511.00,1511.50,4270530,6446698483.90,105354,INFOSYS_LIMITED
5-May-25,1515.00,1523.00,1502.80,1507.00,1508.60,4282493,6466387044.70,130549,INFOSYS_LIMITED
2-May-25,1499.70,1523.20,1496.20,1502.00,1506.80,8733014,13182067260.50,235475,INFOSYS_LIMITED
30-Apr-25,1496.80,1508.80,1482.60,1491.50,1500.10,7704183,11555716056.40,128359,INFOSYS_LIMITED
29-Apr-25,1482.00,1509.80,1474.10,1498.00,1497.50,8056743,12051862382.60,207221,INFOSYS_LIMITED
28-Apr-25,1480.20,1489.60,1465.30,1481.00,1482.10,5886253,8701029482.70,146345,INFOSYS_LIMITED
25-Apr-25,1475.50,1501.70,1463.50,1480.00,1480.20,8329979,12365598001.80,199876,INFOSYS_LIMITED
24-Apr-25,1469.90,1482.90,1461.50,1473.00,1471.40,7114292,10469560317.20,175991,INFOSYS_LIMITED
23-Apr-25,1446.00,1487.80,1439.60,1476.20,1474.90,11136642,16387181464.50,249560,INFOSYS_LIMITED
22-Apr-25,1440.00,1440.00,1419.30,1423.00,1422.80,9399738,13395956021.30,245817,INFOSYS_LIMITED
21-Apr-25,1410.00,1471.80,1410.00,1449.00,1451.00,15648970,22729378761.10,271048,INFOSYS_LIMITED
17-Apr-25,1398.00,1429.80,1378.30,1427.70,1419.50,14264227,19972355994.00,349779,INFOSYS_LIMITED
16-Apr-25,1425.00,1427.50,1396.80,1412.20,1413.10,12022740,16950524011.30,331555,INFOSYS_LIMITED
15-Apr-25,1445.60,1447.70,1409.00,1430.40,1426.00,10178530,14497963348.80,258203,INFOSYS_LIMITED
11-Apr-25,1411.25,1438.80,1397.05,1416.80,1409.45,12567440,17821840695.45,262867,INFOSYS_LIMITED
9-Apr-25,1405.05,1409.45,1381.90,1402.00,1403.70,8546854,11933354452.15,220436,INFOSYS_LIMITED
8-Apr-25,1431.00,1456.50,1415.00,1428.00,1428.80,12805001,18384491521.00,254762,INFOSYS_LIMITED
7-Apr-25,1352.00,1405.90,1307.00,1404.90,1396.75,21715252,29646233824.90,445720,INFOSYS_LIMITED
4-Apr-25,1460.50,1472.00,1448.00,1456.10,1451.65,9590254,13988855633.45,245192,INFOSYS_LIMITED
