Date ,OPEN ,HIGH ,LOW ,ltp ,close ,VOLUME ,VALUE ,No_of_trades,stock_name
16-May-25,1691.90,1693.50,1658.00,1661.00,1659.90,2586263,4311543189.20,99649,HCL_TECHNOLOGIES
15-May-25,1650.00,1702.60,1625.00,1692.00,1696.00,4961582,8293207213.50,184925,HCL_TECHNOLOGIES
14-May-25,1630.00,1642.30,1617.00,1641.30,1637.70,1569126,2562050834.10,83272,HCL_TECHNOLOGIES
13-May-25,1685.00,1688.10,1615.20,1619.90,1619.60,3118470,5092158125.30,119292,HCL_TECHNOLOGIES
12-May-25,1598.80,1675.00,1594.00,1663.00,1670.30,4028207,6651610416.00,133071,HCL_TECHNOLOGIES
9-May-25,1566.00,1577.70,1557.30,1572.50,1569.40,2035161,3194047826.10,85397,HCL_TECHNOLOGIES
8-May-25,1561.90,1598.00,1555.80,1572.10,1580.70,2789018,4411248439.00,98946,HCL_TECHNOLOGIES
7-May-25,1552.00,1578.40,1545.00,1565.30,1563.30,5469936,8547406780.50,128223,HCL_TECHNOLOGIES
6-May-25,1576.80,1583.80,1565.10,1570.00,1579.10,2055057,3236859717.60,86060,HCL_TECHNOLOGIES
5-May-25,1580.00,1597.70,1563.30,1569.00,1568.60,1012225,1596953874.30,59357,HCL_TECHNOLOGIES
2-May-25,1567.00,1581.00,1557.10,1572.40,1576.50,1895904,2983089247.20,93227,HCL_TECHNOLOGIES
30-Apr-25,1571.00,1587.90,1554.00,1556.50,1567.50,3682256,5780840520.30,129457,HCL_TECHNOLOGIES
29-Apr-25,1555.00,1580.80,1548.10,1570.00,1569.00,2231069,3490564859.90,89109,HCL_TECHNOLOGIES
28-Apr-25,1565.00,1569.40,1537.10,1550.00,1549.30,2618810,4056115149.70,107060,HCL_TECHNOLOGIES
25-Apr-25,1590.00,1618.00,1568.10,1576.40,1578.20,3800415,6019563732.60,118647,HCL_TECHNOLOGIES
24-Apr-25,1595.00,1603.30,1576.10,1590.30,1586.70,3193118,5070521059.30,123766,HCL_TECHNOLOGIES
23-Apr-25,1555.00,1600.00,1543.70,1594.40,1594.00,13293318,21046993578.60,329993,HCL_TECHNOLOGIES
22-Apr-25,1490.00,1499.90,1464.50,1485.90,1479.90,2608145,3861596452.80,95264,HCL_TECHNOLOGIES
21-Apr-25,1435.00,1499.00,1430.00,1478.00,1482.00,2840104,4186173438.60,97809,HCL_TECHNOLOGIES
17-Apr-25,1420.00,1442.10,1384.00,1439.00,1438.00,3549969,5003973557.20,168356,HCL_TECHNOLOGIES
16-Apr-25,1415.00,1436.10,1405.50,1434.00,1431.70,2553111,3636487592.80,93892,HCL_TECHNOLOGIES
15-Apr-25,1420.00,1428.80,1406.00,1426.00,1426.50,3265147,4636787070.10,94027,HCL_TECHNOLOGIES
11-Apr-25,1360.00,1425.00,1360.00,1393.50,1390.55,4859622,6802145997.60,185045,HCL_TECHNOLOGIES
9-Apr-25,1380.65,1388.70,1357.05,1380.70,1380.00,3306801,4555685085.35,135840,HCL_TECHNOLOGIES
8-Apr-25,1380.00,1424.25,1372.00,1402.90,1403.35,3938359,5498293565.60,147712,HCL_TECHNOLOGIES
7-Apr-25,1345.00,1383.75,1302.75,1377.95,1374.10,6484139,8698642588.85,266089,HCL_TECHNOLOGIES
4-Apr-25,1449.00,1456.20,1419.10,1427.00,1422.10,4421312,6338587669.20,196195,HCL_TECHNOLOGIES
3-Apr-25,1500.00,1500.00,1465.00,1468.40,1470.10,3966161,5859047298.70,214252,HCL_TECHNOLOGIES
2-Apr-25,1515.00,1538.55,1506.40,1531.00,1527.55,3167863,4828663976.40,108710,HCL_TECHNOLOGIES
1-Apr-25,1577.00,1585.00,1526.10,1534.50,1530.35,4126827,6393517652.35,191916,HCL_TECHNOLOGIES
28-Mar-25,1616.10,1625.55,1581.60,1591.00,1592.50,2211077,3544737955.45,80891,HCL_TECHNOLOGIES
27-Mar-25,1625.65,1645.00,1613.55,1637.25,1630.15,3383080,5502369601.75,112017,HCL_TECHNOLOGIES
26-Mar-25,1624.90,1644.95,1622.00,1625.65,1633.40,3096513,5061183927.45,106271,HCL_TECHNOLOGIES
25-Mar-25,1622.00,1658.95,1618.95,1621.05,1624.90,4906013,8013690211.65,175718,HCL_TECHNOLOGIES
24-Mar-25,1591.00,1610.90,1560.00,1602.85,1604.15,2487843,3956391435.80,100840,HCL_TECHNOLOGIES
21-Mar-25,1535.10,1592.05,1521.50,1565.00,1566.70,8109210,12712307970.70,157465,HCL_TECHNOLOGIES
20-Mar-25,1547.85,1582.10,1547.05,1555.00,1562.00,4608677,7229982395.50,183935,HCL_TECHNOLOGIES
19-Mar-25,1558.50,1561.35,1525.10,1547.00,1544.45,4522829,6947916763.10,163793,HCL_TECHNOLOGIES
18-Mar-25,1545.15,1560.95,1530.65,1560.95,1558.20,2930865,4551948771.15,110392,HCL_TECHNOLOGIES
17-Mar-25,1528.00,1547.55,1519.05,1545.00,1545.15,2029100,3110221525.20,102852,HCL_TECHNOLOGIES
13-Mar-25,1540.60,1547.95,1529.15,1532.00,1534.75,1983351,3046509090.20,109012,HCL_TECHNOLOGIES
12-Mar-25,1556.00,1565.00,1507.10,1537.60,1540.60,3113860,4753043277.90,127422,HCL_TECHNOLOGIES
11-Mar-25,1529.95,1573.95,1522.60,1567.00,1567.85,1846190,2867523976.00,116653,HCL_TECHNOLOGIES
10-Mar-25,1557.00,1572.45,1547.00,1549.80,1549.30,1855766,2891926346.10,111573,HCL_TECHNOLOGIES
7-Mar-25,1582.65,1587.00,1555.60,1558.60,1557.95,2091986,3272406893.85,117645,HCL_TECHNOLOGIES
6-Mar-25,1580.00,1594.70,1575.15,1582.65,1585.45,2011489,3187093190.95,107474,HCL_TECHNOLOGIES
5-Mar-25,1532.00,1581.40,1531.05,1573.00,1572.95,3112003,4884879584.80,132849,HCL_TECHNOLOGIES
4-Mar-25,1560.00,1560.00,1523.00,1536.50,1535.50,3246644,4998968940.20,143743,HCL_TECHNOLOGIES
3-Mar-25,1575.05,1603.40,1568.45,1573.80,1572.40,1784684,2818878989.70,113522,HCL_TECHNOLOGIES
28-Feb-25,1612.00,1614.95,1562.45,1576.70,1575.05,4910121,7731460507.50,257806,HCL_TECHNOLOGIES
27-Feb-25,1620.00,1660.00,1615.20,1621.00,1629.20,2266866,3686219278.00,123330,HCL_TECHNOLOGIES
25-Feb-25,1636.00,1651.95,1631.25,1635.10,1636.10,1951519,3202123013.90,102638,HCL_TECHNOLOGIES
24-Feb-25,1685.00,1690.00,1637.60,1642.75,1644.05,4455420,7349803888.05,253025,HCL_TECHNOLOGIES
21-Feb-25,1690.00,1704.15,1685.15,1695.65,1700.70,1222563,2074229080.55,113308,HCL_TECHNOLOGIES
20-Feb-25,1705.20,1714.55,1683.55,1690.90,1687.55,1681532,2852128062.35,127006,HCL_TECHNOLOGIES
19-Feb-25,1723.20,1731.60,1703.45,1710.00,1712.30,1294110,2218347233.65,76094,HCL_TECHNOLOGIES
18-Feb-25,1706.00,1728.50,1701.25,1725.00,1725.50,1511900,2599301789.60,81098,HCL_TECHNOLOGIES
17-Feb-25,1711.25,1720.15,1694.10,1709.60,1709.90,1127023,1924733916.90,126871,HCL_TECHNOLOGIES
14-Feb-25,1711.00,1723.40,1699.95,1711.60,1711.25,1460459,2496148466.25,80952,HCL_TECHNOLOGIES
13-Feb-25,1712.00,1729.95,1700.25,1704.80,1703.10,1838463,3148828257.85,91677,HCL_TECHNOLOGIES
12-Feb-25,1723.90,1742.40,1699.15,1716.05,1717.30,2214307,3803306655.25,142727,HCL_TECHNOLOGIES
11-Feb-25,1742.80,1749.00,1715.00,1723.90,1723.20,1702553,2950109312.05,90830,HCL_TECHNOLOGIES
10-Feb-25,1723.95,1740.00,1712.10,1734.00,1733.85,1823071,3151248711.70,68108,HCL_TECHNOLOGIES
7-Feb-25,1723.15,1731.00,1700.65,1724.00,1725.65,2428098,4178325236.50,76538,HCL_TECHNOLOGIES
6-Feb-25,1723.85,1728.45,1712.85,1724.10,1723.50,2057798,3538821096.40,135442,HCL_TECHNOLOGIES
5-Feb-25,1730.00,1746.80,1710.00,1712.00,1712.85,2681942,4608759100.85,106585,HCL_TECHNOLOGIES
4-Feb-25,1695.10,1735.90,1692.05,1732.45,1732.55,3647768,6247459080.90,159207,HCL_TECHNOLOGIES
3-Feb-25,1665.00,1700.60,1661.50,1693.00,1692.00,2659929,4486418428.45,150634,HCL_TECHNOLOGIES
1-Feb-25,1726.00,1731.95,1688.00,1694.70,1694.00,569018,969808246.15,39652,HCL_TECHNOLOGIES
31-Jan-25,1709.05,1738.20,1709.05,1730.00,1725.45,2033832,3506506163.30,79215,HCL_TECHNOLOGIES
30-Jan-25,1722.00,1732.95,1697.85,1717.90,1713.10,2543744,4366105666.30,125674,HCL_TECHNOLOGIES
29-Jan-25,1696.00,1724.10,1696.00,1720.65,1719.00,3733620,6404245749.20,117810,HCL_TECHNOLOGIES
28-Jan-25,1711.95,1730.50,1691.00,1694.50,1693.25,5079829,8675376616.75,194141,HCL_TECHNOLOGIES
27-Jan-25,1775.00,1779.75,1707.30,1710.55,1711.95,4174844,7241906323.30,143422,HCL_TECHNOLOGIES
24-Jan-25,1800.00,1829.40,1791.10,1796.00,1792.85,3171259,5718348831.80,98899,HCL_TECHNOLOGIES
23-Jan-25,1817.05,1828.95,1804.20,1806.95,1807.00,3750930,6806227425.65,146553,HCL_TECHNOLOGIES
22-Jan-25,1808.20,1831.45,1804.05,1828.00,1827.70,3009261,5477174600.45,176695,HCL_TECHNOLOGIES
21-Jan-25,1791.40,1820.75,1791.40,1804.05,1802.40,4005357,7232759540.35,200700,HCL_TECHNOLOGIES
20-Jan-25,1790.10,1799.00,1762.60,1794.95,1796.20,3401004,6071550248.55,156557,HCL_TECHNOLOGIES
17-Jan-25,1773.00,1793.10,1750.05,1789.45,1788.90,2424374,4305821954.95,176981,HCL_TECHNOLOGIES
16-Jan-25,1833.00,1837.95,1785.30,1790.15,1792.25,5362008,9633692689.40,260626,HCL_TECHNOLOGIES
15-Jan-25,1836.00,1843.55,1812.55,1825.70,1825.70,3350594,6114802982.45,221654,HCL_TECHNOLOGIES
14-Jan-25,1936.10,1939.00,1797.75,1819.95,1813.55,15819311,28861217134.40,600156,HCL_TECHNOLOGIES
13-Jan-25,1994.90,2012.20,1965.40,1975.00,1989.40,5694121,11344760287.75,180247,HCL_TECHNOLOGIES
10-Jan-25,1936.00,2002.35,1935.25,1997.10,1995.10,4802079,9494250831.60,234018,HCL_TECHNOLOGIES
