Date ,OPEN ,HIGH ,LOW ,ltp ,close ,VOLUME ,VALUE ,No_of_trades,stock_name
16-May-25,2529,2584.2,2516.2,2551,2555,1641135,4194542096,64469,ADANIENT
15-May-25,2463.4,2526.8,2450.7,2519,2520,1554801,3886046497,106591,ADANIENT
14-May-25,2444.9,2481.9,2430.1,2463,2461.9,774441,1908934668,46754,ADANIENT
13-May-25,2425,2454.9,2405,2438.2,2441.2,1815179,4411903805,88886,ADANIENT
12-May-25,2350,2433.3,2315,2425,2425.3,2147039,5161686867,89860,ADANIENT
9-May-25,2240,2273.1,2233,2255,2251,1006000,2260839448,54744,ADANIENT
8-May-25,2362,2367.8,2260,2270,2285.3,1380069,3196541647,77928,ADANIENT
7-May-25,2315,2379.5,2315,2349,2353.1,1012640,2381761493,72371,ADANIENT
6-May-25,2454,2463.2,2343.5,2350,2354,1524692,3649927549,76489,ADANIENT
5-May-25,2312.6,2497,2297.8,2465,2455.5,4227194,10302695962,183049,ADANIENT
2-May-25,2349.9,2372.4,2289.4,2290,2294.2,1958739,4553908749,97216,ADANIENT
30-Apr-25,2331.4,2340,2285,2290,2301.3,837464,1937617333,52676,ADANIENT
29-Apr-25,2392,2400,2325.6,2330.5,2330.6,670730,1578759462,43294,ADANIENT
28-Apr-25,2346,2402,2337.6,2369.1,2369.8,681421,1617215137,48214,ADANIENT
25-Apr-25,2450.1,2459.5,2323.5,2346,2354.3,1414809,3342634532,82782,ADANIENT
24-Apr-25,2450,2461.4,2425.1,2441,2442.5,596696,1456913025,45640,ADANIENT
23-Apr-25,2460,2473.8,2421.2,2446,2453.6,672262,1645817832,44335,ADANIENT
22-Apr-25,2458.9,2483.4,2441,2442.9,2445.5,766567,1887664919,45565,ADANIENT
21-Apr-25,2426.1,2464.9,2395.5,2440,2442.7,782559,1906793922,49163,ADANIENT
17-Apr-25,2418,2448.6,2392,2414.8,2418.1,1054797,2555905276,65818,ADANIENT
16-Apr-25,2400,2428,2382.9,2414.1,2415.6,889949,2140433980,49754,ADANIENT
15-Apr-25,2375,2440,2359,2415.9,2418.2,1145125,2759803466,64533,ADANIENT
11-Apr-25,2303.05,2343.5,2281,2318.75,2321.4,981463,2274474105,61931,ADANIENT
9-Apr-25,2265.7,2279.55,2215.2,2243.45,2236.9,1001633,2243351291,56281,ADANIENT
8-Apr-25,2270,2301,2225,2288.95,2285.7,1224362,2783476132,61791,ADANIENT
7-Apr-25,2150.05,2239,2145,2222.9,2212.7,1567177,3440840019,91075,ADANIENT
4-Apr-25,2394.95,2410.05,2315.5,2336.3,2334.65,1219733,2859260997,68843,ADANIENT
3-Apr-25,2339.75,2429.9,2339.7,2414,2410.8,1023200,2459714750,59356,ADANIENT
2-Apr-25,2339.75,2378.85,2314.55,2369,2369.4,573928,1350273184,44789,ADANIENT
1-Apr-25,2312,2358.95,2301,2340,2335.25,501942,1172061739,38905,ADANIENT
28-Mar-25,2376,2386.95,2293.7,2316.65,2315.8,1838836,4285704794,70667,ADANIENT
27-Mar-25,2310,2373.9,2291.6,2363,2363.35,1696042,3955617248,81185,ADANIENT
26-Mar-25,2324.9,2359.85,2308.05,2314,2312.6,1078870,2516760396,58779,ADANIENT
25-Mar-25,2385,2387.65,2315.1,2319.5,2320.35,763065,1784970697,46534,ADANIENT
24-Mar-25,2370,2395,2361.1,2370,2368.7,1010184,2400395656,39593,ADANIENT
21-Mar-25,2343.8,2389.55,2338,2365,2362.8,1101418,2605722416,55299,ADANIENT
20-Mar-25,2348,2348,2299,2338.05,2339.3,2587051,6027857218,55254,ADANIENT
19-Mar-25,2319.95,2342,2311.05,2316.9,2318.65,1030345,2395219526,42002,ADANIENT
18-Mar-25,2274,2314.2,2259.75,2304.55,2308.5,878007,2011678786,47968,ADANIENT
17-Mar-25,2200,2286.9,2198,2251,2252.7,927737,2092713952,52613,ADANIENT
13-Mar-25,2249,2273,2215.6,2222.45,2221.1,750310,1679115282,52311,ADANIENT
12-Mar-25,2270,2280,2180.95,2236,2241.8,1049076,2340166134,56794,ADANIENT
11-Mar-25,2223.15,2267.85,2208.3,2252.65,2250.6,947079,2132056208,54661,ADANIENT
10-Mar-25,2245,2288,2220,2224.4,2228.3,940113,2122933083,57381,ADANIENT
7-Mar-25,2249.95,2267.65,2227,2249.5,2247.5,818806,1840625572,44934,ADANIENT
6-Mar-25,2260,2268.9,2226.15,2251,2252.85,890270,2003926698,81763,ADANIENT
5-Mar-25,2153.95,2258.4,2148.05,2242,2245.85,1370106,3041080723,81480,ADANIENT
4-Mar-25,2085.1,2154,2080,2147.6,2144.8,852978,1820174527,56864,ADANIENT
3-Mar-25,2109,2127.25,2026.55,2122,2117.1,1592611,3310969100,105782,ADANIENT
28-Feb-25,2107,2111.35,2072,2097.55,2096,2373922,4970620201,99109,ADANIENT
27-Feb-25,2143.75,2149.1,2102.5,2108,2110.95,941950,1999378621,63169,ADANIENT
25-Feb-25,2115.15,2158.3,2102,2130,2129.85,802131,1714598344,56102,ADANIENT
24-Feb-25,2128.95,2138.5,2096.7,2114.9,2115.15,1032294,2184557734,73399,ADANIENT
21-Feb-25,2190.45,2199.6,2116.85,2125,2133.1,1540308,3315117241,85375,ADANIENT
20-Feb-25,2180.8,2216.35,2156.8,2178,2179,1086670,2377174268,74127,ADANIENT
19-Feb-25,2166,2219.4,2127,2177,2180.8,1203163,2631929703,77627,ADANIENT
18-Feb-25,2240,2240,2166.05,2213.05,2220.3,1138090,2503016206,75933,ADANIENT
17-Feb-25,2152.65,2240.4,2110.65,2237.3,2223.7,1400160,3053075122,101955,ADANIENT
14-Feb-25,2245.7,2249.3,2124.55,2149,2152.65,2550043,5542334588,151036,ADANIENT
13-Feb-25,2354,2372.75,2233.4,2237.45,2244.7,2551940,5859773361,133317,ADANIENT
12-Feb-25,2325,2378.45,2281,2357,2353.45,1933098,4504188677,117486,ADANIENT
11-Feb-25,2312,2397,2306,2321,2321.75,4895456,11537830169,217468,ADANIENT
10-Feb-25,2350,2350.95,2280.1,2287,2290.8,739708,1701300256,48267,ADANIENT
7-Feb-25,2312.45,2374.9,2307.35,2340,2338.8,892900,2090022373,65292,ADANIENT
6-Feb-25,2340,2340,2298.2,2309,2312.45,680544,1574735886,56800,ADANIENT
5-Feb-25,2314.95,2349.4,2309.05,2326.8,2324.6,560940,1304521650,43537,ADANIENT
4-Feb-25,2278.9,2312,2267.55,2303.25,2301.5,691187,1586456760,55343,ADANIENT
3-Feb-25,2266.75,2279,2213.9,2266.9,2261.85,824942,1854142528,63131,ADANIENT
1-Feb-25,2297,2351.45,2237.55,2269.95,2270,987362,2262038364,60333,ADANIENT
31-Jan-25,2238.85,2314.95,2213.75,2297,2287.8,2013345,4592396053,96876,ADANIENT
30-Jan-25,2325,2351.5,2201.3,2247.9,2252.6,2601625,5900314531,146148,ADANIENT
29-Jan-25,2297,2326.25,2282.6,2321.8,2318.6,785220,1815153515,54577,ADANIENT
28-Jan-25,2274.2,2315.85,2242,2293.5,2286.05,966497,2204256355,68907,ADANIENT
27-Jan-25,2310.05,2318.1,2250.05,2259.05,2259.7,1032995,2359276146,70412,ADANIENT
24-Jan-25,2387.75,2406,2299.4,2314.05,2315.1,1388583,3263239950,82631,ADANIENT
23-Jan-25,2383,2405.15,2355,2376.3,2385,826721,1970468166,57688,ADANIENT
22-Jan-25,2399,2399,2325.15,2377,2376.55,1147334,2696281356,70492,ADANIENT
21-Jan-25,2441.75,2441.75,2373.65,2375,2384.3,1206512,2894294831,75686,ADANIENT
20-Jan-25,2413.75,2454,2390,2434.1,2442.8,1039435,2520475244,62157,ADANIENT
17-Jan-25,2450,2450,2380.05,2399.5,2399.8,1122205,2697955309,72852,ADANIENT
16-Jan-25,2500,2570,2418.85,2433,2427.85,2841803,6994928383,169165,ADANIENT
15-Jan-25,2399,2421.95,2372.65,2377.7,2388.15,1421437,3403067723,89565,ADANIENT
14-Jan-25,2241.5,2422.9,2241.5,2382,2380.55,4120705,9768856958,239191,ADANIENT
13-Jan-25,2365,2365,2216.9,2227,2225.15,1559903,3557936654,104906,ADANIENT
10-Jan-25,2480,2484.6,2368.25,2380.1,2374.4,1418808,3415226216,108945,ADANIENT
9-Jan-25,2517,2517.55,2469.5,2484.85,2477.9,705838,1755847995,60127,ADANIENT
8-Jan-25,2520.55,2530,2490,2511.2,2515.25,879641,2207138297,74141,ADANIENT
7-Jan-25,2474.65,2525,2474.65,2524.8,2520.55,1019131,2558610625,69952,ADANIENT
6-Jan-25,2557.65,2568.85,2463.5,2472,2474.45,1121398,2800436508,88877,ADANIENT
3-Jan-25,2580,2619,2556.6,2562,2564.6,932795,2415157562,52144,ADANIENT
2-Jan-25,2565.7,2602,2537,2587.85,2597.7,1167236,2999670039,73015,ADANIENT
1-Jan-25,2536,2644.2,2518.25,2545.9,2554.85,2875721,7365624005,140672,ADANIENT
31-Dec-24,2575,2577.75,2507.45,2530,2528.65,2745674,6949698942,124232,ADANIENT
30-Dec-24,2425,2610,2421.95,2585,2592.35,7825097,19946699899,338992,ADANIENT
