Date ,OPEN ,HIGH ,LOW ,ltp ,close ,VOLUME ,VALUE ,No_of_trades,stock_name
16-May-25,1834.00,1834.00,1810.10,1814.40,1814.00,100662047,182719665612.80,286997,BHART_AIRTEL
15-May-25,1849.90,1869.90,1825.00,1863.10,1867.20,8788351,16254270538.10,195431,BHART_AIRTEL
14-May-25,1830.00,1870.70,1820.20,1837.90,1834.20,7401614,13644025354.70,226624,BHART_AIRTEL
13-May-25,1870.00,1883.70,1816.60,1824.50,1820.60,8817763,16171933283.30,282085,BHART_AIRTEL
12-May-25,1868.90,1883.40,1854.00,1873.00,1870.80,3936019,7358980437.00,134363,BHART_AIRTEL
9-May-25,1855.00,1871.10,1836.50,1850.00,1848.40,3686209,6815420471.70,142316,BHART_AIRTEL
8-May-25,1897.00,1905.80,1862.40,1864.50,1874.90,5500724,10343102911.10,188110,BHART_AIRTEL
7-May-25,1901.00,1917.00,1885.50,1892.70,1896.80,5554616,10548724277.00,184822,BHART_AIRTEL
6-May-25,1888.30,1912.00,1882.60,1896.00,1901.00,8597920,16331996371.70,200749,BHART_AIRTEL
5-May-25,1868.00,1873.50,1849.20,1866.00,1866.00,3548839,6616547877.00,103413,BHART_AIRTEL
2-May-25,1852.00,1883.60,1832.10,1849.00,1851.90,5528529,10255209665.90,181226,BHART_AIRTEL
30-Apr-25,1837.00,1876.90,1827.00,1854.80,1864.50,9139821,16951167803.70,152336,BHART_AIRTEL
29-Apr-25,1823.70,1847.80,1817.60,1827.20,1823.80,4684155,8569695123.70,153385,BHART_AIRTEL
28-Apr-25,1836.00,1838.90,1813.40,1820.30,1821.80,3301891,6017036292.30,100779,BHART_AIRTEL
25-Apr-25,1846.70,1861.70,1806.00,1815.00,1817.20,4570083,8330254030.30,123799,BHART_AIRTEL
24-Apr-25,1874.50,1877.80,1839.50,1846.10,1845.60,5180688,9581534808.10,136668,BHART_AIRTEL
23-Apr-25,1867.00,1885.90,1836.10,1869.90,1881.60,6855027,12761537178.80,149770,BHART_AIRTEL
22-Apr-25,1888.00,1888.00,1836.80,1848.20,1852.20,6155127,11426950907.90,196921,BHART_AIRTEL
21-Apr-25,1898.40,1904.30,1868.60,1884.00,1883.40,3501123,6585758282.30,154074,BHART_AIRTEL
17-Apr-25,1834.00,1897.70,1825.70,1882.90,1889.10,10894325,20336174780.80,285724,BHART_AIRTEL
16-Apr-25,1802.40,1826.50,1794.10,1821.00,1822.60,6180958,11190947200.50,169343,BHART_AIRTEL
15-Apr-25,1808.20,1820.00,1781.10,1798.00,1798.80,10313411,18563102108.70,225430,BHART_AIRTEL
11-Apr-25,1760.00,1767.00,1732.35,1760.60,1756.60,8340002,14647837496.05,240119,BHART_AIRTEL
9-Apr-25,1719.65,1726.85,1711.60,1715.10,1715.55,5600666,9621435360.40,166612,BHART_AIRTEL
8-Apr-25,1720.70,1742.30,1706.80,1721.35,1720.40,7206935,12421775636.65,251891,BHART_AIRTEL
