Date ,OPEN ,HIGH ,LOW ,ltp ,close ,VOLUME ,VALUE ,No_of_trades,stock_name
16-May-25,2360.00,2387.00,2349.00,2380.00,2381.40,1473000,3483386516.00,68020,HUL
15-May-25,2351.60,2369.90,2340.00,2355.00,2355.20,3236681,7622408947.00,145637,HUL
14-May-25,2370.00,2370.00,2338.50,2351.70,2350.50,1568111,3682482876.00,89391,HUL
13-May-25,2375.60,2398.00,2352.80,2359.70,2360.00,1929665,4564943492.00,102660,HUL
12-May-25,2360.00,2387.00,2346.10,2381.70,2382.50,1274873,3031275468.00,61649,HUL
9-May-25,2330.00,2342.70,2302.30,2336.00,2332.90,1805685,4199687092.00,99944,HUL
8-May-25,2361.70,2371.90,2341.00,2346.80,2354.90,2323073,5471266856.00,115982,HUL
7-May-25,2369.00,2386.90,2355.30,2367.10,2370.80,1610400,3822055801.00,69587,HUL
6-May-25,2340.20,2390.10,2340.20,2381.60,2381.80,1888125,4482731038.00,98625,HUL
5-May-25,2324.10,2354.90,2319.10,2346.50,2348.60,2074103,4865631673.00,77265,HUL
2-May-25,2334.10,2345.00,2310.00,2318.60,2323.90,1953078,4542956706.00,82367,HUL
30-Apr-25,2320.00,2352.50,2316.00,2335.50,2342.10,2083807,4880621395.00,133969,HUL
29-Apr-25,2328.00,2332.50,2312.60,2325.00,2321.70,1896387,4404947519.00,76093,HUL
28-Apr-25,2345.00,2349.00,2315.00,2317.60,2318.60,1555660,3617715984.00,77606,HUL
25-Apr-25,2331.90,2341.90,2294.40,2328.10,2332.20,2859858,6620321628.00,167193,HUL
24-Apr-25,2423.80,2487.40,2317.10,2324.00,2325.30,7065430,16658408484.00,291862,HUL
23-Apr-25,2410.00,2438.00,2393.40,2422.00,2423.80,2226066,5386401196.00,107014,HUL
22-Apr-25,2370.00,2406.00,2355.10,2403.00,2398.70,2352346,5611821276.00,108902,HUL
21-Apr-25,2368.10,2372.40,2348.80,2352.00,2351.00,1478430,3480657060.00,95682,HUL
17-Apr-25,2357.10,2379.90,2343.10,2372.50,2375.00,1962402,4641234269.00,123489,HUL
16-Apr-25,2351.00,2376.00,2351.00,2364.50,2366.60,1131979,2677007573.00,58736,HUL
15-Apr-25,2400.00,2400.00,2345.20,2368.00,2361.50,3042779,7183724031.00,102995,HUL
11-Apr-25,2394.60,2394.85,2344.35,2362.10,2366.15,3836083,9062473925.00,150510,HUL
9-Apr-25,2293.95,2354.15,2289.50,2349.00,2350.00,2989089,6998787700.00,138810,HUL
8-Apr-25,2268.30,2306.20,2252.35,2293.95,2289.25,2774874,6341793093.00,145572,HUL
7-Apr-25,2150.00,2261.60,2150.00,2250.00,2249.40,3435185,7675370703.00,194418,HUL
4-Apr-25,2230.00,2267.05,2222.00,2243.35,2244.55,1120226,2515030830.00,61995,HUL
3-Apr-25,2225.45,2252.90,2220.60,2241.65,2244.55,1310088,2935218324.00,73387,HUL
2-Apr-25,2243.70,2243.70,2190.05,2237.00,2237.90,1351493,3007727207.00,73173,HUL
1-Apr-25,2259.00,2284.65,2220.00,2237.00,2233.85,2495962,5595842113.00,107898,HUL
28-Mar-25,2247.00,2296.00,2240.30,2257.85,2258.85,2280152,5173964116.00,98348,HUL
27-Mar-25,2244.20,2260.90,2200.00,2243.85,2244.65,3752627,8425874289.00,105998,HUL
26-Mar-25,2272.00,2279.90,2237.80,2246.30,2245.95,1416907,3200333406.00,96908,HUL
25-Mar-25,2250.75,2292.00,2243.35,2264.70,2271.30,2229340,5063505026.00,113061,HUL
24-Mar-25,2250.25,2266.00,2241.00,2265.15,2256.20,1454404,3273876899.00,66657,HUL
21-Mar-25,2245.00,2255.20,2225.80,2247.50,2246.20,2152415,4830600493.00,89511,HUL
20-Mar-25,2203.90,2248.90,2188.45,2239.45,2242.40,1426689,3183821439.00,75743,HUL
19-Mar-25,2207.00,2212.85,2193.45,2198.95,2200.05,1341405,2952352215.00,68294,HUL
18-Mar-25,2189.65,2215.00,2175.00,2204.90,2201.40,1475585,3247633509.00,74920,HUL
17-Mar-25,2161.00,2195.45,2156.50,2172.50,2171.25,1111886,2411964953.00,77099,HUL
13-Mar-25,2185.00,2209.95,2164.45,2177.00,2174.80,1845629,4033679412.00,97573,HUL
12-Mar-25,2217.35,2229.95,2185.00,2194.65,2192.90,1526212,3372315448.00,73258,HUL
11-Mar-25,2240.00,2262.45,2211.25,2220.00,2216.95,1325891,2966434804.00,94027,HUL
10-Mar-25,2208.00,2267.15,2194.65,2246.50,2247.75,1242387,2794766543.00,100482,HUL
7-Mar-25,2226.70,2226.70,2189.20,2207.95,2204.55,1738356,3828688639.00,56239,HUL
6-Mar-25,2175.00,2229.80,2163.75,2221.85,2218.95,1856868,4093724918.00,118991,HUL
5-Mar-25,2152.00,2191.90,2150.00,2175.00,2170.45,1145673,2490948850.00,74606,HUL
4-Mar-25,2179.95,2180.00,2136.00,2152.50,2157.35,1800330,3879276706.00,93829,HUL
3-Mar-25,2199.00,2199.00,2158.50,2180.00,2176.85,1306470,2836946795.00,87808,HUL
28-Feb-25,2245.05,2249.60,2185.85,2196.00,2190.25,3683249,8101755688.00,124357,HUL
27-Feb-25,2269.65,2269.65,2233.10,2243.55,2244.95,1699658,3821812212.00,93485,HUL
25-Feb-25,2243.00,2269.60,2237.95,2254.00,2259.30,1988040,4485870450.00,101737,HUL
24-Feb-25,2230.00,2251.00,2218.80,2241.20,2241.45,1627949,3640425366.00,102226,HUL
21-Feb-25,2248.05,2253.55,2226.40,2238.50,2241.65,1781509,3988450489.00,107600,HUL
20-Feb-25,2250.40,2254.45,2226.50,2247.55,2248.05,2206196,4947912584.00,121656,HUL
19-Feb-25,2298.75,2305.70,2248.00,2250.00,2250.40,1521343,3437076585.00,119114,HUL
18-Feb-25,2329.40,2338.55,2288.00,2297.50,2296.00,1035705,2387257469.00,74925,HUL
17-Feb-25,2318.35,2336.00,2300.00,2326.00,2329.40,1409168,3269794823.00,81591,HUL
14-Feb-25,2322.00,2366.00,2313.40,2317.80,2318.35,1135380,2649076295.00,82057,HUL
13-Feb-25,2330.10,2345.60,2313.35,2319.60,2321.50,1334967,3108334190.00,82367,HUL
12-Feb-25,2325.70,2339.90,2305.10,2331.00,2332.50,1341909,3121517789.00,78808,HUL
11-Feb-25,2371.00,2377.95,2296.55,2321.90,2315.25,1389260,3232657580.00,116191,HUL
10-Feb-25,2370.90,2398.00,2352.05,2356.50,2361.45,1326354,3144355523.00,76507,HUL
7-Feb-25,2380.00,2381.95,2336.10,2364.30,2363.85,855602,2019196871.00,63809,HUL
6-Feb-25,2400.00,2408.95,2360.30,2375.50,2372.70,1132113,2693270251.00,80657,HUL
5-Feb-25,2453.00,2453.00,2387.00,2392.85,2391.05,1357416,3266742267.00,86373,HUL
4-Feb-25,2450.00,2450.00,2402.85,2433.00,2438.05,1992474,4837851363.00,111192,HUL
3-Feb-25,2505.00,2520.00,2416.50,2445.30,2441.95,2528480,6204847462.00,142095,HUL
1-Feb-25,2475.00,2602.00,2435.15,2505.00,2506.05,2970999,7534758009.00,192649,HUL
31-Jan-25,2401.50,2479.00,2401.50,2473.65,2468.80,2116148,5189670977.00,138898,HUL
30-Jan-25,2384.00,2425.00,2384.00,2420.00,2408.75,1419960,3411412576.00,82042,HUL
29-Jan-25,2385.15,2396.00,2364.00,2386.50,2383.95,699576,1666986082.00,70138,HUL
28-Jan-25,2401.00,2407.00,2379.45,2383.05,2388.85,1892156,4526694538.00,102612,HUL
27-Jan-25,2365.00,2409.70,2361.15,2391.05,2392.85,2477358,5926571143.00,126605,HUL
24-Jan-25,2332.85,2380.80,2323.00,2380.10,2368.10,1688664,3983465854.00,90539,HUL
23-Jan-25,2315.00,2341.30,2253.85,2325.90,2321.70,3408925,7873633934.00,198293,HUL
22-Jan-25,2342.55,2362.00,2332.20,2340.00,2342.95,2658047,6234358198.00,112774,HUL
21-Jan-25,2353.50,2377.30,2332.45,2344.15,2340.50,1842885,4336026636.00,113425,HUL
20-Jan-25,2356.45,2368.00,2335.65,2345.55,2345.20,1382273,3256489786.00,67506,HUL
17-Jan-25,2350.00,2379.30,2343.00,2362.00,2354.00,1333005,3152760451.00,68739,HUL
16-Jan-25,2376.95,2380.00,2326.05,2349.50,2345.00,2762596,6475344420.00,128063,HUL
15-Jan-25,2373.90,2384.90,2350.10,2376.80,2373.00,1215150,2875284856.00,92165,HUL
14-Jan-25,2465.00,2468.00,2364.10,2369.00,2367.95,2052741,4915846431.00,157018,HUL
13-Jan-25,2417.05,2460.50,2409.05,2445.10,2451.00,2595013,6338474539.00,104958,HUL
10-Jan-25,2435.40,2456.00,2413.80,2440.00,2442.05,1651911,4034881031.00,97429,HUL
9-Jan-25,2405.05,2473.65,2386.40,2440.00,2435.40,2425267,5928073051.00,192379,HUL
8-Jan-25,2391.00,2409.00,2368.00,2400.00,2401.00,953351,2281990631.00,130405,HUL
7-Jan-25,2377.15,2402.25,2375.25,2390.25,2390.80,922768,2204302407.00,71444,HUL
6-Jan-25,2418.00,2418.95,2361.65,2379.65,2376.20,900419,2141189399.00,74651,HUL
3-Jan-25,2381.85,2414.60,2364.80,2403.00,2406.25,1274239,3049814135.00,87897,HUL
2-Jan-25,2330.00,2379.65,2315.50,2368.50,2370.00,1650744,3892688213.00,100398,HUL
1-Jan-25,2325.00,2337.15,2320.25,2324.45,2322.10,559893,1302642477.00,57042,HUL
31-Dec-24,2340.00,2352.65,2323.25,2327.00,2326.85,1878762,4387088011.00,70179,HUL
30-Dec-24,2341.50,2359.15,2325.00,2338.00,2343.50,924180,2162856965.00,74914,HUL
27-Dec-24,2343.00,2345.65,2328.25,2344.00,2341.25,556816,1302513247.00,50788,HUL
26-Dec-24,2332.25,2341.85,2324.70,2329.00,2332.75,1033769,2412364355.00,65903,HUL
24-Dec-24,2331.10,2356.95,2331.10,2333.00,2335.55,683646,1601690436.00,52515,HUL
23-Dec-24,2337.00,2351.75,2315.25,2339.55,2338.90,1066199,2489673240.00,78523,HUL
20-Dec-24,2352.10,2373.50,2324.65,2340.10,2333.90,2069691,4855773159.00,103192,HUL
19-Dec-24,2347.00,2386.95,2336.00,2363.85,2359.85,1655915,3902008201.00,110359,HUL
18-Dec-24,2350.05,2383.00,2350.05,2361.95,2359.20,988403,2338063394.00,67462,HUL
17-Dec-24,2353.35,2380.00,2353.35,2364.00,2363.25,2131569,5041130371.00,131845,HUL
16-Dec-24,2390.30,2393.00,2363.00,2364.00,2366.15,1247552,2956897641.00,89234,HUL
13-Dec-24,2344.95,2394.55,2333.45,2391.25,2390.10,2260902,5359775739.00,128176,HUL
12-Dec-24,2385.05,2399.95,2338.00,2345.90,2344.95,3231056,7609541556.00,159588,HUL
11-Dec-24,2405.00,2409.35,2385.00,2405.00,2401.35,1718225,4122613166.00,77630,HUL
10-Dec-24,2408.70,2413.00,2388.30,2399.45,2397.35,2063838,4949847533.00,96177,HUL
9-Dec-24,2465.00,2476.95,2383.30,2402.00,2400.75,3385021,8119848927.00,175133,HUL
6-Dec-24,2495.00,2495.80,2475.00,2485.00,2483.80,1308086,3247525698.00,82295,HUL
5-Dec-24,2465.60,2515.00,2450.05,2496.00,2494.60,2071795,5156034885.00,144220,HUL
4-Dec-24,2481.10,2493.00,2456.55,2464.90,2464.50,1321495,3273042234.00,96902,HUL
3-Dec-24,2480.00,2491.45,2466.00,2482.00,2482.85,1641588,4070349095.00,96217,HUL
2-Dec-24,2485.00,2490.50,2460.55,2479.00,2479.15,1006993,2494059293.00,87993,HUL
29-Nov-24,2455.10,2507.50,2455.10,2492.00,2496.15,1795164,4479912398.00,156509,HUL
28-Nov-24,2486.00,2539.15,2453.20,2468.40,2462.20,2540530,6305436946.00,142960,HUL
27-Nov-24,2475.15,2492.95,2458.00,2486.65,2486.90,948232,2348813504.00,74848,HUL
26-Nov-24,2486.25,2494.95,2460.40,2478.20,2479.20,982442,2437880751.00,75656,HUL
25-Nov-24,2470.00,2505.70,2457.60,2474.95,2471.45,4368045,10827313208.00,131000,HUL
22-Nov-24,2390.95,2452.10,2377.85,2440.00,2445.25,1696471,4113375805.00,129473,HUL
21-Nov-24,2424.75,2424.75,2376.10,2384.00,2382.80,1291829,3089675258.00,113838,HUL
19-Nov-24,2431.90,2440.20,2405.10,2409.40,2410.35,1133370,2748782384.00,75226,HUL
18-Nov-24,2401.15,2425.00,2375.75,2424.20,2422.90,1374215,3306667092.00,105200,HUL
14-Nov-24,2460.40,2464.70,2383.70,2392.95,2389.20,2443393,5888896810.00,199966,HUL
13-Nov-24,2462.10,2472.80,2450.40,2460.35,2464.95,1262017,3109393672.00,103366,HUL
12-Nov-24,2495.00,2496.95,2456.00,2462.10,2461.50,1624222,4006864964.00,112872,HUL
11-Nov-24,2509.00,2514.90,2475.05,2491.30,2491.05,1175577,2936578625.00,74700,HUL
8-Nov-24,2483.95,2515.25,2467.30,2505.00,2507.70,1700877,4245907079.00,110305,HUL
7-Nov-24,2500.70,2509.90,2466.10,2480.50,2475.50,1322446,3275940282.00,85081,HUL
6-Nov-24,2515.20,2522.10,2495.00,2509.00,2500.70,1219166,3054037452.00,87753,HUL
5-Nov-24,2520.00,2530.25,2507.00,2523.00,2521.35,702046,1767977905.00,60572,HUL
4-Nov-24,2547.00,2547.00,2503.50,2520.00,2524.80,1097260,2766652041.00,93220,HUL
1-Nov-24,2543.95,2545.95,2511.35,2539.00,2537.50,118532,300591045.40,14828,HUL
31-Oct-24,2554.95,2563.50,2524.10,2526.90,2528.25,1901355,4820132911.00,108312,HUL
30-Oct-24,2557.00,2563.30,2533.40,2559.35,2554.95,1200637,3067389206.00,93066,HUL
29-Oct-24,2585.70,2585.70,2536.00,2550.00,2547.65,1695654,4321464692.00,112534,HUL
28-Oct-24,2544.00,2589.60,2520.10,2575.00,2575.80,852829,2190885517.00,72864,HUL
25-Oct-24,2502.30,2540.00,2500.10,2530.30,2528.05,2761166,6964711820.00,196103,HUL
24-Oct-24,2647.00,2647.00,2452.60,2504.75,2505.10,9216267,23079375670.00,404536,HUL
23-Oct-24,2621.00,2693.05,2621.00,2659.35,2659.30,1431962,3821096542.00,90801,HUL
22-Oct-24,2685.10,2710.00,2673.75,2688.95,2681.70,1272253,3420861450.00,92221,HUL
21-Oct-24,2715.00,2738.00,2680.45,2685.40,2693.55,792345,2139574107.00,73712,HUL
18-Oct-24,2738.65,2740.00,2693.45,2722.95,2717.10,1137277,3087197012.00,110294,HUL
17-Oct-24,2779.45,2782.00,2723.45,2738.90,2738.65,1368242,3761480499.00,80116,HUL
16-Oct-24,2789.15,2797.55,2755.60,2777.05,2781.25,1170797,3252978314.00,74497,HUL
15-Oct-24,2793.10,2799.30,2765.25,2789.15,2781.45,1082666,3014714190.00,72874,HUL
14-Oct-24,2791.60,2804.70,2765.00,2792.00,2789.10,874010,2438044733.00,81657,HUL
11-Oct-24,2764.80,2790.00,2737.05,2785.05,2783.20,679307,1881871918.00,57079,HUL
10-Oct-24,2770.00,2787.40,2733.20,2755.00,2754.70,2065078,5674740997.00,117941,HUL
9-Oct-24,2823.40,2825.85,2760.70,2777.80,2768.95,1476282,4119935658.00,107415,HUL
8-Oct-24,2844.00,2886.00,2798.70,2818.00,2818.80,1761488,4990578417.00,115275,HUL
7-Oct-24,2845.00,2866.45,2825.05,2840.00,2833.40,1280975,3636293821.00,106091,HUL
4-Oct-24,2891.00,2914.00,2817.05,2843.10,2848.75,2456486,7043598687.00,169373,HUL
3-Oct-24,2908.75,2923.10,2861.10,2904.35,2893.35,1233447,3574341403.00,102836,HUL
1-Oct-24,2962.70,2962.70,2891.40,2927.50,2923.75,1184642,3462667506.00,87907,HUL
30-Sep-24,2964.20,2997.90,2942.60,2959.40,2958.30,1627702,4821358744.00,108922,HUL
27-Sep-24,2986.10,3030.00,2952.75,2965.00,2966.25,2977081,8879021188.00,158743,HUL
26-Sep-24,2951.10,2992.85,2941.20,2990.90,2986.10,1902889,5640931476.00,93135,HUL
25-Sep-24,2950.55,2960.35,2905.10,2949.05,2948.95,1055354,3094632379.00,73241,HUL
24-Sep-24,3020.00,3020.00,2946.10,2952.65,2950.55,1929308,5737685724.00,122009,HUL
