Date ,OPEN ,HIGH ,LOW ,ltp ,close ,VOLUME ,VALUE ,No_of_trades,stock_name
16-May-25,2333.90,2355.00,2315.00,2353.00,2353.60,785113.00,1837268694.20,54809.00,ASIAN_PAINTS
15-May-25,2285.00,2335.50,2268.00,2331.40,2329.90,1675016.00,3863590864.00,113120.00,ASIAN_PAINTS
14-May-25,2319.00,2319.00,2277.10,2286.00,2282.30,1549845.00,3546048010.40,116059.00,ASIAN_PAINTS
13-May-25,2354.00,2358.00,2315.10,2322.60,2324.60,1220489.00,2842270299.00,81010.00,ASIAN_PAINTS
12-May-25,2330.00,2378.50,2321.00,2339.30,2356.40,940135.00,2216852600.70,47346.00,ASIAN_PAINTS
9-May-25,2246.60,2331.80,2245.00,2307.90,2299.60,1503010.00,3457441372.60,92881.00,ASIAN_PAINTS
8-May-25,2322.00,2349.10,2293.50,2300.00,2302.60,2292261.00,5315292783.00,135625.00,ASIAN_PAINTS
7-May-25,2388.00,2405.70,2318.50,2322.00,2334.10,1711760.00,4043139077.00,109336.00,ASIAN_PAINTS
6-May-25,2442.00,2449.90,2391.10,2414.40,2418.00,702819.00,1696015229.20,43489.00,ASIAN_PAINTS
5-May-25,2423.10,2475.00,2423.10,2441.00,2436.90,1229593.00,3017608685.60,70327.00,ASIAN_PAINTS
2-May-25,2425.00,2444.90,2398.00,2406.00,2409.80,928084.00,2247136438.60,58084.00,ASIAN_PAINTS
30-Apr-25,2450.00,2462.20,2401.50,2416.50,2425.70,1479678.00,3598936957.00,77845.00,ASIAN_PAINTS
29-Apr-25,2460.00,2472.00,2441.60,2456.10,2451.10,1235066.00,3033872117.50,63588.00,ASIAN_PAINTS
28-Apr-25,2419.90,2459.80,2405.00,2446.20,2452.20,554922.00,1354485970.80,52292.00,ASIAN_PAINTS
25-Apr-25,2464.30,2468.70,2413.70,2425.70,2431.60,702217.00,1708355787.60,60107.00,ASIAN_PAINTS
24-Apr-25,2450.00,2491.00,2435.90,2466.40,2464.40,1203452.00,2967336184.40,77050.00,ASIAN_PAINTS
