Date ,OPEN ,HIGH ,LOW ,ltp ,close ,VOLUME ,VALUE ,No_of_trades,stock_name
16-May-25,242.6,246.94,242,244.9,245.76,30854384,7559835501,152112,ETERNAL
15-May-25,236.2,245.3,233.75,242.18,242.59,40335990,9697192437,191729,ETERNAL
14-May-25,232,237.44,232,236.27,236.86,23158211,5452465594,144650,ETERNAL
13-May-25,238,239.47,231.05,231.5,231.65,44837486,10480381214,309388,ETERNAL
12-May-25,232,240,232,239.05,239.5,31757003,7525650380,163171,ETERNAL
9-May-25,222,229,222,228.15,227.14,24415321,5522855143,255926,ETERNAL
8-May-25,235.25,236.45,226.6,227,229.81,49888442,11487618942,222882,ETERNAL
7-May-25,228.6,237.67,228.6,236.48,236.9,31614852,7406083013,137963,ETERNAL
6-May-25,240,241.5,231.85,232.7,232.64,25327712,5953028751,213490,ETERNAL
5-May-25,234.5,240.97,232.93,240.1,239.9,37948115,9067175347,240824,ETERNAL
2-May-25,220.05,239.5,220.05,234.41,234.29,104910316,24562471039,697809,ETERNAL
30-Apr-25,232,234.75,226.1,231.43,232.52,45831746,10590029248,213328,ETERNAL
29-Apr-25,228.37,234.24,226.6,231.16,231.11,32761971,7554710474,177098,ETERNAL
28-Apr-25,226,231.99,225.06,226.7,227.21,29327020,6674331222,146990,ETERNAL
25-Apr-25,235.9,239,227.31,227.71,228.81,32437650,7516617504,165167,ETERNAL
24-Apr-25,237,241.37,235,236.8,236.38,46103369,10962263426,186390,ETERNAL
23-Apr-25,237.48,240.25,233.05,238.15,239.24,42294685,10041669791,280063,ETERNAL
22-Apr-25,236,243.45,235,236.57,237.47,59667380,14245260299,320284,ETERNAL
21-Apr-25,229,235.3,227.1,234.22,234.24,66028533,15326976503,318929,ETERNAL
17-Apr-25,220.6,236.14,220.38,232,231.6,70125937,16142293628,302980,ETERNAL
16-Apr-25,220.51,222.64,218.4,221.85,222.08,26155875,5780329676,130093,ETERNAL
15-Apr-25,224.25,224.25,220.1,222.9,222.23,45034496,9995455681,194207,ETERNAL
11-Apr-25,216,218.31,214.1,216,217.2,28917549,6273038371,179516,ETERNAL
9-Apr-25,216,216,209.86,211.15,211.39,25359931,5367159351,162551,ETERNAL
8-Apr-25,213.19,219.19,210.81,214.55,215.19,62002510,13351193761,362486,ETERNAL
7-Apr-25,196,211,194.8,211,209.63,64932923,13341895638,334420,ETERNAL
4-Apr-25,211.84,212.58,205.67,210.46,210.53,48296676,10117471819,248714,ETERNAL
3-Apr-25,208.15,214,208,211,210.9,44447473,9401128837,298707,ETERNAL
2-Apr-25,203.5,212.6,202,211.7,212.03,59441448,12355907875,277483,ETERNAL
1-Apr-25,201.7,205,198.85,203.35,202.01,63369467,12793574020,361222,ETERNAL
28-Mar-25,204.24,209.9,200.5,201.2,201.7,74842762,15299765438,334406,ETERNAL
27-Mar-25,204.47,208.75,200.37,203,206.28,400414753,82400147802,539248,ETERNAL
26-Mar-25,202.35,206.9,199.92,204.47,203.29,114342130,23312857118,478755,ETERNAL
25-Mar-25,223.8,225.1,209,210.2,209.81,84184995,17966220991,422009,ETERNAL
24-Mar-25,228.8,230.2,222.2,222.84,222.8,41920679,9434393719,246715,ETERNAL
21-Mar-25,220,228.85,220,227.5,227.52,113328549,25602736121,257104,ETERNAL
20-Mar-25,226,228,221.87,224,224.47,61376776,13793810551,188392,ETERNAL
19-Mar-25,218.5,227.5,218.5,223.8,223.53,65519150,14701655218,381459,ETERNAL
18-Mar-25,204.28,219.1,204.28,218.91,218.19,79201906,16928573547,367430,ETERNAL
17-Mar-25,200,207.2,199.17,204.28,203.69,48729405,9935325478,312138,ETERNAL
13-Mar-25,208.2,208.6,200.2,202.5,201.43,60780855,12398380094,278069,ETERNAL
12-Mar-25,209.09,212.5,201.2,205.8,205.46,80010768,16411613881,320372,ETERNAL
11-Mar-25,205.01,210.42,199.8,208.5,208.07,122391053,25042091436,655855,ETERNAL
10-Mar-25,217.41,219.09,210.55,211.51,211.28,62786821,13396732461,293972,ETERNAL
7-Mar-25,223.89,224.65,216,217.1,216.83,43864788,9639673208,224254,ETERNAL
6-Mar-25,231.44,231.44,224.5,225.02,225.43,31864115,7245036038,193971,ETERNAL
5-Mar-25,229,231.75,225.36,227.07,227.02,33095222,7549985172,196956,ETERNAL
4-Mar-25,220.6,229.66,218.7,226.9,227.61,40794122,9247507892,230022,ETERNAL
3-Mar-25,222.05,225.58,215.25,222.47,222.14,33262928,7337106835,237045,ETERNAL
28-Feb-25,226,228.46,217.82,221.5,222.1,115467128,25700617574,299830,ETERNAL
27-Feb-25,226,229.74,225.05,228.91,229.04,33845022,7697304415,166607,ETERNAL
25-Feb-25,224.2,230.18,223.05,225.8,225.63,48478366,11022488333,273484,ETERNAL
24-Feb-25,219.98,227.8,219.98,222.57,222.69,43335473,9727901617,239930,ETERNAL
21-Feb-25,233,238.73,228.87,229.81,230.36,36768250,8545689654,249247,ETERNAL
20-Feb-25,231.5,236.65,230.11,232.95,233.93,27119319,6344459408,187397,ETERNAL
19-Feb-25,220.6,234.6,220,234,234.1,47896911,11068436661,294295,ETERNAL
18-Feb-25,220,224.6,216.52,222.5,223.31,35519896,7847078157,220740,ETERNAL
17-Feb-25,213.19,219.13,210.51,218.83,218.53,23560419,5108219452,260613,ETERNAL
14-Feb-25,218.54,219.72,213.44,216.44,215.99,32738152,7079678971,188566,ETERNAL
13-Feb-25,218.01,220.44,216.47,217.49,217.87,25633804,5603010523,173231,ETERNAL
12-Feb-25,213.01,219.35,206.75,217,214.7,86778158,18475869012,468042,ETERNAL
11-Feb-25,227,227.24,213.37,216,215.45,71258339,15477340199,406441,ETERNAL
10-Feb-25,233.35,234.89,224.75,227,227.25,38606975,8796620686,208383,ETERNAL
7-Feb-25,230.7,234.7,229.4,233.37,233.9,39271458,9117609782,234305,ETERNAL
6-Feb-25,233.47,234.65,226.66,229.9,229.05,41606913,9638730891,289404,ETERNAL
5-Feb-25,234,239.39,230.5,231.49,231.12,36437504,8539263124,351041,ETERNAL
4-Feb-25,242,242,229.34,233.29,234.54,64341167,15075247431,341415,ETERNAL
3-Feb-25,233.99,240.19,230,238.65,238.2,70249177,16625951852,385974,ETERNAL
1-Feb-25,220.35,240.4,215.6,235.02,236.32,85297849,19691207396,498770,ETERNAL
31-Jan-25,219,223,217,222.1,220.35,33200044,7326997417,154834,ETERNAL
30-Jan-25,223,224.8,217,218.75,218.8,44730687,9854517237,199242,ETERNAL
29-Jan-25,211,223.75,210.2,222.15,222.5,53638588,11684036862,262293,ETERNAL
28-Jan-25,206.25,211.75,205.6,209.3,208.2,54426157,11373284085,279495,ETERNAL
27-Jan-25,213,213,205.5,206.1,206.2,55203993,11536063862,309246,ETERNAL
24-Jan-25,221,221,214.6,215.45,215.6,43901547,9561028973,265340,ETERNAL
23-Jan-25,219.65,223.45,216.45,220.95,221.95,75649874,16695011170,376145,ETERNAL
22-Jan-25,207.15,218.2,203.85,218.1,216.45,178256196,37568007232,654957,ETERNAL
21-Jan-25,223,227,207.8,215.4,214.55,308217731,67225769802,1403192,ETERNAL
20-Jan-25,251,254.35,228.25,230.7,239.75,102666319,25100933417,446072,ETERNAL
17-Jan-25,244.7,250.8,240.5,248.65,248.8,40007808,9866006526,244274,ETERNAL
16-Jan-25,250,262,241,243.85,241.9,69621318,17197727806,367498,ETERNAL
15-Jan-25,235,246,235,245.7,243.9,65921349,15932456932,353117,ETERNAL
14-Jan-25,233.95,237.6,230,234.75,233.6,85363264,20027451955,380056,ETERNAL
13-Jan-25,240,240.4,226.2,228,227.15,69081908,16006722260,394376,ETERNAL
10-Jan-25,244.9,246.4,237.45,243.25,242.95,53817888,13047780163,314401,ETERNAL
9-Jan-25,251.6,252.55,244.55,244.95,245.35,49569418,12296259566,272369,ETERNAL
8-Jan-25,251.7,252.75,244.35,249.65,250.05,57146621,14149250317,345608,ETERNAL
7-Jan-25,256.95,259.2,251,251.75,252.45,115216965,29259384238,604528,ETERNAL
6-Jan-25,274.5,274.8,262.2,264.6,264.85,52254616,14015115051,356388,ETERNAL
3-Jan-25,285,285,271.5,272.55,272.85,48244937,13391845448,263260,ETERNAL
