Date ,OPEN ,HIGH ,LOW ,ltp ,close ,VOLUME ,VALUE ,No_of_trades,stock_name
16-May-25,274.10,277.95,273.05,276.30,277.00,13449060,3701187921.40,83839,JIO_FINANCE
15-May-25,268.00,274.60,265.50,274.05,273.70,16201350,4382655795.15,128902,JIO_FINANCE
14-May-25,268.80,269.95,265.20,267.80,267.50,13255755,3546522593.35,100971,JIO_FINANCE
13-May-25,263.20,268.95,261.50,267.70,267.40,19305043,5144307935.35,132015,JIO_FINANCE
12-May-25,258.95,263.50,257.00,263.00,262.90,19437052,5078891515.85,117986,JIO_FINANCE
9-May-25,244.10,250.00,242.00,249.20,248.35,25011071,6152727119.50,146842,JIO_FINANCE
8-May-25,256.10,258.30,249.40,250.05,251.45,14849940,3775402948.15,99409,JIO_FINANCE
7-May-25,245.05,256.70,245.05,256.50,256.10,19393399,4914913593.60,110105,JIO_FINANCE
6-May-25,259.25,260.75,250.40,251.00,251.20,18568703,4726315281.90,120140,JIO_FINANCE
5-May-25,259.60,262.40,259.30,260.45,260.60,10986246,2862767920.85,77956,JIO_FINANCE
2-May-25,262.90,265.20,257.75,258.30,258.80,20015942,5233783256.55,125758,JIO_FINANCE
30-Apr-25,256.00,263.30,255.20,259.08,260.42,32058337,8339451309.11,162742,JIO_FINANCE
29-Apr-25,258.10,259.75,255.60,257.50,257.63,12494831,3219149375.04,91018,JIO_FINANCE
28-Apr-25,252.39,259.70,252.30,258.00,257.90,19380922,4979877691.79,115267,JIO_FINANCE
25-Apr-25,258.78,261.62,249.10,252.39,253.05,33348716,8472452549.09,227469,JIO_FINANCE
24-Apr-25,258.00,259.80,256.50,258.94,258.78,17152009,4432578572.62,118106,JIO_FINANCE
23-Apr-25,252.00,258.55,251.39,258.02,258.14,37568336,9609176120.16,187743,JIO_FINANCE
22-Apr-25,245.50,251.34,243.70,250.60,250.56,30235264,7500774422.19,143908,JIO_FINANCE
21-Apr-25,250.00,250.00,244.50,245.96,246.38,31786610,7851677525.15,228473,JIO_FINANCE
17-Apr-25,242.94,248.00,238.30,246.20,246.47,30422206,7410087110.43,189979,JIO_FINANCE
16-Apr-25,239.05,242.75,237.26,242.30,242.28,27720767,6687111659.52,169243,JIO_FINANCE
15-Apr-25,235.90,239.49,232.60,239.05,238.57,27663804,6529029769.09,151900,JIO_FINANCE
11-Apr-25,225.78,230.98,223.72,230.40,230.02,24630876,5617889915.48,143791,JIO_FINANCE
9-Apr-25,224.00,224.00,218.25,221.10,220.92,19372735,4271539026.22,135433,JIO_FINANCE
8-Apr-25,217.00,225.50,216.62,225.49,224.81,25131280,5564349832.76,150831,JIO_FINANCE
7-Apr-25,203.10,215.00,203.10,214.85,213.52,25772065,5429415661.18,274102,JIO_FINANCE
4-Apr-25,230.05,230.35,220.80,222.55,222.32,20832533,4664961093.13,146438,JIO_FINANCE
3-Apr-25,227.00,231.79,226.50,230.64,230.41,11752612,2701586820.85,83669,JIO_FINANCE
