Date ,OPEN ,HIGH ,LOW ,ltp ,close ,VOLUME ,VALUE ,No_of_trades,stock_name
16-May-25,5504,5585.5,5491,5509,5509.5,638327,3535129664,59243,EICHER_MOTORS
15-May-25,5500,5548,5360,5473.5,5466,1930277,10533243961,168706,EICHER_MOTORS
14-May-25,5430,5477.5,5360,5447,5446.5,315866,1716670532,39786,EICHER_MOTORS
13-May-25,5506.5,5553.5,5392.5,5424,5419,416275,2266029795,44047,EICHER_MOTORS
12-May-25,5505,5541,5414,5525,5520,327631,1801522776,37927,EICHER_MOTORS
9-May-25,5295,5340.5,5260.5,5328,5324,412056,2184204246,73452,EICHER_MOTORS
8-May-25,5463.5,5488.5,5339.5,5355,5372.5,609858,3295392533,58774,EICHER_MOTORS
7-May-25,5460.5,5571,5452.5,5468.5,5489,349955,1927004526,39958,EICHER_MOTORS
6-May-25,5460.5,5597,5440.5,5505,5515,514699,2852646553,51260,EICHER_MOTORS
5-May-25,5469.5,5480,5411,5473,5460.5,320466,1746713176,36689,EICHER_MOTORS
2-May-25,5560,5560,5376,5428,5437.5,695557,3781388631,72873,EICHER_MOTORS
30-Apr-25,5605,5605,5505.5,5573.5,5567,509786,2833853646,53509,EICHER_MOTORS
29-Apr-25,5626.5,5691.5,5508,5574.5,5579,309552,1724207968,48124,EICHER_MOTORS
28-Apr-25,5580.5,5658,5550.5,5618,5622,403569,2267250051,58261,EICHER_MOTORS
25-Apr-25,5662.5,5668,5517.5,5560,5575.5,457510,2553258451,45892,EICHER_MOTORS
24-Apr-25,5736,5774.5,5620,5632,5650.5,503663,2859943646,59332,EICHER_MOTORS
23-Apr-25,5789,5816.5,5605.5,5730,5740,582611,3328202930,71511,EICHER_MOTORS
22-Apr-25,5811,5906.5,5766.5,5789,5784,459537,2679213180,52379,EICHER_MOTORS
21-Apr-25,5695.5,5857.5,5643.5,5808,5810.5,551547,3190360230,46644,EICHER_MOTORS
17-Apr-25,5615.5,5715.5,5576,5663,5678.5,564357,3195703020,79735,EICHER_MOTORS
16-Apr-25,5549,5630,5539,5600,5615.5,734279,4111533746,65271,EICHER_MOTORS
15-Apr-25,5464,5557,5399,5549.5,5529,542322,2981195789,63928,EICHER_MOTORS
11-Apr-25,5290,5409,5290,5339.4,5350.9,500528,2682500703,53726,EICHER_MOTORS
9-Apr-25,5270.55,5324,5182.35,5254.95,5258.3,472302,2483377124,61725,EICHER_MOTORS
8-Apr-25,5165.55,5269,5109.8,5238.95,5231.35,355195,1849063542,55452,EICHER_MOTORS
7-Apr-25,5000,5167.4,4999.95,5078.4,5065.25,519173,2635431026,53428,EICHER_MOTORS
4-Apr-25,5350.95,5355.1,5230,5240.25,5247.9,261887,1383837507,39560,EICHER_MOTORS
3-Apr-25,5265,5408.3,5265,5372.5,5379.15,224286,1205913795,29951,EICHER_MOTORS
2-Apr-25,5361.7,5393.95,5311.25,5322,5355.5,365908,1956439645,48174,EICHER_MOTORS
1-Apr-25,5365.55,5525,5266.1,5301.15,5307.2,562006,3009710486,75797,EICHER_MOTORS
28-Mar-25,5363,5408.35,5322.45,5345.25,5347.7,286609,1535810548,44226,EICHER_MOTORS
27-Mar-25,5329.45,5405,5300,5347,5345.75,603145,3229764427,70233,EICHER_MOTORS
26-Mar-25,5433.9,5495,5390,5398,5403.3,384678,2092287790,57741,EICHER_MOTORS
25-Mar-25,5460,5499.85,5401.2,5419,5431.25,324007,1764797359,56087,EICHER_MOTORS
24-Mar-25,5325.5,5456,5312.9,5426,5424.2,316612,1708733455,41935,EICHER_MOTORS
21-Mar-25,5249.15,5327.95,5230.35,5315.05,5305.95,414691,2195292214,37927,EICHER_MOTORS
20-Mar-25,5129,5258.95,5113.3,5234,5229.35,491655,2565042228,59222,EICHER_MOTORS
19-Mar-25,5131,5139.6,5054.6,5105,5100.9,417978,2129766251,46552,EICHER_MOTORS
18-Mar-25,5066.2,5145,5065.7,5104.8,5127.4,328246,1677530597,45966,EICHER_MOTORS
17-Mar-25,4935,5076.95,4935,5050.2,5050.25,287729,1450481743,46074,EICHER_MOTORS
13-Mar-25,5030.5,5047.5,4965.05,5010,5015.25,265867,1332800406,36902,EICHER_MOTORS
12-Mar-25,4985,5039.9,4960.5,5024.25,5017.45,235018,1175718163,32220,EICHER_MOTORS
11-Mar-25,4950,5010,4912.05,5005,4985.55,228128,1134723076,37829,EICHER_MOTORS
10-Mar-25,5123,5130,4970.65,4972.5,4990.55,316750,1594570036,45702,EICHER_MOTORS
